wave flux
1140.318603515625 0.0
1140.902222 0.0
1141.485962 0.0
1142.069702 1.0394e-15
1142.65332 1.0089e-15
1143.237061 0.0
1143.820679 6.9953e-16
1144.404419 0.0
1144.988037 4.5536e-16
1145.571777 0.0
1146.155396 0.0
1146.739136 0.0
1147.322754 2.8616e-16
1147.906494 2.6201e-16
1148.490112 0.0
1149.07373 5.6191e-16
1149.657471 4.7731e-16
1150.241089 4.3144e-16
1150.824829 4.3264e-16
1151.408447 0.0
1151.992065 0.0
1152.575806 0.0
1153.159424 0.0
1153.743042 0.0
1154.326782 0.0
1154.9104 1.0503e-16
1155.494019 0.0
1156.077637 9.7527e-17
1156.661377 0.0
1157.244995 0.0
1157.828613 9.2122e-17
1158.412231 0.0
1158.995972 0.0
1159.57959 8.3296e-17
1160.163208 0.0
1160.746826 1.775e-16
1161.330444 1.8856e-16
1161.914062 6.661e-17
1162.497803 1.8567e-16
1163.081421 3.9581e-16
1163.665039 6.3792e-17
1164.248657 7.0938e-17
1164.832275 6.0516e-17
1165.415894 6.8937e-17
1165.999512 6.1144e-17
1166.58313 5.8527e-17
1167.166748 6.6718e-17
1167.750366 0.0
1168.333984 1.4324e-16
1168.917603 6.1983e-17
1169.501221 5.6965e-17
1170.084839 5.5281e-17
1170.668457 1.4037e-16
1171.252075 0.0
1171.835693 5.2548e-17
1172.419312 0.0
1173.00293 0.0
1173.586548 4.6935e-17
1174.170166 4.379e-17
1174.753662 0.0
1175.33728 0.0
1175.920898 0.0
1176.504517 0.0
1177.088135 4.2372e-17
1177.671753 0.0
1178.255249 3.9488e-17
1178.838867 4.3676e-17
1179.422485 3.9134e-17
1180.006104 0.0
1180.589722 0.0
1181.173218 0.0
1181.756836 0.0
1182.340454 4.3468e-17
1182.92395 0.0
1183.507568 0.0
1184.091187 9.3517e-17
1184.674683 3.2441e-17
1185.258301 0.0
1185.841919 0.0
1186.425415 3.7171e-19
1187.009033 0.0
1187.592651 0.0
1188.176147 0.0
1188.759766 0.0
1189.343262 2.2275e-16
1189.92688 0.0
1190.510376 2.126e-16
1191.093994 0.0
1191.67749 0.0
1192.261108 2.375e-16
1192.844604 5.1532e-16
1193.428223 2.6451e-17
1194.011719 2.5069e-17
1194.595337 0.0
1195.178833 0.0
1195.762451 0.0
1196.345947 0.0
1196.929443 1.3763e-16
1197.513062 6.9036e-16
1198.096558 1.4798e-17
1198.680176 0.0
1199.263672 1.3812e-16
1199.847168 1.4074e-16
1200.430786 0.0
1201.014282 3.1843e-16
1201.597778 5.1015e-17
1202.181274 0.0
1202.764893 1.3273e-16
1203.348389 0.0
1203.931885 0.0
1204.515503 0.0
1205.098999 0.0
1205.682495 1.3466e-16
1206.265991 9.5582e-17
1206.849487 0.0
1207.433105 0.0
1208.016602 3.8906e-16
1208.600098 1.4892e-16
1209.183594 0.0
1209.76709 0.0
1210.350586 1.2326e-16
1210.934082 0.0
1211.517578 0.0
1212.101074 0.0
1212.684692 5.6061e-16
1213.268188 0.0
1213.851685 0.0
1214.435181 0.0
1215.018677 2.7945e-17
1215.602173 0.0
1216.185669 0.0
1216.769165 1.7814e-16
1217.352661 1.0537e-17
1217.936157 0.0
1218.519653 0.0
1219.103027 0.0
1219.686523 0.0
1220.27002 4.7803e-16
1220.853516 0.0
1221.437012 1.2479e-16
1222.020508 0.0
1222.604004 1.183e-17
1223.1875 0.0
1223.770874 6.2985e-16
1224.35437 0.0
1224.937866 0.0
1225.521362 1.3318e-18
1226.104858 9.4873e-17
1226.688232 4.9117e-16
1227.271729 2.2329e-16
1227.855225 9.0829e-17
1228.438721 2.0639e-16
1229.022095 2.1008e-16
1229.605591 1.6759e-16
1230.189087 0.0
1230.772583 3.6646e-16
1231.355957 1.1009e-16
1231.939453 0.0
1232.522827 1.1429e-16
1233.106323 1.7868e-16
1233.689819 0.0
1234.273193 0.0
1234.856689 0.0
1235.440186 0.0
1236.02356 0.0
1236.607056 0.0
1237.19043 0.0
1237.773926 0.0
1238.3573 0.0
1238.940796 1.4193e-16
1239.52417 0.0
1240.107666 0.0
1240.69104 6.8034e-17
1241.274536 1.0377e-16
1241.85791 3.1175e-17
1242.441406 0.0
1243.02478 1.0024e-16
1243.608154 4.335e-17
1244.19165 7.452e-17
1244.775024 7.4521e-17
1245.358521 2.2624e-17
1245.941895 3.9346e-17
1246.525269 4.1808e-17
1247.108765 3.865e-17
1247.692139 6.4799e-17
1248.275513 1.4134e-17
1248.859009 3.8069e-17
1249.442383 1.4014e-16
1250.025757 6.454e-17
1250.609131 3.8839e-17
1251.192627 6.2308e-17
1251.776001 8.8976e-17
1252.359375 1.4636e-17
1252.942749 3.6871e-18
1253.526245 8.7416e-17
1254.109619 1.1173e-16
1254.692993 1.5914e-16
1255.276367 1.5683e-16
1255.859741 7.4728e-17
1256.443115 6.0985e-17
1257.026489 8.81e-17
1257.609985 1.3624e-17
1258.193359 6.279e-17
1258.776733 6.1407e-17
1259.360107 2.5166e-17
1259.943481 8.7665e-17
1260.526855 1.3495e-16
1261.110229 1.0066e-16
1261.693604 5.1553e-17
1262.276978 1.9589e-16
1262.860352 1.1414e-16
1263.443726 1.4787e-16
