wave flux
1140.543212890625 1.8656e-15
1141.126953 0.0
1141.710571 0.0
1142.294312 0.0
1142.87793 0.0
1143.46167 0.0
1144.045288 0.0
1144.629028 5.8111e-16
1145.212646 0.0
1145.796387 1.0402e-15
1146.380005 0.0
1146.963745 3.1671e-16
1147.547363 0.0
1148.131104 0.0
1148.714722 2.2604e-16
1149.298462 2.1835e-16
1149.88208 1.9911e-16
1150.46582 0.0
1151.049438 2.451e-17
1151.633057 0.0
1152.216797 0.0
1152.800415 0.0
1153.384033 0.0
1153.967773 0.0
1154.551392 2.7822e-16
1155.13501 0.0
1155.71875 0.0
1156.302368 2.583e-16
1156.885986 0.0
1157.469604 0.0
1158.053345 0.0
1158.636963 0.0
1159.220581 0.0
1159.804199 0.0
1160.387939 2.4578e-16
1160.971558 1.9472e-16
1161.555176 0.0
1162.138794 0.0
1162.722412 0.0
1163.30603 0.0
1163.889648 0.0
1164.473389 2.6378e-16
1165.057007 1.1981e-16
1165.640625 6.5761e-17
1166.224243 6.773e-17
1166.807861 0.0
1167.391479 4.9732e-16
1167.975098 5.9872e-17
1168.558716 0.0
1169.142334 0.0
1169.725952 0.0
1170.30957 6.0105e-17
1170.893188 6.0967e-17
1171.476807 0.0
1172.060425 2.0447e-17
1172.644043 5.5652e-17
1173.227661 0.0
1173.811279 5.3505e-17
1174.394897 5.5128e-17
1174.978394 0.0
1175.562012 7.782e-17
1176.14563 0.0
1176.729248 8.0947e-18
1177.312866 0.0
1177.896484 4.626e-17
1178.47998 4.8224e-17
1179.063599 4.4479e-17
1179.647217 0.0
1180.230835 4.4262e-17
1180.814453 1.4246e-16
1181.397949 0.0
1181.981567 0.0
1182.565186 0.0
1183.148682 0.0
1183.7323 3.9469e-17
1184.315918 3.8598e-17
1184.899536 4.0915e-17
1185.483032 0.0
1186.06665 5.4445e-17
1186.650269 0.0
1187.233765 0.0
1187.817383 5.5985e-17
1188.400879 0.0
1188.984497 5.5705e-17
1189.568115 3.8598e-17
1190.151611 2.7717e-17
1190.735229 1.7131e-16
1191.318726 0.0
1191.902344 0.0
1192.48584 1.9451e-16
1193.069458 2.0929e-16
1193.652954 0.0
1194.236572 0.0
1194.820068 2.9101e-16
1195.403687 0.0
1195.987183 2.6488e-16
1196.570679 0.0
1197.154297 1.7445e-16
1197.737793 0.0
1198.321411 0.0
1198.904907 5.9596e-17
1199.488403 4.1981e-17
1200.072021 0.0
1200.655518 0.0
1201.239014 7.1786e-17
1201.822632 0.0
1202.406128 0.0
1202.989624 4.0642e-16
1203.573242 3.36e-16
1204.156738 0.0
1204.740234 9.2134e-17
1205.32373 0.0
1205.907349 0.0
1206.490845 7.0189e-17
1207.074341 3.7141e-16
1207.657837 3.803e-16
1208.241333 2.7823e-16
1208.824951 1.0544e-16
1209.408447 0.0
1209.991943 0.0
1210.575439 0.0
1211.158936 0.0
1211.742432 2.5689e-16
1212.325928 4.6954e-17
1212.909424 0.0
1213.49292 0.0
1214.076538 2.3927e-17
1214.660034 0.0
1215.24353 0.0
1215.827026 0.0
1216.410522 0.0
1216.994019 0.0
1217.577515 4.0295e-16
1218.161011 0.0
1218.744507 0.0
1219.327881 4.2682e-16
1219.911377 2.7065e-17
1220.494873 2.3659e-16
1221.078369 1.669e-17
1221.661865 1.6267e-16
1222.245361 2.1483e-16
1222.828857 1.0524e-16
1223.412354 0.0
1223.99585 0.0
1224.579224 4.7472e-17
1225.16272 0.0
1225.746216 0.0
1226.329712 0.0
1226.913208 0.0
1227.496582 1.7368e-16
1228.080078 4.7346e-17
1228.663574 0.0
1229.24707 0.0
1229.830444 1.2789e-16
1230.41394 0.0
1230.997437 3.1205e-16
1231.580811 0.0
1232.164307 1.6679e-16
1232.747803 1.1094e-16
1233.331177 4.1222e-16
1233.914673 1.0709e-16
1234.498169 1.1855e-16
1235.081543 0.0
