wave flux
1710.418335 0.0
1711.789307 7.838e-15
1713.160278 0.0
1714.53125 0.0
1715.902344 0.0
1717.273315 0.0
1718.644409 0.0
1720.015503 0.0
1721.386597 0.0
1722.75769 0.0
1724.128784 0.0
1725.499878 0.0
1726.870972 0.0
1728.242188 0.0
1729.613281 0.0
1730.984497 0.0
1732.355713 0.0
1733.726929 0.0
1735.098145 0.0
1736.46936 0.0
1737.840576 0.0
1739.211914 0.0
1740.58313 0.0
1741.954468 0.0
1743.325684 0.0
1744.697021 2.2465e-16
1746.068359 0.0
1747.439697 6.3519e-15
1748.811035 3.5396e-14
1750.182373 0.0
1751.553711 3.4401e-14
1752.925171 1.724e-14
1754.296509 1.4632e-14
1755.667969 0.0
1757.039429 4.1185e-14
1758.410889 2.8944e-14
1759.782349 4.3491e-14
1761.153809 1.2667e-14
1762.525269 4.5182e-14
1763.896729 3.9723e-14
1765.268188 2.4829e-14
1766.639771 4.3299e-14
1768.01123 6.9817e-14
1769.382812 4.397e-14
1770.754395 5.1039e-14
1772.125977 4.6188e-14
1773.497559 2.7503e-14
1774.869141 6.3298e-14
1776.240723 1.5531e-14
1777.612305 1.6427e-14
1778.984009 1.8811e-14
1780.355591 4.4762e-15
1781.727295 8.6147e-15
1783.098877 3.0725e-14
1784.470581 5.612e-14
1785.842285 4.8779e-14
1787.213989 2.4319e-14
1788.585693 4.5507e-14
1789.957397 5.5593e-14
1791.329224 1.0039e-14
1792.700928 8.7619e-15
1794.072754 2.6745e-14
1795.444458 2.1934e-14
1796.816284 1.8702e-14
1798.18811 3.9429e-14
1799.559937 3.6661e-14
1800.931763 2.676e-14
1802.303589 4.1213e-14
1803.675415 5.9519e-14
1805.047241 2.6876e-14
1806.419067 2.242e-14
1807.791016 5.3496e-14
1809.162842 4.9509e-14
1810.53479 4.2153e-14
1811.906738 4.4581e-14
1813.278687 5.633e-14
1814.650635 4.3834e-14
1816.022583 4.3139e-14
1817.394531 5.3224e-14
1818.766479 3.0767e-14
1820.138428 1.6127e-14
1821.510498 3.5031e-14
1822.882446 4.2472e-14
1824.254517 3.4693e-14
1825.626587 3.6782e-14
1826.998535 2.9475e-14
1828.370605 3.6397e-14
1829.742676 2.9471e-14
1831.114746 5.2018e-14
1832.486816 3.7888e-14
1833.859009 5.2089e-14
1835.231079 4.7585e-14
1836.603149 3.2654e-14
1837.975342 3.5992e-14
1839.347412 4.6333e-14
1840.719604 2.3843e-14
1842.091797 3.9241e-14
1843.463989 3.7668e-14
1844.836182 2.7815e-14
1846.208374 1.6495e-14
1847.580566 3.2458e-14
1848.952759 6.4355e-14
1850.324951 5.1137e-14
1851.697266 4.552e-14
1853.069458 7.7415e-14
1854.441772 4.3052e-14
1855.813965 4.9009e-14
1857.186279 5.2332e-14
1858.558594 4.8541e-14
1859.930908 5.5836e-14
1861.303223 4.8919e-14
1862.675537 7.794e-14
1864.047852 7.3054e-14
1865.420288 6.226e-14
1866.792603 4.9473e-14
1868.164917 5.5444e-14
1869.537354 7.5225e-14
1870.909668 4.3531e-14
1872.282104 5.113e-14
1873.654541 6.0985e-14
1875.026978 7.6604e-14
1876.399414 3.7364e-14
1877.771851 4.9014e-14
1879.144287 7.0267e-14
1880.516724 7.0398e-14
1881.88916 6.5564e-14
1883.261719 7.7964e-14
1884.634155 6.8346e-14
1886.006592 7.1537e-14
1887.37915 4.2095e-14
1888.751709 5.1702e-14
1890.124146 7.9958e-14
1891.496704 7.0701e-14
1892.869263 6.0574e-14
1894.241821 9.304e-14
1895.61438 7.98e-14
1896.986938 7.8436e-14
1898.359619 5.189e-14
1899.732178 6.9548e-14
1901.104736 7.6645e-14
1902.477417 8.046e-14
1903.849976 7.9579e-14
1905.222656 9.3365e-14
1906.595337 5.7671e-14
1907.967896 7.0905e-14
1909.340576 8.8041e-14
1910.713257 8.8603e-14
1912.085938 8.6382e-14
1913.458618 7.9132e-14
1914.831299 8.3935e-14
1916.204102 9.1348e-14
1917.576782 7.4908e-14
1918.949463 7.3858e-14
1920.322266 8.003e-14
1921.694946 7.8422e-14
1923.067749 9.911e-14
1924.44043 8.8404e-14
1925.813232 8.4013e-14
1927.186035 8.9644e-14
1928.558838 8.3943e-14
1929.931641 6.7188e-14
1931.304443 7.4553e-14
1932.677246 6.5161e-14
1934.050049 7.8646e-14
1935.422852 6.8734e-14
1936.795776 5.9115e-14
1938.168579 7.4757e-14
1939.541504 9.621e-14
1940.914307 1.0401e-13
1942.287231 1.0672e-13
1943.660034 1.0552e-13
1945.032959 1.0573e-13
1946.405884 1.1462e-13
1947.778809 9.4527e-14
1949.151733 1.2021e-13
1950.524658 1.0942e-13
1951.897583 9.5012e-14
1953.270508 9.2192e-14
1954.643433 1.0898e-13
1956.016479 1.0297e-13
1957.389404 1.0497e-13
1958.762329 1.02e-13
1960.135376 1.0354e-13
1961.508423 1.0318e-13
1962.881348 1.1251e-13
1964.254395 1.0262e-13
1965.627441 1.0091e-13
1967.000366 9.6691e-14
1968.373413 1.1998e-13
1969.74646 1.2183e-13
1971.119507 1.0872e-13
1972.492554 1.1954e-13
1973.865723 1.139e-13
1975.23877 1.1852e-13
1976.611816 1.0182e-13
1977.984863 1.1203e-13
1979.358032 1.1314e-13
1980.731079 1.0262e-13
1982.104248 1.072e-13
1983.477295 1.1398e-13
1984.850464 1.1142e-13
1986.223633 1.1545e-13
1987.596802 1.0666e-13
1988.969849 1.042e-13
1990.343018 1.1612e-13
1991.716187 1.1498e-13
1993.089355 1.2228e-13
1994.462524 1.1146e-13
1995.835815 1.2743e-13
1997.208984 1.2412e-13
1998.582153 1.2493e-13
1999.955322 1.195e-13
2001.328613 1.1717e-13
2002.701782 1.3273e-13
2004.075073 1.3036e-13
2005.448242 1.2094e-13
2006.821533 1.1405e-13
2008.194824 1.3052e-13
2009.567993 1.2135e-13
2010.941284 1.2671e-13
2012.314575 1.3035e-13
2013.687866 1.3077e-13
