wave flux
5293.97900390625 4.2074e-17
5298.84816 0.0
5303.717148 1.4238e-18
5308.586195 4.1377e-18
5313.455301 2.1651e-19
5318.324466 2.0398e-18
5323.19369 9.1463e-18
5328.062973 0.0
5332.932315 4.0904e-17
5337.801715 2.2177e-17
5342.671174 1.1395e-17
5347.540691 3.8152e-17
5352.410266 1.3566e-17
5357.279899 3.0844e-17
5362.149591 2.7384e-17
5367.01934 1.2456e-17
5371.889147 5.8367e-17
5376.759012 2.1781e-17
5381.628935 2.8104e-18
5386.498915 2.5932e-17
5391.368952 2.8459e-17
5396.239046 6.0355e-17
5401.109198 3.0219e-17
5405.979407 1.8793e-17
5410.849672 3.581e-17
5415.719995 3.9369e-17
5420.590374 3.6436e-18
5425.46081 1.3502e-17
5430.331302 1.1684e-17
5435.20185 0.0
5440.072455 1.53e-17
5444.943116 2.1494e-17
5449.813833 6.3613e-17
5454.684606 4.8116e-17
5459.555435 6.2928e-18
5464.426319 5.5731e-18
5469.297259 3.7945e-17
5474.168254 1.9012e-17
5479.039305 3.4616e-18
5483.910411 2.6075e-17
5488.781572 3.1032e-17
5493.652788 1.5994e-17
5498.52406 2.5817e-17
5503.395386 2.4733e-17
5508.266766 2.5325e-17
5513.138201 2.7312e-17
5518.009691 1.6031e-17
5522.881235 5.1894e-17
5527.752833 1.8517e-17
5532.624486 3.5736e-17
5537.496192 2.2265e-17
5542.367952 1.2839e-18
5547.239767 2.379e-17
5552.111634 1.878e-17
5556.983556 0.0
5561.855531 6.245e-18
5566.727559 5.9314e-18
5571.59964 0.0
5576.471775 1.0507e-17
5581.343962 1.6575e-17
5586.216203 9.6702e-18
5591.088496 2.6103e-17
5595.960842 2.3841e-17
5600.833241 2.2394e-17
5605.705692 1.6345e-17
5610.578195 0.0
5615.450751 8.3846e-18
5620.323359 1.0517e-17
5625.196018 8.5572e-18
5630.06873 1.209e-17
5634.941494 0.0
5639.814309 9.2894e-18
5644.687175 1.4475e-17
5649.560094 0.0
5654.433063 1.0919e-17
5659.306084 2.3409e-17
5664.179156 1.3224e-17
5669.052279 1.3745e-17
5673.925452 1.9617e-17
