wave flux
1710.466431 2.5425e-14
1711.837402 1.3917e-14
1713.208496 2.1941e-14
1714.579468 2.1729e-14
1715.950439 2.0035e-14
1717.321533 2.9474e-14
1718.692505 2.5379e-14
1720.063599 2.7771e-14
1721.434692 2.2798e-14
1722.805786 2.4566e-14
1724.17688 2.3586e-14
1725.547974 3.0116e-14
1726.919067 3.6253e-14
1728.290283 3.3129e-14
1729.661377 2.4248e-14
1731.032593 2.5621e-14
1732.403687 3.1295e-14
1733.774902 3.1197e-14
1735.146118 2.6348e-14
1736.517334 4.0681e-14
1737.88855 4.3186e-14
1739.259888 3.8588e-14
1740.631104 3.9496e-14
1742.002319 3.0859e-14
1743.373657 3.7296e-14
1744.744995 4.6407e-14
1746.116333 4.3946e-14
1747.487549 3.7125e-14
1748.858887 4.1323e-14
1750.230347 5.1266e-14
1751.601685 4.2258e-14
1752.973022 5.0725e-14
1754.344482 4.6435e-14
1755.71582 4.6257e-14
1757.08728 6.4037e-14
1758.45874 5.2385e-14
1759.830078 5.472e-14
1761.201538 5.1918e-14
1762.572998 4.97e-14
1763.94458 5.0801e-14
1765.31604 4.6626e-14
1766.6875 4.5395e-14
1768.059082 5.221e-14
1769.430542 5.924e-14
1770.802124 6.3416e-14
1772.173706 5.7098e-14
1773.545288 5.7773e-14
1774.91687 6.8031e-14
1776.288452 7.4576e-14
1777.660034 6.9896e-14
1779.031616 7.0084e-14
1780.40332 7.2978e-14
1781.774902 7.6749e-14
1783.146606 7.5545e-14
1784.518311 6.9031e-14
1785.889893 7.7535e-14
1787.261597 7.3645e-14
1788.633301 8.0363e-14
1790.005005 7.5117e-14
1791.376831 7.6095e-14
1792.748535 8.3139e-14
1794.120239 8.6032e-14
1795.492065 8.2828e-14
1796.863892 8.4772e-14
1798.235596 8.3285e-14
1799.607422 8.9079e-14
1800.979248 8.0136e-14
1802.351074 8.7899e-14
1803.7229 8.9417e-14
1805.094727 8.9977e-14
1806.466553 8.7424e-14
1807.838501 7.3949e-14
1809.210327 6.4678e-14
1810.582275 6.7462e-14
1811.954224 9.007e-14
1813.32605 9.151e-14
1814.697998 9.3315e-14
1816.069946 8.4738e-14
1817.441895 8.3912e-14
1818.813843 8.593e-14
1820.185913 8.2437e-14
1821.557861 8.6851e-14
1822.92981 8.0522e-14
1824.30188 9.4025e-14
1825.673828 9.7373e-14
1827.045898 1.0143e-13
1828.417969 8.8707e-14
1829.790039 9.3238e-14
1831.162109 1.0084e-13
1832.53418 1.0209e-13
1833.90625 9.9366e-14
1835.27832 9.8871e-14
1836.650513 1.0345e-13
1838.022583 1.0435e-13
1839.394653 1.006e-13
1840.766846 1.0116e-13
1842.139038 8.9602e-14
1843.51123 8.2693e-14
1844.883301 8.7797e-14
1846.255493 8.395e-14
1847.627686 7.4584e-14
1849.0 6.7037e-14
1850.372192 6.5065e-14
1851.744385 7.6104e-14
1853.116577 6.7198e-14
1854.488892 7.7524e-14
1855.861206 9.166e-14
1857.233398 1.0529e-13
1858.605713 1.0677e-13
1859.978027 1.0243e-13
1861.350342 1.0711e-13
1862.722656 1.0734e-13
1864.094971 1.1102e-13
1865.467285 1.1301e-13
1866.8396 1.1072e-13
1868.212036 1.077e-13
1869.584351 1.2357e-13
1870.956787 1.2891e-13
1872.329102 1.2431e-13
1873.701538 1.2169e-13
1875.073975 1.2335e-13
1876.446289 1.2288e-13
1877.818726 1.1102e-13
1879.191162 1.1357e-13
1880.563599 1.2007e-13
1881.936157 1.2291e-13
1883.308594 1.2608e-13
1884.68103 1.3658e-13
1886.053589 1.3978e-13
1887.426025 1.3449e-13
1888.798584 1.3067e-13
1890.171021 1.2945e-13
1891.543579 1.3269e-13
1892.916138 1.4072e-13
1894.288696 1.4029e-13
1895.661255 1.3307e-13
1897.033813 1.3861e-13
1898.406372 1.3851e-13
1899.778931 1.3106e-13
1901.151611 1.2635e-13
1902.52417 1.1979e-13
1903.896729 1.1821e-13
1905.269409 1.3909e-13
1906.64209 1.3871e-13
1908.014648 1.4553e-13
1909.387329 1.4031e-13
1910.76001 1.4464e-13
1912.13269 1.4362e-13
1913.505371 1.4958e-13
1914.878052 1.5254e-13
1916.250732 1.5487e-13
1917.623413 1.5655e-13
1918.996094 1.5247e-13
1920.368896 1.5483e-13
1921.741577 1.6253e-13
1923.11438 1.6966e-13
1924.487061 1.6347e-13
1925.859863 1.6287e-13
1927.232666 1.5968e-13
1928.605469 1.5746e-13
1929.978149 1.5626e-13
1931.350952 1.4742e-13
1932.723755 1.1456e-13
1934.09668 1.1255e-13
1935.469482 1.383e-13
1936.842285 1.4363e-13
1938.215088 1.4448e-13
1939.588013 1.49e-13
1940.960815 1.6837e-13
1942.33374 1.7177e-13
1943.706543 1.7598e-13
1945.079468 1.8684e-13
1946.452393 1.7872e-13
1947.825195 1.8259e-13
1949.19812 1.7938e-13
1950.571045 1.8466e-13
1951.94397 1.7561e-13
1953.316895 1.7301e-13
1954.689819 1.7125e-13
1956.062866 1.7817e-13
1957.435791 1.7748e-13
1958.808716 1.7684e-13
1960.181763 1.7203e-13
1961.554688 1.7429e-13
1962.927734 1.7353e-13
1964.300659 1.7389e-13
1965.673706 1.7163e-13
1967.046753 1.9141e-13
1968.4198 1.975e-13
1969.792725 1.9913e-13
1971.165771 1.9896e-13
1972.538818 1.9361e-13
1973.911865 1.9496e-13
1975.285034 1.94e-13
1976.658081 1.8772e-13
1978.031128 1.8435e-13
1979.404175 1.7887e-13
1980.777344 1.7388e-13
1982.150391 1.7212e-13
1983.52356 1.7809e-13
1984.896606 1.852e-13
1986.269775 1.8409e-13
1987.642944 1.8039e-13
1989.015991 1.764e-13
1990.38916 1.7628e-13
1991.762329 1.7219e-13
1993.135498 1.7493e-13
1994.508667 1.9266e-13
1995.881836 1.9267e-13
1997.255005 1.9057e-13
1998.628174 1.9407e-13
2000.001465 1.9669e-13
2001.374634 1.9699e-13
2002.747803 1.9462e-13
2004.121094 1.9389e-13
2005.494263 1.9991e-13
2006.867554 1.9566e-13
2008.240723 1.9755e-13
2009.614014 1.9429e-13
2010.987305 1.9508e-13
2012.360596 2.0613e-13
2013.733765 1.9244e-13
2015.107056 1.9934e-13
2016.480347 2.0305e-13
2017.853638 2.0332e-13
2019.226929 2.0696e-13
2020.60022 2.0743e-13
2021.973511 2.0788e-13
2023.346924 2.0887e-13
2024.720215 1.9649e-13
2026.093506 2.0443e-13
2027.466919 1.9234e-13
2028.84021 1.7283e-13
2030.213623 1.9159e-13
2031.586914 2.0799e-13
2032.960327 2.1866e-13
2034.333618 2.2532e-13
2035.707031 2.1486e-13
2037.080444 2.1003e-13
2038.453857 2.1632e-13
2039.827148 2.2214e-13
2041.200562 2.2527e-13
2042.573975 2.1869e-13
2043.947388 2.1896e-13
2045.320801 2.3428e-13
2046.694336 2.3451e-13
2048.067627 2.3825e-13
2049.441162 2.4324e-13
2050.814697 2.3781e-13
2052.187988 2.4701e-13
2053.561523 2.3942e-13
2054.935059 2.4123e-13
2056.30835 2.3804e-13
2057.681885 2.2581e-13
2059.05542 2.0969e-13
2060.428955 2.1634e-13
2061.802246 2.1721e-13
2063.175781 2.2176e-13
