wave flux
2901.642333984375 6.5647e-17
2904.387451 0.0
2907.132568 1.3165e-15
2909.877686 0.0
2912.622803 1.9051e-15
2915.36792 3.1217e-16
2918.113281 7.2873e-16
2920.858398 5.8416e-16
2923.603516 6.0808e-16
2926.348877 0.0
2929.094238 1.0962e-15
2931.839355 1.1534e-15
2934.584717 8.0234e-16
2937.330078 5.5377e-16
2940.075439 5.0356e-16
2942.820801 4.4531e-16
2945.566162 3.4632e-16
2948.311768 5.1341e-16
2951.057129 4.6638e-16
2953.802734 7.6974e-16
2956.548096 3.9699e-16
2959.293701 3.5831e-16
2962.039062 5.6786e-16
2964.784668 4.407e-16
2967.530273 3.3549e-16
2970.275879 3.7684e-16
2973.021484 3.9566e-16
2975.76709 6.066e-16
2978.512695 4.0418e-16
2981.258545 3.929e-16
2984.00415 4.7973e-16
2986.75 5.5235e-16
2989.495605 6.0865e-16
2992.241455 2.1337e-16
2994.987061 4.726e-16
2997.73291 6.0917e-16
3000.47876 4.1624e-16
3003.224609 5.2642e-16
3005.970459 3.7139e-16
3008.716309 4.6689e-16
3011.462158 4.9186e-16
3014.208252 5.0554e-16
3016.954102 5.7742e-16
3019.700195 3.8138e-16
3022.446045 5.6647e-16
3025.192139 4.5009e-16
3027.937988 5.4566e-16
3030.684082 4.2184e-16
3033.430176 6.5188e-16
3036.17627 5.2591e-16
3038.922363 5.3505e-16
3041.668457 4.8449e-16
3044.414551 3.3122e-16
3047.160889 5.6873e-16
3049.906982 5.6584e-16
3052.653076 5.6348e-16
3055.399414 4.215e-16
3058.145508 4.1657e-16
3060.891846 3.9355e-16
3063.638184 4.9888e-16
3066.384277 3.7152e-16
3069.130615 3.5647e-16
3071.876953 6.2644e-16
3074.623291 5.5897e-16
3077.369629 4.4791e-16
3080.115967 4.1794e-16
3082.862549 4.4275e-16
3085.608887 3.8526e-16
3088.355225 5.4738e-16
3091.101807 4.4019e-16
3093.848145 4.0649e-16
3096.594727 3.3949e-16
3099.341309 4.9238e-16
3102.087646 3.9646e-16
3104.834229 5.2615e-16
3107.580811 6.1653e-16
3110.327393 5.9151e-16
3113.073975 6.8487e-16
3115.820557 4.7406e-16
3118.567383 5.1526e-16
3121.313965 5.2794e-16
3124.060547 5.4333e-16
3126.807373 4.7901e-16
3129.553955 4.4898e-16
3132.300781 4.1975e-16
3135.047363 2.8239e-16
3137.794189 3.2632e-16
3140.541016 3.514e-16
3143.287598 3.4307e-16
3146.034424 4.4044e-16
3148.78125 5.7357e-16
3151.528076 4.9051e-16
3154.274902 4.264e-16
3157.021973 4.1544e-16
3159.768799 4.1639e-16
3162.515625 4.7129e-16
3165.262451 5.9761e-16
3168.009521 6.0229e-16
3170.756348 5.5745e-16
3173.503418 6.2553e-16
3176.250244 6.2315e-16
3178.997314 5.1007e-16
3181.744385 5.3082e-16
3184.491455 4.7771e-16
3187.238525 5.9875e-16
3189.985596 5.2287e-16
3192.732666 4.9925e-16
3195.479736 4.8197e-16
3198.226807 5.8885e-16
3200.973877 5.6648e-16
3203.720947 6.6074e-16
3206.468262 5.371e-16
3209.215332 5.3992e-16
3211.962646 5.11e-16
3214.709717 4.8738e-16
3217.457031 5.3982e-16
3220.204102 5.8818e-16
3222.951416 5.9109e-16
3225.69873 5.055e-16
3228.446045 4.7624e-16
3231.193115 5.2551e-16
3233.94043 6.0308e-16
3236.687744 5.1458e-16
3239.435059 5.141e-16
3242.182617 5.3679e-16
3244.929932 5.9599e-16
3247.677246 6.2681e-16
3250.424561 6.9487e-16
3253.172119 5.3162e-16
3255.919434 7.1955e-16
3258.666992 6.6366e-16
3261.414307 6.0088e-16
3264.161865 7.3272e-16
3266.90918 6.6353e-16
3269.656738 7.6695e-16
3272.404297 6.849e-16
3275.151855 5.9419e-16
3277.899414 6.2815e-16
3280.646729 5.9837e-16
3283.394287 6.5969e-16
3286.14209 6.4394e-16
3288.889648 6.0286e-16
3291.637207 6.8329e-16
3294.384766 6.8917e-16
3297.132324 5.9313e-16
3299.880127 7.65e-16
3302.627686 6.6946e-16
3305.375244 7.507e-16
3308.123047 6.7571e-16
3310.870605 7.2204e-16
3313.618408 7.1209e-16
3316.366211 6.3602e-16
3319.11377 6.4442e-16
