wave,flux
1668.781005859375,6.6007e-11
1670.151978,6.3029e-11
1671.522949,6.9269e-11
1672.893921,7.1358e-11
1674.265015,7.3584e-11
1675.635986,7.8364e-11
1677.00708,7.9292e-11
1678.378174,8.0641e-11
1679.749268,7.9533e-11
1681.120361,8.0108e-11
1682.491577,8.1483e-11
1683.862671,8.2425e-11
1685.233765,7.9958e-11
1686.60498,7.877e-11
1687.976196,8.0564e-11
1689.347412,8.1976e-11
1690.718628,8.0634e-11
1692.089844,8.0321e-11
1693.46106,7.8146e-11
1694.832275,7.6475e-11
1696.203613,7.5235e-11
1697.574829,7.6121e-11
1698.946167,7.8197e-11
1700.317505,7.7673e-11
1701.688843,7.6321e-11
1703.060181,7.6474e-11
1704.431519,7.6938e-11
1705.802856,7.661e-11
1707.174194,7.6451e-11
1708.545654,7.7971e-11
1709.917114,7.8765e-11
1711.288452,7.8065e-11
1712.659912,7.6439e-11
1714.031372,7.7737e-11
1715.402832,7.8915e-11
1716.774292,7.9164e-11
1718.145874,7.8324e-11
1719.517334,7.4087e-11
1720.888916,7.3821e-11
1722.260376,7.4713e-11
1723.631958,7.2768e-11
1725.00354,7.1879e-11
1726.375122,7.5763e-11
1727.746704,8.1685e-11
1729.118286,8.2232e-11
1730.48999,7.9085e-11
1731.861572,7.6188e-11
1733.233276,7.5285e-11
1734.60498,7.7477e-11
1735.976562,7.8102e-11
1737.348267,7.947e-11
1738.719971,8.1733e-11
1740.091675,8.1098e-11
1741.463501,7.9666e-11
1742.835205,7.936e-11
1744.206909,7.9182e-11
1745.578735,7.8108e-11
1746.950562,7.9138e-11
1748.322266,8.1074e-11
1749.694092,8.3781e-11
1751.065918,8.4227e-11
1752.437744,8.5608e-11
1753.809692,8.944e-11
1755.181519,9.1678e-11
1756.553345,9.0116e-11
1757.925293,8.5767e-11
1759.297241,8.0986e-11
1760.669067,7.7543e-11
1762.041016,7.7191e-11
1763.412964,7.6047e-11
1764.784912,7.3879e-11
1766.15686,7.6638e-11
1767.528931,7.8982e-11
1768.900879,7.9649e-11
1770.272949,8.1114e-11
1771.644897,8.1271e-11
1773.016968,8.2142e-11
1774.389038,8.3894e-11
1775.761108,8.42e-11
1777.133179,8.5824e-11
1778.505249,8.7003e-11
1779.877319,8.7067e-11
1781.24939,8.5267e-11
1782.621582,8.4771e-11
1783.993652,8.3921e-11
1785.365845,8.1509e-11
1786.738037,8.0123e-11
1788.110229,8.1881e-11
1789.482422,8.8034e-11
1790.854614,9.208e-11
1792.226807,9.3545e-11
1793.598999,9.3636e-11
1794.971191,9.3465e-11
1796.343506,9.1343e-11
1797.715698,9.0284e-11
1799.088013,9.2223e-11
1800.460327,9.3907e-11
1801.832642,9.3922e-11
1803.204956,9.1468e-11
1804.577271,8.7791e-11
1805.949585,8.671e-11
1807.321899,8.2742e-11
1808.694214,8.3421e-11
1810.06665,8.7314e-11
1811.438965,8.9939e-11
1812.811401,8.9537e-11
1814.183838,8.7392e-11
1815.556152,8.5741e-11
1816.928589,8.417e-11
1818.301025,8.5643e-11
1819.673462,8.5456e-11
1821.046021,8.5946e-11
1822.418457,8.6495e-11
1823.790894,8.7115e-11
1825.163452,8.6568e-11
1826.535889,8.4327e-11
1827.908447,8.3659e-11
1829.281006,8.2666e-11
1830.653564,7.9317e-11
1832.026123,7.8788e-11
1833.398682,8.2196e-11
1834.77124,8.3563e-11
1836.143799,8.3732e-11
1837.516479,8.3116e-11
1838.889038,7.9668e-11
1840.261597,7.5496e-11
1841.634277,7.3278e-11
1843.006958,7.4534e-11
1844.379639,7.5758e-11
1845.752197,7.5671e-11
1847.124878,7.5394e-11
1848.497559,7.8326e-11
1849.870361,8.0168e-11
1851.243042,7.8071e-11
1852.615723,7.6103e-11
1853.988525,7.7659e-11
1855.361206,7.9692e-11
1856.734009,8.1209e-11
1858.106689,7.9386e-11
1859.479492,7.7644e-11
1860.852295,7.8681e-11
1862.225098,7.9783e-11
1863.5979,7.9104e-11
1864.970703,7.8416e-11
1866.343506,7.9489e-11
1867.716431,8.1313e-11
1869.089233,8.2756e-11
1870.462158,8.3343e-11
1871.834961,8.3965e-11
1873.207886,8.3646e-11
1874.580811,8.2352e-11
1875.953613,8.0253e-11
1877.326538,8.0156e-11
1878.699463,8.2579e-11
1880.072388,8.3075e-11
1881.445312,8.3807e-11
1882.818359,8.6318e-11
1884.191284,8.586e-11
1885.564209,8.5194e-11
1886.937256,8.4944e-11
1888.310181,8.3765e-11
1889.683228,8.3605e-11
1891.056274,8.3812e-11
1892.429321,8.457e-11
1893.802368,8.4847e-11
1895.175415,8.3979e-11
1896.548462,8.2177e-11
1897.921509,7.9939e-11
1899.294556,7.8274e-11
1900.667603,7.7974e-11
1902.040771,7.9639e-11
1903.413818,8.1976e-11
1904.786987,8.1397e-11
1906.160034,8.2188e-11
1907.533203,8.1067e-11
1908.906372,7.8641e-11
1910.279541,7.7314e-11
1911.65271,7.955e-11
1913.025879,8.2534e-11
1914.399048,8.2043e-11
1915.772217,8.1649e-11
1917.145386,8.2463e-11
1918.518555,8.3135e-11
1919.891846,8.4912e-11
1921.265015,8.4595e-11
1922.638306,8.4465e-11
1924.011597,8.4611e-11
1925.384766,8.1954e-11
1926.758057,7.9638e-11
1928.131348,8.0097e-11
