wave,flux
1669.0067138671875,3.8862e-11
1670.377686,3.7726e-11
1671.748535,4.055e-11
1673.119629,4.2384e-11
1674.490601,4.3231e-11
1675.861572,4.4818e-11
1677.232544,4.5074e-11
1678.603638,4.574e-11
1679.974609,4.5979e-11
1681.345703,4.6286e-11
1682.716797,4.664e-11
1684.087891,4.6666e-11
1685.458984,4.5058e-11
1686.830078,4.5331e-11
1688.201294,4.6143e-11
1689.572388,4.6765e-11
1690.943604,4.6179e-11
1692.314819,4.5756e-11
1693.686035,4.5252e-11
1695.057129,4.4417e-11
1696.428467,4.3651e-11
1697.799683,4.4424e-11
1699.170898,4.482e-11
1700.542236,4.4083e-11
1701.913452,4.3559e-11
1703.28479,4.3598e-11
1704.656128,4.3565e-11
1706.027344,4.3719e-11
1707.398682,4.2868e-11
1708.770142,4.2942e-11
1710.141479,4.2587e-11
1711.512817,4.2697e-11
1712.884277,4.3038e-11
1714.255615,4.3355e-11
1715.627075,4.3513e-11
1716.998535,4.3139e-11
1718.369995,4.2599e-11
1719.741455,4.0711e-11
1721.112915,4.0459e-11
1722.484375,4.0721e-11
1723.855957,4.0086e-11
1725.227417,3.9653e-11
1726.598999,4.1252e-11
1727.970581,4.3436e-11
1729.342163,4.3463e-11
1730.713745,4.1947e-11
1732.085327,4.133e-11
1733.456909,4.0994e-11
1734.828491,4.2212e-11
1736.200195,4.225e-11
1737.571777,4.2359e-11
1738.943481,4.3512e-11
1740.315186,4.3605e-11
1741.686768,4.2927e-11
1743.058472,4.2929e-11
1744.430176,4.3698e-11
1745.802002,4.2975e-11
1747.173706,4.2822e-11
1748.54541,4.2754e-11
1749.917236,4.3143e-11
1751.289062,4.3696e-11
1752.660767,4.4446e-11
1754.032593,4.5732e-11
1755.404419,4.6703e-11
1756.776245,4.6017e-11
1758.148071,4.4421e-11
1759.52002,4.1808e-11
1760.891846,4.0177e-11
1762.263794,4.0274e-11
1763.63562,4.0696e-11
1765.007568,4.0541e-11
1766.379517,4.1197e-11
1767.751465,4.123e-11
1769.123413,4.1734e-11
1770.495361,4.2417e-11
1771.86731,4.21e-11
1773.239258,4.232e-11
