wave flux
1672.8323974609375 9.2982e-09
1674.203491 9.4768e-09
1675.574585 9.4274e-09
1676.945679 9.6595e-09
1678.316772 9.691e-09
1679.687866 9.6958e-09
1681.059082 9.5466e-09
1682.430176 9.6528e-09
1683.801392 9.6682e-09
1685.172607 9.5968e-09
1686.543823 9.5155e-09
1687.915039 9.5277e-09
1689.286255 9.513e-09
1690.657471 9.348e-09
1692.028687 9.3171e-09
1693.400024 9.2594e-09
1694.77124 9.2414e-09
1696.142578 9.2753e-09
1697.513916 9.3541e-09
1698.885254 9.3917e-09
1700.256592 9.1106e-09
1701.62793 8.9498e-09
1702.999268 8.9797e-09
1704.370728 8.9407e-09
1705.742065 8.8427e-09
1707.113525 8.6228e-09
1708.484985 8.502e-09
1709.856445 8.3397e-09
1711.227905 8.5833e-09
1712.599365 8.7203e-09
1713.970825 8.7667e-09
1715.342285 8.5652e-09
1716.713867 8.4905e-09
1718.085327 8.3077e-09
1719.456909 7.8631e-09
1720.828491 7.604e-09
1722.200073 7.873e-09
1723.571655 8.0069e-09
1724.943237 8.255e-09
1726.314819 8.6046e-09
1727.686523 8.7781e-09
1729.058105 8.6559e-09
1730.42981 8.51e-09
1731.801514 8.6287e-09
1733.173096 8.6624e-09
1734.5448 8.7692e-09
1735.916504 8.7326e-09
1737.28833 8.5549e-09
1738.660034 8.4993e-09
1740.031738 8.5137e-09
1741.403564 8.5328e-09
1742.775269 8.6573e-09
1744.147095 8.6322e-09
1745.518921 8.4131e-09
1746.890747 8.2049e-09
1748.262573 8.1922e-09
1749.634399 8.3233e-09
1751.006226 8.38e-09
1752.378174 8.4706e-09
1753.75 8.5265e-09
1755.121948 8.7186e-09
1756.493896 8.6822e-09
1757.865723 8.4652e-09
1759.237671 8.0403e-09
1760.609619 7.792e-09
1761.981567 8.0218e-09
1763.353638 8.1124e-09
1764.725586 8.2893e-09
1766.097534 8.4135e-09
1767.469604 8.2756e-09
1768.841675 8.2019e-09
1770.213623 8.1819e-09
1771.585693 8.1994e-09
1772.957764 7.9988e-09
1774.329834 7.9433e-09
1775.701904 8.036e-09
1777.074097 8.1245e-09
1778.446167 8.269e-09
1779.818359 8.3729e-09
1781.19043 8.3872e-09
1782.562622 8.4121e-09
1783.934814 8.3232e-09
1785.307007 8.2102e-09
1786.679199 8.0787e-09
1788.051392 8.0007e-09
1789.423584 8.1682e-09
1790.795776 8.155e-09
1792.168091 8.2081e-09
1793.540283 8.3436e-09
1794.912598 8.4179e-09
1796.284912 8.3984e-09
1797.657104 8.2558e-09
1799.029419 8.4486e-09
1800.401733 8.4863e-09
1801.774048 8.4947e-09
1803.146484 8.4562e-09
1804.518799 8.3472e-09
1805.891113 8.2956e-09
1807.26355 8.1308e-09
1808.635864 8.1251e-09
1810.008301 8.2344e-09
1811.380737 8.0915e-09
1812.753174 8.0626e-09
1814.12561 8.1353e-09
1815.498047 7.8886e-09
1816.870483 7.7999e-09
1818.24292 7.9298e-09
1819.615479 7.8554e-09
1820.987915 7.9004e-09
1822.360474 7.7663e-09
1823.73291 7.9584e-09
1825.105469 8.0828e-09
1826.478027 8.0133e-09
1827.850586 7.9354e-09
1829.223145 7.648e-09
1830.595703 7.5647e-09
1831.968262 7.7451e-09
1833.340942 7.7568e-09
