wave flux
1140.0206298828125 3.6034e-12
1140.604736 3.472e-12
1141.188843 3.3873e-12
1141.772949 3.4418e-12
1142.357056 3.4559e-12
1142.941162 3.4157e-12
1143.525269 3.4479e-12
1144.109375 3.4292e-12
1144.693481 3.4208e-12
1145.277588 3.407e-12
1145.861694 3.406e-12
1146.445801 3.4433e-12
1147.029907 3.4312e-12
1147.614014 3.4294e-12
1148.19812 3.4322e-12
1148.782227 3.4291e-12
1149.366333 3.4396e-12
1149.950439 3.4439e-12
1150.534546 3.4181e-12
1151.118652 3.4068e-12
1151.702759 3.3824e-12
1152.286865 3.3825e-12
1152.870972 3.3988e-12
1153.455078 3.4004e-12
1154.039185 3.4047e-12
1154.623291 3.4086e-12
1155.207397 3.3918e-12
1155.791504 3.3872e-12
1156.37561 3.3581e-12
1156.959717 3.3503e-12
1157.543701 3.355e-12
1158.127808 3.3433e-12
1158.711914 3.3269e-12
1159.296021 3.344e-12
1159.880127 3.3597e-12
1160.464233 3.3573e-12
1161.04834 3.3369e-12
1161.632446 3.3285e-12
1162.216553 3.309e-12
1162.800537 3.2881e-12
1163.384644 3.3019e-12
1163.96875 3.3067e-12
1164.552856 3.3057e-12
1165.136963 3.2996e-12
1165.721069 3.2806e-12
1166.305176 3.2768e-12
1166.88916 3.2571e-12
1167.473267 3.2472e-12
1168.057373 3.2343e-12
1168.641479 3.2355e-12
1169.225586 3.2406e-12
1169.809692 3.241e-12
1170.393677 3.2357e-12
1170.977783 3.2285e-12
1171.56189 3.2388e-12
1172.145996 3.2241e-12
1172.730103 3.2123e-12
1173.314087 3.1906e-12
1173.898193 3.1979e-12
1174.4823 3.1906e-12
1175.066406 3.1769e-12
1175.650391 3.1683e-12
1176.234497 3.1758e-12
1176.818604 3.1664e-12
1177.40271 3.1525e-12
1177.986694 3.1388e-12
1178.570801 3.1458e-12
1179.154907 3.126e-12
1179.739014 3.1172e-12
1180.322998 3.1041e-12
1180.907104 3.1094e-12
1181.491211 3.1083e-12
1182.075195 3.1025e-12
1182.659302 3.0987e-12
1183.243408 3.097e-12
1183.827515 3.0744e-12
1184.411499 3.0508e-12
1184.995605 3.0307e-12
1185.579712 3.0334e-12
1186.163696 3.0097e-12
1186.747803 2.9995e-12
1187.331909 2.9915e-12
1187.915894 2.983e-12
1188.5 2.9752e-12
1189.084106 2.972e-12
1189.668091 2.9564e-12
1190.252197 2.9468e-12
1190.836182 2.9259e-12
1191.420288 2.9353e-12
1192.004395 2.9268e-12
1192.588379 2.9106e-12
1193.172485 2.8861e-12
1193.756592 2.8671e-12
1194.340576 2.8441e-12
1194.924683 2.8166e-12
1195.508667 2.7977e-12
1196.092773 2.7781e-12
1196.67688 2.7629e-12
1197.260864 2.7462e-12
1197.844971 2.7101e-12
1198.428955 2.6786e-12
1199.013062 2.6375e-12
1199.597046 2.5931e-12
1200.181152 2.5542e-12
1200.765259 2.5415e-12
1201.349243 2.5396e-12
1201.93335 2.5182e-12
1202.517334 2.469e-12
1203.10144 2.4281e-12
1203.685425 2.3871e-12
1204.269531 2.3417e-12
1204.853516 2.291e-12
1205.437622 2.2326e-12
1206.021606 2.1832e-12
1206.605713 2.1407e-12
1207.189697 2.0824e-12
1207.773804 2.0118e-12
1208.357788 1.9338e-12
1208.941895 1.8618e-12
1209.525879 1.7808e-12
1210.109985 1.6999e-12
1210.69397 1.5991e-12
1211.278076 1.5079e-12
1211.862061 1.4104e-12
1212.446167 1.3159e-12
1213.030151 1.2161e-12
1213.614136 1.1095e-12
1214.198242 1.0005e-12
1214.782227 9.0212e-13
1215.366333 8.1992e-13
1215.950317 8.143e-13
1216.534424 8.9618e-13
1217.118408 9.874e-13
1217.702393 1.0793e-12
1218.286499 1.1803e-12
1218.870483 1.275e-12
1219.45459 1.3627e-12
1220.038574 1.4509e-12
1220.622559 1.5374e-12
1221.206665 1.623e-12
1221.790649 1.6982e-12
1222.374756 1.7691e-12
1222.95874 1.8295e-12
1223.542725 1.8981e-12
1224.126831 1.954e-12
1224.710815 2.0133e-12
1225.2948 2.0707e-12
1225.878906 2.1236e-12
1226.462891 2.1772e-12
1227.046875 2.2151e-12
1227.630981 2.2656e-12
1228.214966 2.2935e-12
1228.79895 2.3372e-12
1229.383057 2.3577e-12
1229.967041 2.3831e-12
1230.551025 2.3951e-12
1231.135132 2.4226e-12
1231.719116 2.4601e-12
1232.303101 2.4845e-12
1232.887085 2.5009e-12
1233.471191 2.5125e-12
1234.055176 2.5236e-12
1234.63916 2.5253e-12
1235.223145 2.5352e-12
1235.807251 2.5396e-12
1236.391235 2.5495e-12
1236.97522 2.5577e-12
1237.559204 2.5603e-12
1238.143311 2.5753e-12
1238.727295 2.5679e-12
1239.311279 2.5769e-12
1239.895264 2.5831e-12
1240.47937 2.5947e-12
1241.063354 2.5935e-12
1241.647339 2.5973e-12
1242.231323 2.5924e-12
1242.815308 2.5987e-12
1243.399414 2.6019e-12
1243.983398 2.6028e-12
1244.567383 2.5973e-12
1245.151367 2.5941e-12
1245.735352 2.6012e-12
1246.319458 2.598e-12
1246.903442 2.6037e-12
1247.487427 2.6005e-12
1248.071411 2.6072e-12
1248.655396 2.6081e-12
1249.23938 2.6027e-12
