wave,flux
1140.4820556640625,3.9963e-12
1141.066162,4.0442e-12
1141.650269,3.9984e-12
1142.234375,4.0905e-12
1142.818481,4.0536e-12
1143.402588,4.0366e-12
1143.986694,4.0096e-12
1144.570801,4.0137e-12
1145.154907,4.0285e-12
1145.738892,4.0159e-12
1146.322998,4.0097e-12
1146.907104,4.0742e-12
1147.491211,4.0471e-12
1148.075317,4.0342e-12
1148.659424,4.0103e-12
1149.24353,4.0025e-12
1149.827637,3.9871e-12
1150.411743,3.9848e-12
1150.995728,3.9548e-12
1151.579834,3.9456e-12
1152.16394,3.9745e-12
1152.748047,3.9647e-12
1153.332153,3.9411e-12
1153.91626,3.9253e-12
1154.500244,3.9405e-12
1155.084351,3.9421e-12
1155.668457,3.9486e-12
1156.252563,3.9348e-12
1156.83667,3.9103e-12
1157.420776,3.8982e-12
1158.004761,3.8869e-12
1158.588867,3.8742e-12
1159.172974,3.8768e-12
1159.75708,3.8813e-12
1160.341187,3.8658e-12
1160.925171,3.852e-12
1161.509277,3.8303e-12
1162.093384,3.8049e-12
1162.67749,3.7885e-12
1163.261475,3.8259e-12
1163.845581,3.8387e-12
1164.429688,3.8319e-12
1165.013794,3.8124e-12
1165.597778,3.789e-12
1166.181885,3.7838e-12
1166.765991,3.7583e-12
1167.350098,3.7486e-12
1167.934082,3.7482e-12
1168.518188,3.731e-12
1169.102295,3.7329e-12
1169.686279,3.7207e-12
1170.270386,3.6995e-12
1170.854492,3.692e-12
1171.438599,3.696e-12
1172.022583,3.694e-12
1172.606689,3.6872e-12
1173.190796,3.6627e-12
1173.77478,3.6609e-12
1174.358887,3.6469e-12
1174.942993,3.6295e-12
1175.526978,3.6089e-12
1176.111084,3.5972e-12
1176.69519,3.5981e-12
1177.279175,3.5776e-12
1177.863281,3.5759e-12
1178.447388,3.5641e-12
1179.031372,3.5463e-12
1179.615479,3.5152e-12
1180.199585,3.5155e-12
1180.783569,3.5033e-12
1181.367676,3.5041e-12
1181.95166,3.4967e-12
1182.535767,3.5033e-12
1183.119873,3.456e-12
1183.703857,3.4428e-12
1184.287964,3.4281e-12
1184.871948,3.4145e-12
1185.456055,3.401e-12
1186.040161,3.3848e-12
1186.624146,3.3606e-12
1187.208252,3.3459e-12
1187.792236,3.3215e-12
1188.376343,3.3106e-12
1188.960327,3.2864e-12
1189.544434,3.2639e-12
1190.128418,3.2405e-12
1190.712524,3.2203e-12
1191.296631,3.2022e-12
1191.880615,3.1778e-12
1192.464722,3.148e-12
1193.048706,3.1283e-12
1193.632812,3.0775e-12
1194.216797,3.0477e-12
1194.800903,3.0035e-12
1195.384888,2.9813e-12
1195.968994,2.9581e-12
1196.552979,2.927e-12
1197.137085,2.8966e-12
1197.721069,2.8407e-12
1198.305176,2.7816e-12
1198.88916,2.7285e-12
1199.473267,2.6752e-12
1200.057251,2.609e-12
1200.641357,2.5797e-12
1201.225342,2.5573e-12
1201.809326,2.5058e-12
1202.393433,2.4402e-12
1202.977417,2.3761e-12
1203.561523,2.3229e-12
1204.145508,2.2541e-12
1204.729614,2.1753e-12
1205.313599,2.0986e-12
1205.897705,2.0361e-12
1206.481689,1.952e-12
1207.065674,1.8723e-12
1207.64978,1.786e-12
1208.233765,1.6918e-12
1208.817871,1.6004e-12
1209.401855,1.5096e-12
1209.98584,1.415e-12
1210.569946,1.3149e-12
1211.153931,1.2192e-12
1211.738037,1.1214e-12
1212.322021,1.0276e-12
1212.906006,9.3334e-13
1213.490112,8.4375e-13
1214.074097,7.5542e-13
1214.658081,6.7162e-13
1215.242188,6.028e-13
1215.826172,5.8783e-13
1216.410156,6.2707e-13
1216.994263,6.9852e-13
1217.578247,7.8092e-13
1218.162231,8.621e-13
1218.746338,9.5003e-13
1219.330322,1.0389e-12
1219.914307,1.1307e-12
1220.498413,1.2198e-12
1221.082397,1.3103e-12
1221.666382,1.4032e-12
1222.250488,1.4825e-12
1222.834473,1.5639e-12
1223.418457,1.6488e-12
1224.002441,1.7275e-12
1224.586548,1.7961e-12
1225.170532,1.8804e-12
1225.754517,1.9512e-12
1226.338501,2.0152e-12
1226.922607,2.0819e-12
1227.506592,2.1436e-12
1228.090576,2.2056e-12
1228.674561,2.2624e-12
1229.258667,2.3127e-12
1229.842651,2.3585e-12
1230.426636,2.3997e-12
1231.01062,2.4347e-12
1231.594727,2.5115e-12
1232.178711,2.549e-12
1232.762695,2.5801e-12
1233.34668,2.608e-12
1233.930664,2.6402e-12
1234.514771,2.6748e-12
1235.098755,2.7009e-12
1235.682739,2.7223e-12
1236.266724,2.7407e-12
1236.850708,2.7779e-12
1237.434692,2.8033e-12
1238.018799,2.8147e-12
1238.602783,2.8049e-12
1239.186768,2.8271e-12
1239.770752,2.8547e-12
1240.354736,2.8768e-12
1240.938721,2.8855e-12
1241.522827,2.9065e-12
1242.106812,2.9054e-12
1242.690796,2.9187e-12
1243.27478,2.9404e-12
1243.858765,2.9361e-12
1244.442749,2.9469e-12
1245.026733,2.9452e-12
1245.610718,2.9511e-12
1246.194702,2.9585e-12
1246.778809,2.9608e-12
1247.362793,2.9695e-12
1247.946777,2.9446e-12
