wave flux
1711.069702 1.1181e-13
1712.44043 1.0057e-13
1713.811157 9.8168e-14
1715.182007 1.0054e-13
1716.552734 9.7485e-14
1717.923584 1.0338e-13
1719.294312 1.0634e-13
1720.665161 1.0722e-13
1722.036011 1.098e-13
1723.40686 1.008e-13
1724.777832 1.0599e-13
1726.148682 1.0753e-13
1727.519531 9.3632e-14
1728.890503 9.8714e-14
1730.261475 1.0253e-13
1731.632324 1.0481e-13
1733.003296 9.7353e-14
1734.374268 9.9327e-14
1735.745239 9.4495e-14
1737.116211 1.0279e-13
1738.487305 1.1077e-13
1739.858276 1.1354e-13
1741.22937 1.0531e-13
1742.600342 1.0059e-13
1743.971436 1.0444e-13
1745.342529 1.0058e-13
1746.713623 9.5706e-14
1748.084717 9.3528e-14
1749.455811 8.8402e-14
1750.826904 7.6862e-14
1752.19812 7.7823e-14
1753.569214 9.9765e-14
1754.94043 9.72e-14
1756.311646 9.7169e-14
1757.682739 9.4114e-14
1759.053955 9.6268e-14
1760.425171 1.0763e-13
1761.796387 1.0949e-13
1763.167725 1.1059e-13
1764.53894 1.0304e-13
1765.910156 1.0186e-13
1767.281494 1.0998e-13
1768.652832 1.1236e-13
1770.024048 1.0695e-13
1771.395386 1.0499e-13
1772.766724 1.1233e-13
1774.138062 1.1132e-13
1775.509399 1.1244e-13
1776.880859 1.1256e-13
1778.252197 1.1866e-13
1779.623535 1.049e-13
1780.994995 1.159e-13
1782.366455 1.1478e-13
1783.737793 1.0929e-13
1785.109253 1.1363e-13
1786.480713 1.058e-13
1787.852173 1.1116e-13
1789.223755 1.0119e-13
1790.595215 1.1054e-13
1791.966675 1.1308e-13
1793.338257 1.236e-13
1794.709717 1.1429e-13
1796.081299 1.2245e-13
1797.452881 1.1712e-13
1798.824341 1.1328e-13
1800.195923 1.1578e-13
1801.567505 1.1738e-13
1802.939209 1.1376e-13
1804.310791 1.1576e-13
1805.682373 1.1915e-13
1807.054077 1.1602e-13
1808.425659 1.148e-13
1809.797363 1.1619e-13
1811.168945 1.1641e-13
1812.540649 1.1765e-13
1813.912354 1.1246e-13
1815.284058 1.189e-13
1816.655762 1.1664e-13
1818.027466 1.1891e-13
1819.399292 1.1931e-13
1820.770996 1.1867e-13
1822.142822 1.1959e-13
1823.514526 1.1848e-13
1824.886353 1.2041e-13
1826.258179 1.2361e-13
1827.629883 1.1847e-13
1829.001709 1.1472e-13
1830.373535 1.1588e-13
1831.745361 1.206e-13
1833.11731 1.1437e-13
1834.489136 1.266e-13
1835.860962 1.1935e-13
1837.23291 1.2276e-13
1838.604736 1.1964e-13
1839.976685 1.2374e-13
1841.348633 1.1745e-13
1842.720581 1.2344e-13
1844.092529 1.1896e-13
1845.464478 1.2133e-13
1846.836426 1.1799e-13
1848.208374 1.1636e-13
1849.580322 1.1726e-13
1850.952271 1.233e-13
1852.324341 1.1934e-13
1853.696289 1.2218e-13
1855.068359 1.2429e-13
1856.44043 1.1879e-13
1857.8125 1.2098e-13
1859.18457 1.1859e-13
1860.556519 1.264e-13
1861.928711 1.255e-13
1863.300781 1.2135e-13
1864.672852 1.1923e-13
1866.044922 1.2554e-13
1867.417114 1.2175e-13
1868.789185 1.211e-13
1870.161377 1.2391e-13
1871.533447 1.2091e-13
1872.90564 1.1858e-13
1874.277832 1.2715e-13
1875.650024 1.2424e-13
1877.022217 1.1871e-13
1878.394409 1.1992e-13
1879.766602 1.1977e-13
1881.138794 1.2324e-13
1882.511108 1.186e-13
1883.883301 1.2442e-13
1885.255493 1.2158e-13
