wave flux
1710.263306 9.8254e-15
1711.634155 2.3543e-16
1713.005005 1.9256e-16
1714.375854 5.3345e-15
1715.746704 7.515e-15
1717.117554 7.4681e-15
1718.488403 1.6813e-15
1719.859375 2.8173e-16
1721.230225 5.1548e-15
1722.601196 5.2113e-15
1723.972046 0.0
1725.343018 0.0
1726.713989 8.2335e-15
1728.084961 1.7532e-14
1729.455933 0.0
1730.827026 7.7371e-15
1732.197998 5.7907e-15
1733.56897 5.6298e-15
1734.940063 0.0
1736.311157 0.0
1737.682129 0.0
1739.053223 0.0
1740.424316 0.0
1741.795532 5.4063e-15
1743.166626 2.833e-15
1744.53772 0.0
1745.908936 3.9546e-15
1747.280029 7.2487e-15
1748.651245 4.5551e-15
1750.022461 8.6973e-15
1751.393555 2.7204e-15
1752.764771 8.4103e-15
1754.136108 5.4722e-15
1755.507324 1.8965e-15
1756.87854 5.7943e-16
1758.249756 4.9966e-15
1759.621094 0.0
1760.992432 1.9088e-15
1762.363647 7.9846e-15
1763.734985 4.4377e-15
1765.106323 0.0
1766.477661 5.4288e-15
1767.848999 1.0759e-14
1769.220459 1.7451e-15
1770.591797 3.3091e-15
1771.963135 4.6855e-15
1773.334595 5.07e-15
1774.706055 2.7348e-15
1776.077393 8.0082e-15
1777.448853 7.7417e-15
1778.820312 2.9786e-15
1780.191772 3.2476e-15
1781.563232 1.6644e-15
1782.934814 6.7525e-15
1784.306274 4.143e-15
1785.677734 0.0
1787.049316 4.7595e-15
1788.420898 2.3199e-15
1789.792358 3.6796e-15
1791.16394 4.0244e-15
1792.535522 3.5275e-15
1793.907104 3.9884e-15
1795.278687 1.167e-15
1796.650391 4.9452e-15
1798.021973 3.7932e-15
1799.393555 7.4662e-15
1800.765259 8.0449e-15
1802.136963 6.0189e-15
1803.508545 5.1588e-15
1804.880249 3.395e-15
1806.251953 5.229e-15
1807.623657 2.6161e-15
1808.995361 5.0065e-15
1810.367188 3.8602e-15
1811.738892 6.0093e-15
1813.110596 2.0169e-15
1814.482422 2.5499e-15
1815.854126 4.9643e-15
1817.225952 3.1821e-15
1818.597778 3.2981e-15
1819.969604 1.4323e-15
1821.341431 3.3924e-15
1822.713257 5.3842e-16
1824.085083 0.0
1825.456909 3.1395e-15
1826.828857 8.3631e-16
1828.200684 3.767e-15
1829.572632 3.3291e-15
1830.944458 0.0
1832.316406 2.9266e-15
1833.688354 2.3792e-15
1835.060303 6.8367e-15
1836.432251 8.0434e-15
1837.804199 6.3281e-15
1839.176147 4.497e-16
1840.548096 3.7256e-15
1841.920044 1.8626e-15
1843.292114 2.4949e-15
1844.664062 4.2009e-15
1846.036133 1.8871e-15
1847.408203 2.8439e-15
1848.780151 1.459e-15
1850.152222 3.004e-15
1851.524292 3.3372e-15
1852.896362 1.0928e-15
1854.268433 3.7853e-15
1855.640625 1.9217e-15
1857.012695 4.3409e-15
1858.384766 0.0
1859.756958 6.0861e-16
1861.129028 3.9844e-15
1862.501221 7.9443e-16
1863.873413 2.9666e-15
1865.245605 5.0749e-16
1866.617798 4.4422e-15
1867.98999 1.1886e-15
1869.362183 4.4134e-15
1870.734375 4.7852e-15
1872.106567 5.4367e-15
1873.47876 9.0245e-16
1874.851074 2.4088e-15
1876.223267 3.5896e-15
1877.595581 2.385e-15
1878.967896 5.1491e-15
1880.340088 3.4402e-15
1881.712402 6.5807e-15
1883.084717 1.6706e-15
1884.457031 2.2707e-15
1885.829346 1.9249e-15
1887.20166 3.9396e-15
1888.574097 2.5761e-15
1889.946411 1.7088e-15
1891.318726 3.9254e-15
1892.691162 7.3485e-15
1894.063477 4.4674e-15
1895.435913 4.1325e-15
1896.80835 2.9693e-15
1898.180664 0.0
1899.553101 1.6555e-15
1900.925537 4.8349e-15
1902.297974 3.1618e-15
1903.67041 2.806e-15
1905.042969 2.1364e-15
1906.415405 1.7362e-15
1907.787842 3.4347e-15
1909.1604 5.8652e-15
1910.532837 4.918e-15
1911.905396 4.0965e-15
1913.277832 4.6001e-15
1914.650391 9.3942e-16
1916.022949 0.0
1917.395508 2.2392e-15
1918.768066 2.9021e-15
1920.140625 3.7667e-15
1921.513184 3.0418e-15
1922.885742 2.2028e-15
1924.258301 2.968e-15
1925.630859 5.4392e-15
1927.00354 3.2604e-15
1928.376099 3.4652e-15
1929.748779 3.1399e-15
1931.121338 3.2574e-15
1932.494019 3.6589e-15
1933.866699 1.9908e-15
1935.23938 2.9898e-15
1936.611938 2.37e-15
1937.984619 9.3308e-17
1939.3573 1.2388e-15
1940.730103 4.7523e-15
1942.102783 2.7532e-15
1943.475464 1.8805e-15
1944.848145 4.1442e-15
1946.220947 2.5039e-15
1947.593628 3.373e-15
