wave,flux
1710.952393,3.5603e-13
1712.323242,2.7929e-13
1713.694092,3.0681e-13
1715.064941,4.3248e-13
1716.435791,4.497e-13
1717.806641,4.2848e-13
1719.177612,3.6842e-13
1720.548462,3.0622e-13
1721.919434,2.933e-13
1723.290405,3.051e-13
1724.661377,3.1252e-13
1726.032349,3.2593e-13
1727.40332,4.3211e-13
1728.774292,4.3747e-13
1730.145386,3.8084e-13
1731.516357,3.7757e-13
1732.887451,3.9444e-13
1734.258423,3.5754e-13
1735.629517,3.8137e-13
1737.00061,3.7755e-13
1738.371704,3.4955e-13
1739.742798,3.2524e-13
1741.113892,3.4402e-13
1742.485107,4.4154e-13
1743.856201,4.5477e-13
1745.227417,4.5511e-13
1746.598511,4.0173e-13
1747.969727,5.1016e-13
1749.340942,5.1973e-13
1750.712158,5.9494e-13
1752.083374,4.9421e-13
1753.45459,5.4681e-13
1754.825928,5.8164e-13
1756.197144,5.9393e-13
1757.568481,5.0015e-13
1758.939697,4.6935e-13
1760.311035,4.2255e-13
1761.682373,4.9641e-13
1763.053711,4.0635e-13
1764.425049,3.8905e-13
1765.796387,4.2243e-13
1767.167725,4.735e-13
1768.539185,4.7712e-13
1769.910522,5.2718e-13
1771.281982,5.9303e-13
1772.65332,6.5837e-13
1774.02478,6.3083e-13
1775.39624,6.7223e-13
1776.7677,7.1272e-13
1778.13916,7.4711e-13
1779.51062,7.6497e-13
1780.88208,6.5317e-13
1782.253662,6.0237e-13
1783.625122,6.2155e-13
1784.996704,5.9845e-13
1786.368164,5.8356e-13
1787.739746,5.7013e-13
1789.111328,6.6677e-13
1790.48291,8.0194e-13
1791.854492,8.847e-13
1793.226074,8.7155e-13
1794.597778,8.3111e-13
1795.96936,7.9311e-13
1797.340942,7.4836e-13
1798.712646,7.8828e-13
1800.084351,8.603e-13
1801.455933,8.2521e-13
1802.827637,7.1317e-13
1804.199341,6.7478e-13
1805.571045,7.0624e-13
1806.942749,5.1126e-13
1808.314575,5.6584e-13
1809.686279,7.217e-13
1811.057983,8.642e-13
1812.42981,8.4732e-13
1813.801636,7.5634e-13
1815.17334,6.978e-13
1816.545166,7.3165e-13
1817.916992,7.3872e-13
1819.288818,7.5913e-13
1820.660645,7.5403e-13
1822.032471,8.6465e-13
1823.404419,9.1414e-13
1824.776245,8.2852e-13
1826.148071,7.3381e-13
1827.52002,7.4994e-13
1828.891968,7.1258e-13
1830.263794,6.8821e-13
1831.635742,7.0389e-13
1833.00769,7.1098e-13
1834.379639,7.6759e-13
1835.751587,7.4116e-13
1837.123535,7.257e-13
1838.495605,6.9877e-13
1839.867554,6.1009e-13
1841.239624,5.3518e-13
1842.611572,5.8492e-13
1843.983643,5.9368e-13
1845.355591,5.0423e-13
1846.727661,4.7335e-13
1848.099731,4.9459e-13
1849.471802,5.7578e-13
1850.843872,4.3773e-13
1852.215942,4.2374e-13
1853.588135,5.6568e-13
1854.960205,6.486e-13
1856.332397,6.2007e-13
1857.704468,5.078e-13
1859.07666,5.0377e-13
1860.44873,6.1044e-13
1861.820923,6.6737e-13
1863.193115,6.4679e-13
1864.565308,5.5545e-13
1865.9375,6.3218e-13
1867.309692,6.9898e-13
1868.681885,7.2727e-13
1870.054199,7.3574e-13
1871.426392,7.9142e-13
1872.798584,7.3479e-13
1874.170898,7.2385e-13
1875.543213,6.2651e-13
1876.915405,6.1485e-13
1878.28772,7.2851e-13
1879.660034,7.5769e-13
1881.032349,8.0359e-13
1882.404663,9.1685e-13
1883.776978,8.6604e-13
1885.149292,7.9745e-13
1886.521606,8.1633e-13
1887.894043,7.3762e-13
1889.266357,7.6797e-13
1890.638794,7.6282e-13
1892.011108,8.3436e-13
1893.383545,8.4169e-13
1894.755981,9.0798e-13
1896.128418,7.6356e-13
1897.500854,6.6046e-13
1898.873291,6.2412e-13
1900.245728,6.3343e-13
1901.618164,6.5692e-13
1902.990601,8.3606e-13
1904.363037,8.3197e-13
1905.735596,7.9666e-13
1907.108032,7.9963e-13
1908.480591,7.511e-13
1909.853027,6.9898e-13
1911.225586,7.2059e-13
1912.598145,8.1488e-13
1913.970703,8.2464e-13
1915.343262,8.6922e-13
1916.71582,8.616e-13
1918.088379,8.7353e-13
1919.460938,9.1568e-13
1920.833496,9.8693e-13
1922.206055,9.3981e-13
1923.578735,9.1438e-13
1924.951294,8.4261e-13
1926.323975,7.6431e-13
1927.696533,7.7677e-13
1929.069214,7.2983e-13
1930.441895,5.7359e-13
1931.814453,5.3473e-13
1933.187134,5.3663e-13
1934.559814,5.0944e-13
1935.932495,4.6047e-13
1937.305176,5.7802e-13
1938.677856,7.5051e-13
1940.050659,8.6108e-13
1941.42334,9.774e-13
1942.796021,1.0272e-12
1944.168823,9.769e-13
1945.541504,9.9927e-13
1946.914307,9.977e-13
1948.287109,9.9122e-13
1949.65979,9.3092e-13
1951.032593,9.5237e-13
1952.405396,8.932e-13
1953.778198,9.8879e-13
1955.151001,9.5909e-13
1956.523804,1.0474e-12
1957.896606,9.8434e-13
1959.269409,1.0244e-12
1960.642212,9.2764e-13
1962.015137,8.8239e-13
1963.387939,8.2853e-13
1964.760864,9.2371e-13
1966.133667,1.0279e-12
1967.506592,1.0567e-12
1968.879395,1.0267e-12
1970.252319,9.7159e-13
1971.625244,1.0119e-12
1972.998169,1.0255e-12
1974.371094,9.2061e-13
1975.744019,9.5199e-13
1977.116943,9.9364e-13
1978.489868,9.679e-13
1979.862793,9.684e-13
1981.235718,1.0141e-12
1982.608765,9.9166e-13
1983.981689,9.2217e-13
1985.354614,8.8206e-13
1986.727661,8.1821e-13
1988.100586,8.2908e-13
1989.473633,8.0073e-13
1990.84668,8.2391e-13
1992.219604,9.0333e-13
1993.592651,7.9001e-13
1994.965698,7.7605e-13
1996.338745,7.9043e-13
1997.711792,8.6156e-13
1999.084839,8.0574e-13
2000.457886,7.9895e-13
2001.830933,8.7047e-13
2003.203979,8.912e-13
2004.577148,8.0004e-13
2005.950195,8.5155e-13
2007.323242,8.0955e-13
2008.696411,8.9618e-13
2010.069458,9.452e-13
2011.442627,7.3797e-13
2012.815674,7.7244e-13
2014.188843,8.1622e-13
2015.562012,7.9692e-13
2016.935181,8.5399e-13
2018.30835,9.3238e-13
2019.681396,8.7088e-13
2021.054565,7.8358e-13
2022.427734,7.7518e-13
2023.800903,8.4162e-13
2025.174194,7.8278e-13
2026.547363,7.5398e-13
2027.920532,9.2603e-13
2029.293701,9.74e-13
2030.666992,1.0001e-12
2032.040161,9.2556e-13
2033.41333,7.7274e-13
2034.786621,8.0056e-13
2036.15979,8.9338e-13
2037.533081,8.7566e-13
2038.906372,8.6218e-13
2040.279541,7.809e-13
2041.652832,8.8029e-13
2043.026123,1.0347e-12
2044.399414,9.9809e-13
2045.772705,1.0603e-12
2047.145996,1.1005e-12
2048.519287,1.0926e-12
2049.892578,1.1013e-12
2051.265869,1.1089e-12
2052.63916,1.1107e-12
2054.012451,1.0385e-12
2055.385742,8.9272e-13
2056.759033,9.7759e-13
2058.132324,1.0127e-12
2059.505859,1.0437e-12
2060.87915,1.0364e-12
2062.252441,8.3269e-13
2063.625732,9.4319e-13
2064.999268,1.0407e-12
2066.372559,9.1567e-13
2067.74585,9.5715e-13
2069.119385,1.0082e-12
2070.492676,1.081e-12
2071.865967,1.1192e-12
2073.239502,1.1333e-12
2074.612793,1.2025e-12
2075.986328,1.2551e-12
2077.359619,1.3531e-12
2078.733154,1.2113e-12
2080.106445,1.1922e-12
2081.47998,1.1973e-12
2082.853516,1.1791e-12
2084.226807,1.0892e-12
2085.600342,1.1041e-12
2086.973633,1.1481e-12
2088.347168,1.1849e-12
2089.720703,1.1304e-12
2091.093994,1.0758e-12
2092.467529,1.1139e-12
2093.841064,1.0626e-12
2095.2146,1.0406e-12
2096.588135,1.129e-12
2097.961426,1.0799e-12
2099.334961,1.0558e-12
2100.708496,9.9144e-13
2102.082031,9.8248e-13
2103.455566,9.6968e-13
2104.829102,1.0856e-12
2106.202637,1.2178e-12
2107.576172,1.1147e-12
2108.949707,8.7702e-13
2110.323242,8.917e-13
2111.696777,9.2696e-13
2113.070312,9.7253e-13
2114.443848,9.6561e-13
2115.817383,1.1668e-12
2117.190918,1.3834e-12
2118.564453,1.3148e-12
2119.937988,1.4078e-12
2121.311523,1.4364e-12
2122.685059,1.1868e-12
2124.058838,1.0162e-12
2125.432373,9.699e-13
2126.805908,1.0459e-12
2128.179443,9.8063e-13
2129.552979,9.4072e-13
2130.926758,8.306e-13
2132.300293,8.4592e-13
2133.673828,7.5571e-13
2135.047607,6.7387e-13
2136.421143,8.9243e-13
2137.794678,1.0868e-12
2139.168457,9.2738e-13
2140.541992,9.6922e-13
2141.915527,1.1859e-12
2143.289307,1.167e-12
2144.662842,1.1665e-12
2146.036621,1.1119e-12
2147.410156,9.8632e-13
2148.783936,1.0915e-12
2150.157471,1.1916e-12
2151.53125,1.051e-12
2152.904785,1.1371e-12
2154.278564,1.1979e-12
2155.6521,1.1557e-12
2157.025879,1.0698e-12
2158.399414,9.7518e-13
2159.773193,8.6641e-13
2161.146973,1.0072e-12
2162.520508,1.0398e-12
2163.894287,1.0138e-12
2165.267822,9.0957e-13
2166.641602,7.7522e-13
2168.015381,8.0464e-13
2169.388916,8.3874e-13
2170.762695,9.0874e-13
2172.136475,9.864e-13
2173.510254,9.2064e-13
2174.883789,7.0457e-13
2176.257568,7.8326e-13
2177.631348,9.0917e-13
2179.005127,1.1311e-12
2180.378662,1.1233e-12
2181.752441,1.2184e-12
2183.126221,1.2516e-12
2184.5,1.0697e-12
2185.873779,1.1202e-12
2187.247559,9.9206e-13
2188.621094,9.9244e-13
2189.994873,1.0592e-12
2191.368652,1.1153e-12
2192.742432,1.163e-12
2194.116211,1.2798e-12
2195.48999,1.364e-12
2196.86377,1.3406e-12
2198.237549,1.356e-12
2199.611328,1.3168e-12
2200.985107,1.1689e-12
2202.358887,1.216e-12
2203.732666,1.3354e-12
2205.106445,1.2939e-12
2206.480225,1.0936e-12
2207.854004,1.0712e-12
2209.227783,1.0015e-12
2210.601562,8.5919e-13
2211.975342,8.2415e-13
2213.349121,9.8105e-13
2214.7229,9.0458e-13
2216.09668,8.7093e-13
2217.470459,7.8664e-13
2218.844238,8.9986e-13
2220.218018,9.637e-13
2221.591797,9.9469e-13
2222.96582,9.1768e-13
2224.3396,8.6441e-13
2225.713379,8.5632e-13
2227.087158,8.2412e-13
2228.460938,8.617e-13
2229.834717,1.0333e-12
2231.208496,1.0233e-12
2232.58252,1.1302e-12
2233.956299,1.2907e-12
2235.330078,1.267e-12
2236.703857,1.2876e-12
2238.077637,1.2301e-12
2239.451416,1.2114e-12
2240.825439,1.2097e-12
2242.199219,9.9188e-13
2243.572998,8.5097e-13
2244.946777,8.3171e-13
2246.320801,1.0112e-12
2247.69458,1.0259e-12
2249.068359,9.0369e-13
2250.442139,8.8581e-13
2251.816162,9.2454e-13
2253.189941,9.7689e-13
2254.563721,7.9478e-13
2255.9375,8.3028e-13
2257.311523,9.0175e-13
2258.685303,1.0309e-12
2260.059082,1.0328e-12
2261.433105,9.0541e-13
2262.806885,9.9256e-13
2264.180664,9.0977e-13
2265.554443,7.9568e-13
2266.928467,7.0702e-13
2268.302246,7.7189e-13
2269.676025,8.1927e-13
2271.050049,8.4276e-13
2272.423828,9.0689e-13
2273.797607,9.363e-13
2275.171631,8.6597e-13
2276.54541,8.1752e-13
2277.919189,8.752e-13
2279.293213,8.8538e-13
2280.666992,9.6758e-13
2282.040771,1.1761e-12
2283.414795,1.1106e-12
2284.788574,1.1162e-12
2286.162354,1.1964e-12
2287.536377,1.0336e-12
2288.910156,1.086e-12
2290.28418,1.1423e-12
2291.657959,1.0461e-12
2293.031738,9.5904e-13
2294.405762,9.4579e-13
2295.779541,9.5999e-13
2297.15332,7.411e-13
2298.527344,6.3536e-13
2299.901123,7.0582e-13
2301.274902,7.6474e-13
2302.648926,8.5959e-13
2304.022705,7.8932e-13
2305.396729,9.4266e-13
2306.770508,1.0336e-12
2308.144287,9.5426e-13
2309.518311,9.3354e-13
2310.89209,9.2557e-13
2312.265869,7.4987e-13
2313.639893,7.0376e-13
2315.013672,8.6102e-13
2316.387695,8.6439e-13
2317.761475,8.9428e-13
2319.135254,8.5255e-13
