wave,flux
2904.865966796875,1.4073e-12
2907.610596,1.3533e-12
2910.355225,1.3587e-12
2913.099854,1.3726e-12
2915.844482,1.3068e-12
2918.589355,1.2964e-12
2921.333984,1.2361e-12
2924.078857,1.1572e-12
2926.82373,1.1492e-12
2929.568359,1.2739e-12
2932.313232,1.3076e-12
2935.058105,1.2257e-12
2937.802979,1.178e-12
2940.548096,1.2234e-12
2943.292969,1.2762e-12
2946.037842,1.1924e-12
2948.782959,1.193e-12
2951.528076,1.2944e-12
2954.272949,1.3141e-12
2957.018066,1.3533e-12
2959.763184,1.3537e-12
2962.508301,1.3195e-12
2965.253418,1.1348e-12
2967.998779,1.1299e-12
2970.743896,1.1991e-12
2973.489014,1.331e-12
2976.234375,1.4067e-12
2978.979736,1.2832e-12
2981.724854,1.0704e-12
2984.470215,1.0134e-12
2987.215576,1.1907e-12
2989.960938,1.3506e-12
2992.706299,1.2842e-12
2995.45166,1.2881e-12
2998.197266,1.1784e-12
3000.942627,1.0241e-12
3003.688232,1.1408e-12
3006.433594,1.1811e-12
3009.179199,1.2304e-12
3011.924805,1.3034e-12
3014.67041,1.2669e-12
3017.416016,1.1167e-12
3020.161621,1.0826e-12
3022.907227,1.3164e-12
3025.652832,1.4095e-12
3028.398682,1.4865e-12
3031.144287,1.5108e-12
3033.890137,1.5357e-12
3036.635742,1.4088e-12
3039.381592,1.3998e-12
3042.127441,1.4519e-12
3044.873291,1.5132e-12
3047.619141,1.4757e-12
3050.36499,1.5998e-12
3053.11084,1.5372e-12
3055.856689,1.3421e-12
3058.602783,1.2771e-12
3061.348633,1.4326e-12
3064.094727,1.353e-12
3066.84082,1.3673e-12
3069.58667,1.4947e-12
3072.332764,1.4728e-12
3075.078857,1.4643e-12
3077.824951,1.4909e-12
3080.571045,1.4939e-12
3083.317139,1.5405e-12
3086.063477,1.5295e-12
3088.80957,1.3908e-12
3091.555908,1.2501e-12
3094.302002,1.2585e-12
3097.04834,1.2471e-12
3099.794678,1.2032e-12
3102.540771,1.3948e-12
3105.287109,1.6063e-12
3108.033447,1.7195e-12
3110.779785,1.7071e-12
3113.526367,1.6919e-12
3116.272705,1.5571e-12
3119.019043,1.4656e-12
3121.765625,1.5039e-12
3124.511963,1.5568e-12
3127.258545,1.5812e-12
3130.004883,1.5591e-12
3132.751465,1.5596e-12
3135.498047,1.6406e-12
3138.244629,1.7355e-12
3140.991211,1.6075e-12
3143.737793,1.3643e-12
3146.484375,1.4614e-12
3149.230957,1.6072e-12
3151.977783,1.6162e-12
3154.724365,1.5103e-12
3157.471191,1.3312e-12
3160.217773,1.2781e-12
3162.9646,1.4244e-12
3165.711426,1.5462e-12
3168.458252,1.6643e-12
3171.204834,1.8192e-12
3173.95166,1.8175e-12
3176.69873,1.6707e-12
3179.445557,1.3968e-12
3182.192383,1.3856e-12
3184.939209,1.5466e-12
3187.686279,1.6355e-12
3190.433105,1.5881e-12
3193.180176,1.4795e-12
3195.927002,1.6038e-12
3198.674072,1.756e-12
3201.421143,1.8101e-12
3204.168213,1.881e-12
3206.915283,1.8016e-12
3209.662354,1.5879e-12
3212.409424,1.4552e-12
3215.156494,1.5347e-12
3217.903564,1.6836e-12
3220.650635,1.715e-12
3223.397949,1.6207e-12
3226.14502,1.4717e-12
3228.892334,1.3942e-12
3231.639648,1.4825e-12
3234.386719,1.4865e-12
3237.134033,1.5415e-12
3239.881348,1.6508e-12
3242.628662,1.7479e-12
3245.375977,1.7676e-12
3248.123291,1.6906e-12
3250.870605,1.7085e-12
3253.61792,1.8342e-12
3256.365234,1.9896e-12
