wave,flux
1140.4879150390625,1.2057e-12
1141.071533,1.2323e-12
1141.655151,1.1526e-12
1142.238892,1.2444e-12
1142.82251,1.2402e-12
1143.406128,1.2423e-12
1143.989868,1.2063e-12
1144.573486,1.1701e-12
1145.157104,1.1529e-12
1145.740845,1.1991e-12
1146.324463,1.1998e-12
1146.908081,1.1912e-12
1147.491821,1.2134e-12
1148.075439,1.1905e-12
1148.659058,1.1702e-12
1149.242676,1.1653e-12
1149.826416,1.134e-12
1150.410034,1.1599e-12
1150.993652,1.1721e-12
1151.577271,1.1658e-12
1152.160889,1.1547e-12
1152.744507,1.1308e-12
1153.328247,1.1695e-12
1153.911865,1.1498e-12
1154.495483,1.1682e-12
1155.079102,1.1636e-12
1155.66272,1.1486e-12
1156.246338,1.1329e-12
1156.829956,1.1214e-12
1157.413574,1.142e-12
1157.997192,1.119e-12
1158.580811,1.1345e-12
1159.164429,1.1279e-12
1159.748047,1.151e-12
1160.331665,1.1729e-12
1160.915283,1.1454e-12
1161.498901,1.1177e-12
1162.08252,1.137e-12
1162.666138,1.1254e-12
1163.249756,1.1041e-12
1163.833374,1.1273e-12
1164.416992,1.1341e-12
1165.00061,1.1227e-12
1165.584229,1.1053e-12
1166.167847,1.1105e-12
1166.751465,1.0885e-12
1167.334961,1.074e-12
1167.918579,1.0936e-12
1168.502197,1.0971e-12
1169.085815,1.0862e-12
1169.669434,1.1027e-12
1170.25293,1.0893e-12
1170.836548,1.0966e-12
1171.420166,1.0932e-12
1172.003784,1.1027e-12
1172.58728,1.0962e-12
1173.170898,1.1031e-12
1173.754517,1.0877e-12
1174.338135,1.0877e-12
1174.921631,1.0906e-12
1175.505249,1.0563e-12
1176.088867,1.0494e-12
1176.672363,1.0741e-12
1177.255981,1.0717e-12
1177.8396,1.0858e-12
1178.423096,1.0837e-12
1179.006714,1.0731e-12
1179.59021,1.0699e-12
1180.173828,1.0621e-12
1180.757324,1.0679e-12
1181.340942,1.0801e-12
1181.924561,1.0739e-12
1182.508057,1.0754e-12
1183.091675,1.0789e-12
1183.675171,1.0548e-12
1184.258789,1.0497e-12
1184.842285,1.0487e-12
1185.425903,1.0362e-12
1186.009399,1.0435e-12
1186.592896,1.0495e-12
1187.176514,1.0372e-12
1187.76001,1.0206e-12
1188.343628,1.0198e-12
1188.927124,1.002e-12
1189.51062,9.8306e-13
1190.094238,9.7645e-13
1190.677734,9.9289e-13
1191.261353,9.9941e-13
1191.844849,9.958e-13
1192.428345,9.9848e-13
1193.011963,9.9407e-13
1193.595459,9.8846e-13
1194.178955,9.8301e-13
1194.762451,9.8272e-13
1195.346069,9.6935e-13
1195.929565,9.8015e-13
1196.513062,9.8308e-13
1197.096558,9.6825e-13
1197.680176,9.3462e-13
1198.263672,9.2513e-13
1198.847168,9.1276e-13
1199.430664,8.7552e-13
1200.01416,8.7193e-13
1200.597656,8.8235e-13
1201.181274,9.1351e-13
1201.764771,9.2922e-13
1202.348267,9.2019e-13
1202.931763,9.0396e-13
1203.515259,9.1923e-13
1204.098755,9.0032e-13
1204.682251,8.8092e-13
1205.265747,8.6749e-13
1205.849243,8.4114e-13
1206.432739,8.2759e-13
1207.016235,8.207e-13
1207.599731,8.1282e-13
1208.183228,7.9929e-13
1208.766724,7.7615e-13
1209.35022,7.4317e-13
1209.933716,7.1428e-13
1210.517212,6.8882e-13
1211.100708,6.4686e-13
1211.684204,6.0274e-13
1212.2677,5.5896e-13
1212.851196,4.9831e-13
1213.434692,4.3349e-13
1214.018066,3.6269e-13
1214.601562,3.0509e-13
1215.185059,2.822e-13
1215.768555,3.0267e-13
1216.352051,3.5662e-13
1216.935547,4.2827e-13
1217.518921,4.986e-13
1218.102417,5.5896e-13
1218.685913,6.0093e-13
1219.269409,6.4798e-13
1219.852783,6.7373e-13
1220.436279,7.0359e-13
1221.019775,7.3075e-13
1221.603271,7.5584e-13
1222.186646,7.745e-13
1222.770142,7.8893e-13
1223.353638,8.097e-13
1223.937012,8.0957e-13
1224.520508,8.255e-13
1225.104004,8.3501e-13
1225.687378,8.4754e-13
1226.270874,8.5712e-13
1226.854248,8.6792e-13
1227.437744,8.7522e-13
1228.02124,8.825e-13
1228.604614,8.8401e-13
1229.18811,8.954e-13
1229.771484,9.0016e-13
1230.35498,8.9663e-13
1230.938354,8.9732e-13
1231.521851,9.0743e-13
1232.105225,9.0324e-13
1232.688721,8.996e-13
1233.272095,8.9621e-13
1233.855591,9.054e-13
1234.438965,8.9514e-13
1235.022339,8.8992e-13
1235.605835,8.7959e-13
1236.189209,8.7528e-13
1236.772705,8.8027e-13
1237.356079,8.7799e-13
1237.939453,8.6938e-13
1238.522949,8.5683e-13
1239.106323,8.6506e-13
1239.689697,8.6622e-13
1240.273193,8.7028e-13
1240.856567,8.6464e-13
1241.439941,8.7205e-13
1242.023438,8.7001e-13
1242.606812,8.6534e-13
1243.190186,8.6272e-13
1243.77356,8.6816e-13
1244.357056,8.7163e-13
1244.94043,8.8262e-13
1245.523804,8.7337e-13
1246.107178,8.7479e-13
1246.690552,8.6523e-13
1247.273926,8.743e-13
1247.857422,8.5522e-13
1248.440796,8.6082e-13
1249.02417,8.6594e-13
1249.607544,8.5903e-13
1250.190918,8.4998e-13
1250.774292,8.5198e-13
1251.357666,8.6263e-13
1251.94104,8.522e-13
1252.524414,8.5596e-13
1253.107788,8.4576e-13
1253.691162,8.5914e-13
1254.274536,8.6096e-13
1254.85791,8.5785e-13
1255.441284,8.4762e-13
1256.024658,8.5996e-13
1256.608032,8.5022e-13
1257.191406,8.5798e-13
1257.77478,8.35e-13
1258.358154,8.4099e-13
1258.941528,8.2277e-13
1259.524902,8.0848e-13
1260.108276,8.0415e-13
1260.69165,8.2827e-13
1261.275024,8.2585e-13
1261.858398,8.4361e-13
1262.44165,8.4001e-13
1263.025024,8.3967e-13
1263.608398,8.4496e-13
1264.191772,8.3509e-13
1264.775146,8.3443e-13
1265.358398,8.3757e-13
1265.941772,8.3447e-13
1266.525146,8.2691e-13
1267.108521,8.3839e-13
1267.691895,8.2908e-13
1268.275146,8.2497e-13
1268.858521,8.3801e-13
1269.441895,8.3249e-13
1270.025146,8.2345e-13
1270.608521,8.2699e-13
1271.191895,8.3635e-13
1271.775146,8.2841e-13
1272.358521,8.2716e-13
1272.941895,8.1718e-13
1273.525146,8.1463e-13
1274.108521,8.2922e-13
1274.691772,8.3237e-13
1275.275146,8.2763e-13
1275.858521,8.2602e-13
1276.441772,8.151e-13
1277.025146,8.1651e-13
1277.608398,8.1143e-13
1278.191772,8.1585e-13
1278.775024,8.1061e-13
1279.358398,8.1279e-13
1279.94165,8.1754e-13
1280.525024,8.1293e-13
1281.108276,8.041e-13
1281.691528,8.1401e-13
1282.274902,8.0987e-13
1282.858154,8.0145e-13
1283.441528,8.0593e-13
1284.02478,8.0501e-13
1284.608154,8.0029e-13
1285.191406,8.0877e-13
1285.774658,8.0589e-13
1286.358032,8.0762e-13
1286.941284,7.956e-13
1287.524536,7.9831e-13
1288.10791,7.9654e-13
1288.691162,7.9949e-13
1289.274414,7.919e-13
1289.857666,7.9169e-13
1290.44104,7.8838e-13
1291.024292,7.8461e-13
1291.607544,7.852e-13
1292.190796,7.795e-13
1292.77417,7.8596e-13
1293.357422,7.8398e-13
1293.940674,7.7513e-13
1294.523926,7.7959e-13
1295.107178,7.6871e-13
1295.69043,7.6857e-13
1296.273804,7.6975e-13
