wave flux
1147.9 5.8661105e-13
1149.1 5.305339e-13
1150.3 5.663203e-13
1151.5 5.868987e-13
1152.7 5.221705e-13
1153.9 5.672844e-13
1155.1 6.156514e-13
1156.3 5.6439516e-13
1157.5 5.612941e-13
1158.5 5.9009975e-13
1159.7 5.796801e-13
1160.9 5.785318e-13
1162.1 5.702394e-13
1163.3 5.360375e-13
1164.5 4.637707e-13
1165.7 4.9441847e-13
1166.9 5.110062e-13
1168.1 5.0016274e-13
1169.3 4.8948606e-13
1170.3 4.5360026e-13
1171.5 4.126105e-13
1172.7 4.442855e-13
1173.9 4.1253508e-13
1175.1 4.039399e-13
1176.3 3.7038078e-13
1177.5 3.6648467e-13
1178.7 3.6724278e-13
1179.9 3.4049898e-13
1181.1 3.0714477e-13
1182.1 2.8735206e-13
1183.3 2.6700544e-13
1184.5 2.7721486e-13
1185.7 2.5906068e-13
1186.9 2.452312e-13
1188.1 2.3127233e-13
1189.3 2.2214689e-13
1190.5 2.0832067e-13
1191.7 1.6109968e-13
1192.9 1.5382849e-13
1193.9 1.4777177e-13
1195.1 1.4393792e-13
1196.3 1.4063689e-13
1197.5 1.1639168e-13
1198.7 1.0805466e-13
1199.9 8.323919e-14
1201.1 8.766305e-14
1202.3 1.0494352e-13
1203.5 9.12906e-14
1204.7 9.362077e-14
1205.7 1.273915e-13
1206.9 1.9499525e-13
1208.1 3.0421694e-13
1209.3 4.925179e-13
1210.5 7.312772e-13
1211.7 8.9527333e-13
1212.9 1.0706485e-12
1214.1 1.0666626e-12
1215.3 1.0391024e-12
1216.3 1.0253146e-12
1217.5 9.086565e-13
1218.7 6.7727215e-13
1219.9 4.72561e-13
1221.1 2.84135e-13
1222.3 1.5516519e-13
1223.5 7.442503e-14
1224.7 5.283601e-14
1225.9 4.468994e-14
1227.1 5.4988427e-14
1228.1 5.884273e-14
1229.3 6.1625326e-14
1230.5 6.121584e-14
1231.7 8.0796345e-14
1232.9 9.347262e-14
1234.1 1.0425164e-13
1235.3 1.2712669e-13
1236.5 1.4417374e-13
1237.7 1.622093e-13
1238.9 1.8576232e-13
1239.9 2.0816262e-13
1241.1 2.1353808e-13
1242.3 2.3330163e-13
1243.5 2.5772342e-13
1244.7 2.7897804e-13
1245.9 2.8283273e-13
1247.1 3.0178502e-13
1248.3 3.188103e-13
1249.5 3.2837874e-13
1250.7 3.2145928e-13
1251.7 3.4777227e-13
1252.9 3.5412848e-13
1254.1 3.6727262e-13
1255.3 3.908044e-13
1256.5 3.8781573e-13
1257.7 3.997762e-13
1258.9 4.1027034e-13
1260.1 4.2512917e-13
1261.3 4.1985114e-13
1262.5 4.3371413e-13
1263.5 4.28692e-13
1264.7 4.1860493e-13
1265.9 4.5081175e-13
1267.1 4.4001415e-13
1268.3 4.383444e-13
1269.5 4.5572145e-13
1270.7 4.7765085e-13
1271.9 4.3869647e-13
1273.1 4.5117097e-13
1274.3 4.4546078e-13
1275.3 4.764996e-13
1276.5 4.46885e-13
1277.7 4.598401e-13
1278.9 4.680426e-13
1280.1 4.655734e-13
1281.3 4.8740656e-13
1282.5 4.5525763e-13
1283.7 4.8782717e-13
1284.9 4.894448e-13
1286.1 4.720548e-13
1287.1 4.8752284e-13
1288.3 4.961615e-13
1289.5 5.077733e-13
1290.7 4.8713e-13
1291.9 4.903639e-13
1293.1 4.8818247e-13
1294.3 5.0544264e-13
1295.5 4.771746e-13
1296.7 4.636385e-13
1297.9 4.8482187e-13
1298.9 4.614431e-13
1300.1 4.4810946e-13
1301.3 4.5428385e-13
1302.5 4.2896253e-13
1303.7 4.4498945e-13
1304.9 4.695328e-13
1306.1 4.586694e-13
1307.3 4.5430527e-13
1308.5 4.7632287e-13
1309.7 4.721935e-13
1310.7 4.8034124e-13
1311.9 5.0389917e-13
1313.1 4.6377675e-13
1314.3 4.6601855e-13
1315.5 4.6807805e-13
1316.7 4.625737e-13
1317.9 4.5586446e-13
1319.1 4.4674353e-13
1320.3 4.721671e-13
1321.3 4.734739e-13
1322.5 4.777265e-13
1323.7 4.800883e-13
1324.9 4.810541e-13
1326.1 4.8202994e-13
1327.3 5.029349e-13
1328.5 5.017344e-13
1329.7 4.9515925e-13
1330.9 4.831821e-13
1332.1 4.5793724e-13
1333.1 4.6408726e-13
1334.3 4.9142434e-13
1335.5 4.8347003e-13
1336.7 4.470091e-13
1337.9 4.417273e-13
1339.1 4.4609322e-13
1340.3 4.7890104e-13
1341.5 4.6405707e-13
1342.7 4.601169e-13
1343.9 5.027528e-13
1344.9 4.9882434e-13
1346.1 4.6002595e-13
1347.3 4.5292904e-13
1348.5 4.7582473e-13
1349.7 4.6663866e-13
1350.9 4.6997e-13
1352.1 4.7592957e-13
1353.3 4.5902377e-13
1354.5 4.563555e-13
1355.7 4.590456e-13
1356.7 4.4093218e-13
1357.9 4.3397957e-13
1359.1 4.3874694e-13
1360.3 4.4956869e-13
1361.5 4.5341096e-13
1362.7 4.4630125e-13
1363.9 4.6899913e-13
1365.1 4.549381e-13
1366.3 4.444576e-13
1367.5 4.4260865e-13
1368.5 4.522088e-13
1369.7 4.2833166e-13
1370.9 4.4212794e-13
1372.1 4.6112837e-13
1373.3 4.214759e-13
1374.5 4.4080503e-13
1375.7 4.3712785e-13
1376.9 4.3201881e-13
1378.1 4.2492897e-13
1379.3 4.684563e-13
1380.3 4.326479e-13
1381.5 4.41293e-13
1382.7 4.2965322e-13
1383.9 4.4855713e-13
1385.1 4.157561e-13
1386.3 4.1615143e-13
1387.5 4.1094046e-13
1388.7 3.8901702e-13
1389.9 3.8757834e-13
1391.1 4.315533e-13
1392.1 4.2300478e-13
1393.3 4.1141073e-13
1394.5 4.2172876e-13
1395.7 4.223307e-13
1396.9 4.08438e-13
1398.1 4.0412503e-13
1399.3 4.4018513e-13
1400.5 4.1004152e-13
1401.7 3.979021e-13
1402.9 3.9837027e-13
1403.9 3.84247e-13
1405.1 4.22528e-13
1406.3 4.0295873e-13
1407.5 3.9324032e-13
1408.7 4.1817483e-13
1409.9 4.0274148e-13
1411.1 4.2164557e-13
1412.3 4.0660598e-13
1413.5 4.1813102e-13
1414.5 4.3808734e-13
1415.7 4.1964075e-13
1416.9 4.1151904e-13
1418.1 4.0626806e-13
1419.3 4.0310916e-13
1420.5 4.2874103e-13
1421.7 4.289803e-13
1422.9 3.8961114e-13
1424.1 3.9214844e-13
1425.3 4.2599398e-13
1426.3 4.2139298e-13
1427.5 4.2528998e-13
1428.7 4.324863e-13
1429.9 3.944084e-13
1431.1 4.2206492e-13
1432.3 4.2297201e-13
1433.5 4.1500118e-13
1434.7 4.222731e-13
1435.9 4.0333164e-13
1437.1 3.9455188e-13
1438.1 4.0424361e-13
1439.3 3.9323164e-13
1440.5 3.9079907e-13
1441.7 4.0933053e-13
1442.9 3.7940433e-13
1444.1 3.9347025e-13
1445.3 3.9062208e-13
1446.5 3.919088e-13
1447.7 3.931664e-13
1448.9 3.8807724e-13
1449.9 3.7938806e-13
1451.1 3.7146772e-13
1452.3 3.592146e-13
1453.5 3.5185055e-13
1454.7 3.679245e-13
1455.9 3.8272662e-13
1457.1 4.1261092e-13
1458.3 3.8738752e-13
1459.5 3.848445e-13
1460.7 3.830346e-13
1461.7 3.905264e-13
1462.9 3.813196e-13
1464.1 3.9580624e-13
1465.3 3.9049626e-13
1466.5 3.907871e-13
1467.7 3.8810703e-13
1468.9 3.6798028e-13
1470.1 3.6325738e-13
1471.3 3.8260904e-13
1472.5 3.847629e-13
1473.5 3.6688718e-13
1474.7 3.7055065e-13
1475.9 3.7639404e-13
1477.1 3.5485493e-13
1478.3 3.727297e-13
1479.5 3.7359094e-13
1480.7 3.618645e-13
1481.9 3.6120027e-13
1483.1 3.8535703e-13
1484.3 3.8508354e-13
1485.3 3.6965296e-13
1486.5 3.6841244e-13
1487.7 3.5869831e-13
1488.9 3.6333057e-13
1490.1 3.793381e-13
1491.3 3.7956514e-13
1492.5 3.621864e-13
1493.7 3.7306497e-13
1494.9 3.855563e-13
1496.1 3.655439e-13
1497.1 3.6844594e-13
1498.3 3.5544132e-13
1499.5 3.485899e-13
1500.7 3.6262985e-13
1501.9 3.436718e-13
1503.1 3.3833355e-13
1504.3 3.481065e-13
1505.5 3.562876e-13
1506.7 3.463756e-13
1507.9 3.3179606e-13
1508.9 3.4220196e-13
1510.1 3.2322536e-13
1511.3 3.3716923e-13
1512.5 3.3254915e-13
1513.7 3.403895e-13
1514.9 3.2644338e-13
1516.1 3.2694276e-13
1517.3 3.4592728e-13
1518.5 3.4713695e-13
1519.5 3.4080695e-13
1520.7 3.3745286e-13
1521.9 3.581314e-13
1523.1 3.4369518e-13
1524.3 3.4131595e-13
1525.5 3.5408978e-13
1526.7 3.391163e-13
1527.9 3.3740195e-13
1529.1 3.4295787e-13
1530.3 3.2925393e-13
1531.3 3.218269e-13
1532.5 3.2256755e-13
1533.7 3.2212788e-13
1534.9 3.193403e-13
1536.1 3.2682516e-13
1537.3 3.4555342e-13
1538.5 3.3583035e-13
1539.7 3.4063846e-13
1540.9 3.4352574e-13
1542.1 3.374754e-13
1543.1 3.3267074e-13
1544.3 3.3106235e-13
1545.5 3.34976e-13
1546.7 3.3654283e-13
1547.9 3.3459124e-13
