wave flux
5290.896484375 7.0883e-15
5295.765905 7.0341e-15
5300.63524 6.9169e-15
5305.504635 7.1116e-15
5310.374089 7.0741e-15
5315.243601 7.0633e-15
5320.113173 6.9418e-15
5324.982804 6.8687e-15
5329.852493 6.7281e-15
5334.722241 6.9153e-15
5339.592048 6.9975e-15
5344.461913 7.0646e-15
5349.331836 7.2353e-15
5354.201818 7.5069e-15
5359.071858 7.5971e-15
5363.941955 7.5547e-15
5368.812111 7.6351e-15
5373.682324 7.7009e-15
5378.552595 7.9744e-15
5383.422924 8.2034e-15
5388.293309 8.1691e-15
5393.163753 8.1556e-15
5398.034253 7.9542e-15
5402.904811 8.0901e-15
5407.775425 8.144e-15
5412.646097 8.2519e-15
5417.516825 8.5001e-15
5422.38761 8.5169e-15
5427.258451 8.4332e-15
5432.129349 8.3881e-15
5437.000303 8.2183e-15
5441.871313 8.0233e-15
5446.74238 7.4303e-15
5451.613502 6.7009e-15
5456.48468 6.4306e-15
5461.355914 6.6713e-15
5466.227204 6.8448e-15
5471.098549 7.0273e-15
5475.96995 7.0541e-15
5480.841406 7.1652e-15
5485.712917 7.3304e-15
5490.584483 7.1732e-15
5495.456105 6.9712e-15
5500.327781 6.6491e-15
5505.199512 6.5403e-15
5510.071297 6.5434e-15
5514.943137 6.544e-15
5519.815032 6.7014e-15
5524.68698 6.7884e-15
5529.558983 6.7438e-15
5534.431041 6.7504e-15
5539.303152 6.7576e-15
5544.175317 6.8358e-15
5549.047535 6.9278e-15
5553.919808 7.1102e-15
5558.792134 7.1926e-15
5563.664513 7.3236e-15
5568.536945 7.3689e-15
5573.409431 7.539e-15
5578.28197 7.5375e-15
5583.154562 7.4363e-15
5588.027207 7.2624e-15
5592.899904 7.0212e-15
5597.772654 6.8741e-15
5602.645457 6.7021e-15
5607.518312 6.7772e-15
5612.39122 6.8454e-15
5617.264179 6.9206e-15
5622.137191 6.8559e-15
5627.010254 6.8865e-15
5631.88337 6.9099e-15
5636.756537 6.8196e-15
5641.629756 6.9878e-15
5646.503027 7.266e-15
5651.376348 7.4885e-15
5656.249721 7.4836e-15
5661.123146 7.3762e-15
5665.996621 7.3671e-15
5670.870148 7.3643e-15
5675.743725 7.4752e-15
5680.617353 7.6646e-15
5685.491031 7.7789e-15
5690.36476 7.8438e-15
5695.23854 8.0276e-15
5700.11237 8.1548e-15
5704.98625 8.2792e-15
5709.86018 8.3736e-15
5714.73416 8.4531e-15
5719.60819 8.3983e-15
5724.482269 8.5137e-15
5729.356398 8.5929e-15
5734.230577 8.7369e-15
5739.104805 8.9344e-15
5743.979083 9.0724e-15
5748.853409 9.2211e-15
5753.727785 9.2438e-15
5758.602209 8.9445e-15
5763.476683 8.6092e-15
5768.351205 8.4496e-15
5773.225776 8.567e-15
5778.100395 8.7064e-15
5782.975063 8.8819e-15
5787.849779 9.1052e-15
5792.724543 9.2543e-15
5797.599355 9.4427e-15
5802.474215 9.4416e-15
5807.349123 9.2231e-15
5812.224079 8.8956e-15
5817.099082 8.5008e-15
5821.974133 8.3815e-15
5826.849231 8.4543e-15
5831.724376 8.5034e-15
5836.599569 8.5424e-15
5841.474808 8.2884e-15
5846.350095 7.9854e-15
5851.225428 7.5806e-15
5856.100808 7.1947e-15
5860.976235 6.9225e-15
5865.851708 6.6466e-15
5870.727227 6.3068e-15
5875.602793 5.7978e-15
5880.478405 5.137e-15
5885.354063 4.4612e-15
5890.229767 3.9218e-15
5895.105517 3.8851e-15
5899.981312 4.3206e-15
5904.857153 4.9961e-15
5909.733039 5.4239e-15
5914.608971 5.7344e-15
5919.484948 5.9869e-15
5924.36097 6.1015e-15
5929.237038 6.2723e-15
5934.11315 6.4834e-15
5938.989307 6.6896e-15
5943.865508 6.7304e-15
5948.741754 6.7106e-15
5953.618045 6.6141e-15
5958.49438 6.6042e-15
5963.370759 6.6671e-15
5968.247183 6.8281e-15
5973.12365 6.9463e-15
5978.000161 6.9798e-15
5982.876716 7.2058e-15
5987.753315 7.3996e-15
5992.629957 7.5181e-15
5997.506643 7.6303e-15
6002.383372 7.6314e-15
6007.260144 7.6327e-15
6012.13696 7.7983e-15
6017.013818 7.9381e-15
6021.890719 8.0973e-15
6026.767663 8.31e-15
6031.64465 8.3921e-15
6036.521679 8.4717e-15
6041.398751 8.5828e-15
6046.275865 8.7841e-15
6051.153021 8.9478e-15
6056.030219 8.9229e-15
6060.90746 8.9744e-15
6065.784742 9.029e-15
6070.662066 9.0548e-15
6075.539431 9.1211e-15
