wave flux
1140.1944580078125 3.8424e-14
1140.778076 1.8473e-14
1141.361694 3.3302e-14
1141.945312 2.8761e-14
1142.528931 3.2893e-14
1143.112549 2.168e-14
1143.696167 2.7813e-14
1144.279785 2.3752e-14
1144.863403 2.687e-14
1145.447021 2.4164e-14
1146.03064 2.3195e-14
1146.614258 2.5103e-14
1147.197876 1.9867e-14
1147.781372 2.6169e-14
1148.36499 2.0012e-14
1148.948608 2.0671e-14
1149.532227 2.1234e-14
1150.115845 2.1722e-14
1150.699463 1.9941e-14
1151.283081 1.9696e-14
1151.866699 1.6971e-14
1152.450195 1.5489e-14
1153.033813 1.6044e-14
1153.617432 1.4945e-14
1154.20105 1.6277e-14
1154.784546 1.5624e-14
1155.368164 1.5044e-14
1155.951782 1.3356e-14
1156.5354 1.4721e-14
1157.118896 1.3352e-14
1157.702515 1.283e-14
1158.286133 1.306e-14
1158.869629 1.4063e-14
1159.453247 1.2852e-14
1160.036865 1.1037e-14
1160.620361 1.069e-14
1161.203979 1.0178e-14
1161.787598 1.1561e-14
1162.371094 9.4631e-15
1162.954712 9.3095e-15
1163.538208 1.0691e-14
1164.121826 9.5121e-15
1164.705444 8.3211e-15
1165.28894 7.8673e-15
1165.872559 7.5427e-15
1166.456055 1.0204e-14
1167.039673 7.8785e-15
1167.623169 6.7319e-15
1168.206787 6.9141e-15
1168.790283 6.6031e-15
1169.373901 7.3491e-15
1169.957397 6.1699e-15
1170.540894 6.9593e-15
1171.124512 6.6506e-15
1171.708008 6.5992e-15
1172.291626 5.4444e-15
1172.875122 4.8882e-15
1173.458618 5.081e-15
1174.042236 4.2509e-15
1174.625732 5.1495e-15
1175.209351 4.1359e-15
1175.792847 5.0617e-15
1176.376343 4.9636e-15
1176.959839 4.5376e-15
1177.543457 3.5785e-15
1178.126953 3.6862e-15
1178.710449 3.8643e-15
1179.293945 3.389e-15
1179.877563 3.4627e-15
1180.46106 2.9938e-15
1181.044556 3.1257e-15
1181.628052 2.9349e-15
1182.21167 3.4642e-15
1182.795166 2.9882e-15
1183.378662 2.8187e-15
1183.962158 2.1546e-15
1184.545654 2.0802e-15
1185.12915 2.3948e-15
1185.712646 1.9623e-15
1186.296143 2.1564e-15
1186.879761 2.313e-15
1187.463257 2.2115e-15
1188.046753 2.0264e-15
1188.630249 2.1683e-15
1189.213745 1.7865e-15
1189.797241 1.9083e-15
1190.380737 1.9699e-15
1190.964233 1.9527e-15
1191.547729 1.4692e-15
1192.131226 1.2247e-15
1192.714722 1.4856e-15
1193.298218 1.8274e-15
1193.881714 1.7912e-15
1194.46521 1.0977e-15
1195.048584 1.4427e-15
1195.63208 3.5591e-16
1196.215576 9.6602e-16
1196.799072 1.6595e-15
1197.382568 9.6703e-16
1197.966064 7.2255e-16
1198.549561 1.7978e-15
1199.132935 3.1961e-16
1199.716431 1.2741e-15
1200.299927 1.7272e-15
1200.883423 4.4994e-16
