wave,flux
7950.630187988281,1.2438e-14
7978.7699999999995,1.1897e-14
8006.911,1.1813e-14
8035.0509999999995,1.1568e-14
8063.192,1.1249e-14
8091.332,1.1286e-14
8119.473,1.1082e-14
8147.613,1.0908e-14
8175.753,1.0754e-14
8203.894,1.0708e-14
8232.034,1.0988e-14
8260.175,1.104e-14
8288.316,1.0938e-14
8316.456,1.0967e-14
8344.597,1.1085e-14
8372.737000000001,1.1121e-14
8400.877,1.0955e-14
8429.018,1.0706e-14
8457.158,1.0654e-14
8485.298999999999,1.0516e-14
8513.439,1.0058e-14
8541.58,1.0401e-14
8569.72,1.0577e-14
8597.86,1.0176e-14
8626.001,1.0272e-14
8654.141,1.0764e-14
8682.282,1.0221e-14
8710.423,1.0139e-14
8738.563,1.0259e-14
8766.704,1.0183e-14
8794.844000000001,1.0546e-14
8822.985,1.0733e-14
8851.125,1.0616e-14
8879.265,1.0631e-14
8907.405999999999,1.0544e-14
8935.546,1.0583e-14
8963.687,1.0362e-14
8991.827,1.0113e-14
9019.968,1.0008e-14
9048.108,1.0309e-14
9076.248,1.0145e-14
9104.389000000001,9.8138e-15
9132.529,9.6933e-15
9160.67,9.4909e-15
9188.811,9.3402e-15
9216.951,9.2017e-15
9245.092,9.1711e-15
9273.232,9.2152e-15
9301.373,9.2098e-15
9329.513,9.2452e-15
9357.653,9.2497e-15
9385.794,9.2692e-15
9413.934000000001,9.0323e-15
9442.074999999999,8.9479e-15
9470.215,9.0372e-15
9498.356,9.1197e-15
9526.497000000001,9.1169e-15
9554.636,9.0658e-15
9582.777,9.0069e-15
9610.918,8.9656e-15
9639.058,8.9737e-15
9667.199,8.9205e-15
9695.339,8.8836e-15
9723.48,8.8354e-15
9751.619999999999,8.7611e-15
9779.761,8.7905e-15
9807.901,8.8621e-15
9836.041,8.8167e-15
9864.182,8.7926e-15
9892.322,8.8733e-15
9920.463,8.9126e-15
9948.604,8.8081e-15
9976.743999999999,8.7009e-15
10004.884,8.7023e-15
10033.025,8.6905e-15
10061.165,8.6448e-15
10089.306,8.6045e-15
10117.446000000002,8.6071e-15
10145.587,8.6031e-15
10173.726999999999,8.5746e-15
10201.868,8.598e-15
10230.008,8.5615e-15
10258.149000000001,8.4388e-15
10286.288999999999,8.3679e-15
10314.43,8.3813e-15
10342.571,8.4113e-15
10370.710000000001,8.4037e-15
10398.85,8.3405e-15
10426.991000000002,8.2452e-15
10455.132,8.1886e-15
10483.271999999999,8.141e-15
10511.413,8.1766e-15
10539.553,8.2569e-15
10567.694000000001,8.2118e-15
10595.833999999999,8.1682e-15
10623.975,8.1025e-15
10652.115,8.0565e-15
10680.256,8.0591e-15
10708.396,7.9275e-15
10736.536999999998,7.8758e-15
10764.678000000002,7.8515e-15
10792.817,7.8027e-15
10820.957,7.8184e-15
10849.098,7.5403e-15
10877.239000000001,7.4175e-15
10905.378999999999,7.4169e-15
10933.52,7.3388e-15
10961.66,7.2459e-15
10989.801,7.043e-15
11017.941,6.9291e-15
11046.081999999999,6.9508e-15
11074.222,6.9777e-15
11102.363,7.0743e-15
11130.503,7.0723e-15
11158.644,7.0122e-15
11186.785,7.0088e-15
11214.925,6.9289e-15
11243.065999999999,6.9483e-15
11271.206,6.9596e-15
11299.347,6.871e-15
11327.486,6.8531e-15
11355.626999999999,6.8376e-15
11383.767,6.7765e-15
11411.908,6.7171e-15
11440.048,6.7387e-15
11468.189,6.7986e-15
11496.329000000002,6.8789e-15
11524.47,6.9047e-15
11552.61,6.9641e-15
11580.751,6.9712e-15
11608.891,6.8778e-15
11637.032000000001,6.7962e-15
11665.173,6.7129e-15
11693.313,6.6888e-15
11699.591,6.7407e-15
11739.583,6.7419e-15
11779.575,6.7507e-15
11819.569000000001,6.6983e-15
11859.562,6.5848e-15
11899.555,6.5618e-15
11939.546999999999,6.5423e-15
11979.541000000001,6.4621e-15
12019.534000000001,6.4083e-15
12059.526,6.4201e-15
12099.519,6.4269e-15
12139.511999999999,6.4162e-15
12179.506,6.4025e-15
12219.498,6.398e-15
12259.49,6.3266e-15
12299.484,6.2657e-15
12339.476,6.267e-15
12379.469000000001,6.2669e-15
12419.462,6.2172e-15
12459.455,6.1275e-15
12499.446999999998,6.0828e-15
12539.439999999999,6.0776e-15
12579.434000000001,6.0784e-15
12619.426,6.0994e-15
12659.419,6.0123e-15
12699.412,6.06e-15
12739.405999999999,5.9405e-15
12779.398,5.9375e-15
12819.39,5.9768e-15
12859.384,5.9733e-15
12899.377,5.9561e-15
12939.369999999999,5.885e-15
12979.362000000001,5.8774e-15
13019.356,5.846e-15
13059.349,5.7959e-15
13099.341,5.7695e-15
13139.334,5.7738e-15
13179.327000000001,5.7622e-15
13219.321,5.708e-15
13259.313,5.6607e-15
13299.304999999998,5.6152e-15
13339.299,5.5911e-15
13379.291,5.5761e-15
13419.284,5.5867e-15
13459.277,5.5895e-15
13499.269,5.5415e-15
13539.262,5.4765e-15
13579.255,5.4279e-15
13619.249,5.4592e-15
13659.241,5.461e-15
