wave flux
2900.689697265625 0.0
2903.43457 0.0
2906.179443 0.0
2908.924561 0.0
2911.669434 0.0
2914.414307 0.0
2917.159424 0.0
2919.904541 1.087e-15
2922.649414 1.0072e-18
2925.394531 1.6237e-15
2928.139648 2.2955e-14
2930.884766 7.3807e-16
2933.629883 4.7512e-16
2936.375244 2.6213e-16
2939.120361 5.6954e-17
2941.865479 0.0
2944.61084 0.0
2947.355957 1.5594e-16
2950.101318 0.0
2952.84668 9.1659e-17
2955.591797 5.802e-17
2958.337158 3.9155e-16
2961.08252 2.6269e-16
2963.827881 4.434e-17
2966.573486 6.5738e-16
2969.318848 0.0
2972.064209 2.1355e-16
2974.80957 2.3591e-16
2977.555176 8.1004e-17
2980.300781 1.1927e-16
2983.046143 1.6746e-16
2985.791748 7.1278e-17
2988.537354 6.5635e-17
2991.282959 6.2786e-17
2994.028564 0.0
2996.77417 6.1785e-17
2999.519775 1.2151e-16
3002.265381 3.2316e-17
3005.01123 1.9131e-16
3007.756836 1.2398e-16
3010.502686 6.1202e-17
3013.248291 1.9018e-16
3015.994141 1.4047e-17
3018.739746 1.1039e-16
3021.485596 8.0269e-17
3024.231445 6.1189e-17
3026.977295 1.5177e-16
3029.723145 2.4235e-16
3032.468994 1.773e-16
3035.215088 3.4755e-16
3037.960938 1.6153e-16
3040.706787 1.9137e-16
3043.452881 2.3901e-16
3046.19873 2.7199e-16
3048.944824 2.6167e-16
3051.690918 2.0966e-16
3054.436768 3.42e-16
3057.182861 2.511e-16
3059.928955 2.0357e-16
3062.675049 2.3386e-16
3065.421143 2.8513e-16
3068.167236 1.7992e-16
3070.913574 3.0873e-16
3073.659668 3.6486e-16
3076.405762 3.5113e-16
3079.1521 3.7414e-16
3081.898193 3.2433e-16
3084.644531 3.3602e-16
3087.390625 3.5227e-16
3090.136963 2.6642e-16
3092.883301 2.484e-16
3095.629639 1.8181e-16
3098.375977 1.5949e-16
3101.122314 2.107e-16
3103.868652 3.1472e-16
3106.61499 3.895e-16
3109.361572 5.023e-16
3112.10791 5.3292e-16
3114.854248 4.7767e-16
3117.60083 4.2498e-16
3120.347168 3.8025e-16
3123.09375 3.0971e-16
3125.840332 3.2318e-16
3128.58667 3.9926e-16
3131.333252 4.1871e-16
3134.079834 4.689e-16
3136.826416 5.4656e-16
3139.572998 6.1921e-16
3142.31958 5.6005e-16
3145.066162 4.4265e-16
3147.812988 4.4148e-16
3150.55957 4.1499e-16
3153.306152 3.9007e-16
3156.052979 3.9761e-16
3158.799561 3.9083e-16
3161.546387 4.6526e-16
3164.292969 5.7349e-16
3167.039795 4.6118e-16
3169.786621 5.9417e-16
3172.533447 6.6153e-16
3175.280273 6.8462e-16
3178.0271 7.2715e-16
3180.773926 6.1711e-16
3183.520752 4.3686e-16
3186.267578 4.7985e-16
3189.014404 6.3048e-16
3191.761475 5.617e-16
3194.508301 4.6904e-16
3197.255127 6.0509e-16
3200.002197 6.8486e-16
3202.749023 6.9246e-16
3205.496094 6.7186e-16
3208.243164 5.9092e-16
3210.990234 4.8511e-16
3213.737061 5.1729e-16
3216.484131 5.5075e-16
3219.231201 4.788e-16
3221.978271 5.6089e-16
3224.725342 3.9437e-16
3227.472412 4.496e-16
3230.219482 4.2114e-16
3232.966797 4.6564e-16
3235.713867 4.9461e-16
3238.460938 5.1145e-16
3241.208252 5.3243e-16
3243.955322 4.7612e-16
3246.702637 4.849e-16
3249.449707 5.7843e-16
3252.197021 6.6429e-16
3254.944336 8.4325e-16
3257.69165 9.486e-16
3260.438721 8.6627e-16
3263.186035 8.4626e-16
3265.93335 8.5242e-16
3268.680664 1.0022e-15
3271.427979 1.0347e-15
3274.175293 1.0628e-15
3276.922852 9.6783e-16
3279.670166 8.6943e-16
3282.41748 9.4601e-16
3285.164795 9.0157e-16
3287.912354 9.1106e-16
3290.659668 9.6526e-16
3293.407227 1.157e-15
3296.154541 1.1407e-15
3298.9021 1.1701e-15
3301.649658 1.177e-15
3304.396973 1.0589e-15
3307.144531 8.6223e-16
3309.89209 9.16e-16
3312.639648 9.9148e-16
3315.387207 8.9656e-16
3318.134766 9.1249e-16
3320.882324 8.6302e-16
3323.629883 9.5885e-16
3326.377441 9.8948e-16
3329.125 1.0304e-15
3331.872559 1.0285e-15
3334.620361 9.0504e-16
3337.36792 8.4872e-16
3340.115479 8.8105e-16
3342.863281 9.2308e-16
3345.61084 9.7126e-16
3348.358643 9.5509e-16
3351.106201 9.761e-16
3353.854004 1.071e-15
3356.601807 1.0528e-15
3359.349365 8.0001e-16
3362.097168 6.413e-16
3364.844971 8.2485e-16
3367.592773 7.9956e-16
3370.340576 6.6819e-16
3373.088379 6.3919e-16
3375.836182 7.8256e-16
3378.583984 9.5582e-16
3381.331787 8.9362e-16
3384.07959 9.9885e-16
3386.827393 9.7711e-16
3389.575439 1.0993e-15
3392.323242 1.0354e-15
3395.071045 9.3322e-16
3397.819092 1.1883e-15
3400.566895 1.3686e-15
3403.314697 1.2605e-15
3406.062744 1.1193e-15
3408.810791 1.072e-15
3411.558594 1.0488e-15
3414.306641 9.6683e-16
3417.054443 1.0329e-15
3419.80249 1.2804e-15
3422.550537 1.2492e-15
3425.298584 1.3615e-15
3428.046631 1.3379e-15
3430.794678 1.5341e-15
3433.54248 1.2918e-15
3436.290527 1.2154e-15
3439.038574 1.03e-15
3441.786621 7.4575e-16
3444.534912 6.8634e-16
3447.282959 9.6408e-16
3450.031006 1.1171e-15
3452.779053 1.1552e-15
3455.5271 1.1713e-15
3458.275391 1.1762e-15
3461.023438 1.0907e-15
3463.771484 1.0692e-15
3466.519775 1.1356e-15
3469.267822 1.3295e-15
3472.016113 1.2612e-15
3474.76416 1.0029e-15
3477.512451 9.4361e-16
3480.260498 1.1033e-15
3483.008789 1.1073e-15
3485.75708 1.2221e-15
3488.505127 1.2164e-15
3491.253418 1.1348e-15
3494.001709 1.0077e-15
3496.75 1.0582e-15
3499.498291 1.1927e-15
3502.246338 1.4366e-15
3504.994629 1.4909e-15
3507.74292 1.4309e-15
3510.491211 1.296e-15
3513.239502 1.1445e-15
3515.987793 1.1209e-15
3518.736084 1.4589e-15
3521.484619 1.359e-15
3524.23291 1.0326e-15
3526.981201 1.072e-15
3529.729492 1.2285e-15
3532.477783 1.4165e-15
3535.226318 1.4497e-15
3537.974609 1.4827e-15
3540.7229 1.5334e-15
3543.471436 1.4972e-15
3546.219727 1.5449e-15
3548.968018 1.5569e-15
