wave flux
1667.4794921875 1.674e-10
1668.849976 1.4356e-10
1670.220581 1.3635e-10
1671.591064 1.5386e-10
1672.96167 1.6033e-10
1674.332275 1.7073e-10
1675.702881 1.7793e-10
1677.073608 1.8486e-10
1678.444214 1.8219e-10
1679.814819 1.8292e-10
1681.185547 1.8672e-10
1682.556274 1.8727e-10
1683.927002 1.8629e-10
1685.297729 1.8325e-10
1686.668457 1.8223e-10
1688.039185 1.9007e-10
1689.409912 1.88e-10
1690.780762 1.8636e-10
1692.151489 1.8682e-10
1693.522339 1.8309e-10
1694.893188 1.8163e-10
1696.263916 1.8052e-10
1697.634766 1.8351e-10
1699.005737 1.8488e-10
1700.376587 1.7987e-10
1701.747437 1.7729e-10
1703.118408 1.7791e-10
1704.489258 1.7853e-10
1705.860229 1.7734e-10
1707.231201 1.7536e-10
1708.602173 1.7313e-10
1709.973145 1.7427e-10
1711.344116 1.7156e-10
1712.715088 1.7493e-10
1714.086182 1.7703e-10
1715.457153 1.7392e-10
1716.828247 1.753e-10
1718.199341 1.7018e-10
1719.570312 1.618e-10
1720.941406 1.6073e-10
1722.3125 1.6139e-10
1723.683716 1.5919e-10
1725.05481 1.5592e-10
1726.425903 1.6401e-10
1727.797119 1.723e-10
1729.168213 1.7185e-10
1730.539429 1.6636e-10
1731.910645 1.6482e-10
1733.28186 1.6511e-10
1734.653076 1.6729e-10
1736.024292 1.7024e-10
1737.39563 1.7083e-10
1738.766846 1.7742e-10
1740.138062 1.7568e-10
1741.509399 1.7111e-10
1742.880737 1.7289e-10
1744.252075 1.7342e-10
1745.623413 1.7201e-10
1746.994751 1.7068e-10
1748.366089 1.6928e-10
1749.737427 1.7383e-10
1751.108765 1.7384e-10
1752.480225 1.7729e-10
1753.851562 1.8268e-10
1755.223022 1.8573e-10
1756.594482 1.8327e-10
1757.965942 1.7666e-10
1759.337402 1.6683e-10
1760.708862 1.6062e-10
1762.080322 1.6116e-10
1763.451782 1.603e-10
1764.823364 1.6208e-10
1766.194824 1.6371e-10
1767.566406 1.6392e-10
1768.937988 1.6792e-10
1770.30957 1.6792e-10
1771.681152 1.645e-10
1773.052734 1.6411e-10
1774.424316 1.6335e-10
1775.795898 1.6573e-10
1777.16748 1.662e-10
1778.539185 1.7008e-10
1779.910767 1.7152e-10
1781.282471 1.6886e-10
1782.654175 1.717e-10
1784.025879 1.6942e-10
1785.397583 1.6297e-10
1786.769287 1.636e-10
1788.140991 1.679e-10
1789.512695 1.7721e-10
1790.884399 1.8456e-10
1792.256226 1.8672e-10
1793.62793 1.8524e-10
1794.999756 1.8608e-10
1796.371582 1.8379e-10
1797.743408 1.8118e-10
1799.115234 1.8491e-10
1800.487061 1.8511e-10
1801.858887 1.8697e-10
1803.230713 1.8085e-10
1804.602539 1.7746e-10
1805.974487 1.7775e-10
1807.346313 1.7325e-10
1808.718262 1.7432e-10
1810.09021 1.8074e-10
1811.462036 1.8215e-10
1812.833984 1.8397e-10
1814.205933 1.8095e-10
1815.577881 1.7749e-10
1816.949951 1.7522e-10
1818.321899 1.7429e-10
1819.693848 1.7458e-10
1821.065918 1.754e-10
1822.437866 1.7683e-10
1823.809937 1.7824e-10
1825.182007 1.7758e-10
1826.554077 1.7562e-10
1827.926025 1.7313e-10
1829.298218 1.7075e-10
1830.670288 1.6487e-10
1832.042358 1.6371e-10
1833.414429 1.6906e-10
1834.786621 1.7163e-10
1836.158691 1.7205e-10
1837.530884 1.7185e-10
1838.902954 1.6656e-10
1840.275146 1.6015e-10
1841.647339 1.5471e-10
1843.019531 1.5679e-10
1844.391724 1.6071e-10
1845.763916 1.6034e-10
1847.136108 1.6127e-10
1848.508301 1.6607e-10
1849.880615 1.6829e-10
1851.252808 1.6479e-10
1852.625122 1.5864e-10
1853.997314 1.5828e-10
1855.369629 1.6155e-10
1856.741943 1.6605e-10
1858.114258 1.6424e-10
1859.486572 1.617e-10
1860.858887 1.6161e-10
1862.231201 1.5846e-10
1863.603516 1.5927e-10
1864.975952 1.608e-10
1866.348267 1.6427e-10
1867.720703 1.6643e-10
1869.093018 1.6659e-10
1870.465454 1.6941e-10
1871.837891 1.7224e-10
1873.210205 1.7323e-10
1874.582642 1.7111e-10
1875.955078 1.6781e-10
1877.327515 1.6738e-10
1878.699951 1.7012e-10
1880.07251 1.6992e-10
1881.444946 1.699e-10
1882.817383 1.7252e-10
1884.189941 1.7012e-10
1885.5625 1.6911e-10
1886.934937 1.6997e-10
1888.307495 1.6686e-10
1889.680054 1.6643e-10
1891.052612 1.6642e-10
1892.425171 1.6814e-10
1893.797729 1.6785e-10
1895.170288 1.6541e-10
1896.542847 1.6486e-10
1897.915405 1.6333e-10
1899.288086 1.6369e-10
1900.660645 1.6338e-10
1902.033325 1.6403e-10
1903.405884 1.6637e-10
1904.778564 1.6924e-10
1906.151245 1.6738e-10
1907.523926 1.6532e-10
1908.896484 1.6275e-10
