wave flux
1148.6 4.2369303e-14
1149.8 2.6114016e-14
1151.0 1.6252245e-14
1152.2 1.9405776e-14
1153.4 1.4240503e-14
1154.6 1.106741e-14
1155.8 1.3208509e-14
1157.0 2.3032242e-14
1158.2 1.868017e-14
1159.2 9.077223e-15
1160.4 1.7528422e-14
1161.6 3.1622135e-14
1162.8 2.3287577e-14
1164.0 1.9140629e-14
1165.2 1.9341821e-14
1166.4 1.4672005e-14
1167.6 1.0543205e-14
1168.8 1.212554e-14
1169.8 1.306003e-14
1171.0 4.67927e-15
1172.2 9.406792e-15
1173.4 4.2406823e-15
1174.6 3.465699e-15
1175.8 4.0658988e-15
1177.0 3.817624e-15
1178.2 6.8116823e-15
1179.4 7.055347e-15
1180.6 9.463932e-15
1181.6 7.451937e-15
1182.8 6.2009956e-15
1184.0 6.972531e-15
1185.2 4.99399e-15
1186.4 3.6432755e-15
1187.6 6.836233e-15
1188.8 9.515088e-15
1190.0 1.01005985e-14
1191.2 1.0089845e-14
1192.4 1.1118514e-14
1193.4 1.0770914e-14
1194.6 1.0489825e-14
1195.8 1.02350955e-14
1197.0 9.997512e-15
1198.2 9.538267e-15
1199.4 1.0817025e-14
1200.6 1.3317594e-14
1201.8 1.9781287e-14
1203.0 2.3037346e-14
1204.2 3.0569358e-14
1205.2 5.278656e-14
1206.4 1.08264777e-13
1207.6 2.007762e-13
1208.8 3.3390692e-13
1210.0 4.549414e-13
1211.2 6.1745726e-13
1212.4 7.2721104e-13
1213.6 8.496853e-13
1214.8 8.2088356e-13
1216.0 7.9997684e-13
1217.0 7.833215e-13
1218.2 6.685579e-13
1219.4 4.926231e-13
1220.6 3.6382315e-13
1221.8 1.8059346e-13
1223.0 7.06901e-14
1224.2 2.4231026e-14
1225.4 8.678192e-15
1226.6 1.0029277e-14
1227.8 5.689738e-15
1228.8 5.3790188e-15
1230.0 3.5256736e-15
1231.2 3.0909884e-15
1232.4 3.8898934e-15
1233.6 4.3420057e-15
1234.8 5.276086e-15
1236.0 5.189787e-15
1237.2 4.230313e-15
1238.4 4.4979372e-15
1239.6 5.2025217e-15
1240.6 5.676742e-15
1241.8 6.392575e-15
1243.0 5.728731e-15
1244.2 4.6112897e-15
1245.4 4.6636368e-15
1246.6 5.220174e-15
1247.8 5.049821e-15
1249.0 5.0476976e-15
1250.2 7.549649e-15
1251.4 6.857683e-15
1252.4 5.8199587e-15
1253.6 7.229778e-15
1254.8 9.5696885e-15
1256.0 9.9953174e-15
1257.2 9.473492e-15
1258.4 8.95882e-15
1259.6 1.0761054e-14
1260.8 1.3504768e-14
1262.0 1.4362423e-14
1263.2 1.31775186e-14
1264.2 1.2098806e-14
1265.4 1.3538824e-14
1266.6 1.6194243e-14
1267.8 1.6252226e-14
1269.0 1.5123146e-14
1270.2 1.6006724e-14
1271.4 1.5538062e-14
1272.6 1.6508032e-14
1273.8 1.8362045e-14
1275.0 1.8893592e-14
1276.0 2.1369062e-14
1277.2 1.9811274e-14
1278.4 2.0653894e-14
1279.6 2.3527118e-14
1280.8 2.551683e-14
1282.0 2.5710628e-14
1283.2 2.2700395e-14
1284.4 2.2751247e-14
1285.6 2.459153e-14
1286.8 2.5287806e-14
1287.8 2.7871052e-14
1289.0 3.1627204e-14
1290.2 3.018404e-14
1291.4 2.7953229e-14
1292.6 2.9024692e-14
1293.8 2.863728e-14
1295.0 2.8700075e-14
1296.2 3.1362825e-14
1297.4 3.2614577e-14
1298.6 3.1560753e-14
1299.6 2.9648593e-14
1300.8 2.9444922e-14
1302.0 2.8839317e-14
1303.2 3.236067e-14
1304.4 3.3775845e-14
1305.6 3.3392763e-14
1306.8 3.1224623e-14
1308.0 3.2863676e-14
1309.2 3.3578375e-14
1310.4 3.3078053e-14
1311.4 3.372956e-14
1312.6 3.564159e-14
1313.8 3.6158353e-14
1315.0 3.655796e-14
1316.2 3.7039257e-14
1317.4 3.7263212e-14
1318.6 3.7398612e-14
1319.8 3.575301e-14
1321.0 3.659987e-14
1322.0 4.034192e-14
1323.2 3.9097808e-14
1324.4 3.8333855e-14
1325.6 3.882905e-14
1326.8 4.0549022e-14
1328.0 4.1809563e-14
1329.2 3.9850993e-14
1330.4 3.937909e-14
1331.6 4.085894e-14
1332.8 4.1182657e-14
1333.8 4.102669e-14
1335.0 4.358038e-14
1336.2 4.426954e-14
1337.4 4.3105046e-14
1338.6 4.2090822e-14
1339.8 3.9817674e-14
1341.0 4.2382134e-14
1342.2 4.3922907e-14
1343.4 4.4051785e-14
1344.6 4.4564565e-14
1345.6 4.235695e-14
1346.8 4.3013854e-14
1348.0 4.3860423e-14
1349.2 4.2852556e-14
1350.4 3.962503e-14
1351.6 4.2511296e-14
1352.8 4.4463402e-14
1354.0 4.315417e-14
1355.2 4.3071497e-14
1356.4 4.1448687e-14
1357.4 4.2078598e-14
1358.6 4.2711613e-14
1359.8 4.195825e-14
1361.0 4.217818e-14
1362.2 4.3312532e-14
1363.4 4.2437313e-14
1364.6 4.3809178e-14
1365.8 4.280216e-14
1367.0 3.8473426e-14
1368.2 4.265163e-14
1369.2 4.222533e-14
1370.4 4.06149e-14
1371.6 4.5049596e-14
1372.8 4.514035e-14
1374.0 4.140706e-14
1375.2 3.925143e-14
1376.4 4.0803705e-14
1377.6 4.1524072e-14
1378.8 3.8823515e-14
1380.0 3.7071468e-14
1381.0 3.9258673e-14
1382.2 3.6115757e-14
1383.4 3.776759e-14
1384.6 3.6984413e-14
1385.8 3.7741342e-14
1387.0 3.7906933e-14
1388.2 3.7358334e-14
1389.4 3.7026717e-14
1390.6 3.5318418e-14
1391.8 3.9042615e-14
1392.8 3.6618607e-14
1394.0 3.5440977e-14
1395.2 3.579374e-14
1396.4 3.4521624e-14
1397.6 3.3323133e-14
1398.8 3.78195e-14
1400.0 3.918724e-14
1401.2 3.8438613e-14
1402.4 3.719921e-14
1403.6 4.071584e-14
1404.6 4.3975274e-14
1405.8 4.3153174e-14
1407.0 4.2905776e-14
1408.2 4.536778e-14
1409.4 4.568346e-14
1410.6 4.369486e-14
1411.8 4.7609584e-14
1413.0 4.4992567e-14
1414.2 4.915988e-14
1415.4 5.1923225e-14
1416.4 4.907539e-14
