wave flux
1148.6 1.14898105e-14
1149.8 1.2738545e-14
1151.0 2.94541e-14
1152.2 1.5690194e-14
1153.4 1.1808241e-14
1154.5 1.9107359e-14
1155.7 1.452554e-14
1156.9 1.8255285e-14
1158.1 2.0304223e-14
1159.3 2.3704168e-14
1160.4 2.2878499e-14
1161.6 2.1416852e-14
1162.8 1.8306833e-14
1164.0 2.7619344e-14
1165.2 2.1647094e-14
1166.3 1.3061642e-14
1167.5 2.1372063e-14
1168.7 1.9319578e-14
1169.9 1.5530932e-14
1171.1 1.8148865e-14
1172.2 1.7418626e-14
1173.4 1.4632825e-14
1174.6 1.6566352e-14
1175.8 2.1171814e-14
1177.0 2.4990398e-14
1178.1 1.7637117e-14
1179.3 1.816347e-14
1180.5 1.70202e-14
1181.7 2.0287791e-14
1182.9 2.7181707e-14
1184.0 2.2009958e-14
1185.2 2.5313364e-14
1186.4 2.6693844e-14
1187.6 2.2935277e-14
1188.8 2.3515859e-14
1189.9 2.567019e-14
1191.1 2.4566646e-14
1192.3 2.3326218e-14
1193.5 2.8824243e-14
1194.7 2.8997817e-14
1195.8 2.976234e-14
1197.0 3.2010385e-14
1198.2 2.9561274e-14
1199.4 3.3242787e-14
1200.6 4.425056e-14
1201.7 6.127499e-14
1202.9 9.036828e-14
1204.1 1.4424941e-13
1205.3 7.37539e-14
1206.5 1.1441965e-13
1207.6 2.0888178e-13
1208.8 3.6358338e-13
1210.0 5.0280055e-13
1211.2 5.746706e-13
1212.4 6.388767e-13
1213.5 6.466433e-13
1214.7 6.4170744e-13
1215.9 4.0634396e-13
1217.1 2.9270827e-13
1218.3 3.0333364e-13
1219.4 2.1736711e-13
1220.6 1.3014659e-13
1221.8 6.847186e-14
1223.0 3.291843e-14
1224.2 2.3184945e-14
1225.3 2.1859843e-14
1226.5 2.2515928e-14
1227.7 2.1874846e-14
1228.9 1.929179e-14
1230.0 2.1932636e-14
1231.2 2.1889713e-14
1232.4 2.2584002e-14
1233.6 2.429604e-14
1234.8 2.220701e-14
1235.9 2.0380677e-14
1237.1 2.2391265e-14
1238.3 2.3441527e-14
1239.5 1.9364738e-14
1240.7 2.0152067e-14
1241.8 2.0784076e-14
1243.0 2.1108393e-14
1244.2 2.276643e-14
1245.4 2.2771627e-14
1246.6 2.1662802e-14
1247.7 2.1296583e-14
1248.9 2.1957352e-14
1250.1 2.1803616e-14
1251.3 1.9291972e-14
1252.5 2.1066297e-14
1253.6 1.8569503e-14
1254.8 1.9275326e-14
1256.0 1.8786146e-14
1257.2 1.9277342e-14
1258.4 2.0331798e-14
1259.5 1.8333345e-14
1260.7 1.8871418e-14
1261.9 2.0430013e-14
1263.1 2.0957443e-14
1264.3 2.0550568e-14
1265.4 1.938425e-14
1266.6 1.9199662e-14
1267.8 2.0570592e-14
1269.0 2.3652406e-14
1270.2 1.9731253e-14
1271.3 1.8533088e-14
1272.5 1.7645734e-14
1273.7 1.8702513e-14
1274.9 2.0225358e-14
1276.1 2.3088782e-14
1277.2 2.1987696e-14
1278.4 2.0537315e-14
1279.6 2.1292914e-14
1280.8 2.1582945e-14
1282.0 2.2854972e-14
1283.1 2.4710951e-14
1284.3 2.4052719e-14
1285.5 2.0461819e-14
1286.7 2.0651526e-14
1287.9 2.2155614e-14
1289.0 2.1522448e-14
1290.2 2.3489448e-14
1291.4 2.4078138e-14
1292.6 2.391931e-14
1293.8 2.0846612e-14
1294.9 2.01013e-14
1296.1 2.0275382e-14
1297.3 1.9463543e-14
1298.5 1.9717687e-14
1299.7 2.175596e-14
1300.8 2.0708517e-14
1302.0 2.1438079e-14
1303.2 2.1314998e-14
1304.4 2.161536e-14
1305.6 2.1621566e-14
1306.7 2.05217e-14
1307.9 2.0833838e-14
1309.1 2.2877484e-14
1310.3 2.2699665e-14
1311.5 2.0142874e-14
1312.6 2.3602256e-14
1313.8 2.1567792e-14
1315.0 1.8920956e-14
1316.2 1.9755598e-14
1317.3 2.178827e-14
1318.5 2.2900171e-14
1319.7 2.1012619e-14
1320.9 2.1465829e-14
1322.1 2.1147609e-14
1323.2 2.1027137e-14
1324.4 2.0113692e-14
1325.6 1.9570891e-14
1326.8 2.0299773e-14
1328.0 2.0828876e-14
1329.1 1.9187873e-14
1330.3 2.0559973e-14
1331.5 1.986217e-14
1332.7 2.0394864e-14
1333.9 1.978663e-14
1335.0 2.1493793e-14
1336.2 2.0435246e-14
1337.4 2.3003717e-14
1338.6 2.2262828e-14
1339.8 2.192082e-14
1340.9 2.3924742e-14
1342.1 2.3419377e-14
1343.3 2.0677931e-14
1344.5 2.313909e-14
1345.7 2.5339006e-14
1346.8 2.3799542e-14
1348.0 2.4518509e-14
1349.2 2.7608441e-14
1350.4 2.6120534e-14
1351.6 2.3496392e-14
1352.7 2.50234e-14
1353.9 2.233563e-14
1355.1 2.081698e-14
1356.3 2.5460226e-14
1357.5 2.5557047e-14
1358.6 2.4158821e-14
1359.8 2.5206737e-14
1361.0 2.469769e-14
1362.2 2.6929464e-14
1363.4 2.7815876e-14
1364.5 2.5874465e-14
1365.7 2.7669109e-14
1366.9 2.7628644e-14
1368.1 2.4886619e-14
1369.3 2.4582816e-14
1370.4 2.4048578e-14
1371.6 2.5991809e-14
1372.8 2.4424964e-14
1374.0 2.383552e-14
1375.2 2.4584872e-14
1376.3 2.4650385e-14
1377.5 2.314573e-14
1378.7 2.5806915e-14
1379.9 2.8202863e-14
1381.1 2.7587609e-14
1382.2 2.6574303e-14
1383.4 2.6554142e-14
1384.6 2.6653266e-14
1385.8 2.4923734e-14
1387.0 2.5841154e-14
1388.1 2.38939e-14
1389.3 2.5721926e-14
1390.5 2.474929e-14
1391.7 2.6382061e-14
1392.9 2.7256878e-14
1394.0 2.4700617e-14
1395.2 2.3222332e-14
1396.4 2.6402139e-14
1397.6 2.672263e-14
1398.8 2.6356364e-14
1399.9 2.7514691e-14
1401.1 2.845341e-14
1402.3 2.7551503e-14
1403.5 2.3241324e-14
1404.7 1.9613246e-14
1405.8 2.3964116e-14
1407.0 2.749658e-14
1408.2 2.5295706e-14
1409.4 2.4715098e-14
1410.5 2.556688e-14
1411.7 2.555077e-14
1412.9 2.394232e-14
1414.1 2.2443329e-14
1415.3 2.1577095e-14
1416.4 2.4760259e-14
1417.6 2.5471751e-14
1418.8 2.3689306e-14
1420.0 2.146091e-14
1421.2 2.3036191e-14
1422.3 2.4810196e-14
1423.5 2.8404598e-14
1424.7 2.7516324e-14
1425.9 2.7093709e-14
1427.1 2.4904478e-14
1428.2 2.0786073e-14
1429.4 2.0075008e-14
1430.6 2.2234371e-14
1431.8 2.434515e-14
1433.0 2.7071112e-14
1434.1 2.920706e-14
1435.3 2.492718e-14
1436.5 2.3832798e-14
1437.7 2.6378215e-14
1438.9 2.5116221e-14
1440.0 2.2108027e-14
1441.2 2.4049246e-14
1442.4 2.5138935e-14
1443.6 2.3209331e-14
1444.8 2.5356172e-14
1445.9 2.867958e-14
1447.1 2.602749e-14
1448.3 2.4657155e-14
1449.5 2.610825e-14
1450.7 2.3315632e-14
1451.8 2.6239773e-14
1453.0 2.6279165e-14
1454.2 2.4284834e-14
1455.4 2.4108623e-14
1456.6 2.530947e-14
1457.7 2.5842169e-14
1458.9 2.5455261e-14
1460.1 2.8267361e-14
1461.3 2.7787839e-14
1462.5 2.6839969e-14
1463.6 2.7547143e-14
1464.8 2.8031825e-14
1466.0 2.7782537e-14
1467.2 2.7902178e-14
1468.4 2.87251e-14
1469.5 2.7691513e-14
1470.7 2.7295579e-14
1471.9 2.3831568e-14
1473.1 2.5698358e-14
1474.3 2.7452905e-14
1475.4 2.607513e-14
1476.6 2.5755192e-14
1477.8 2.862784e-14
1479.0 2.9668013e-14
1480.2 2.786062e-14
1481.3 2.8263407e-14
1482.5 2.9739605e-14
1483.7 2.6890686e-14
1484.9 2.5821459e-14
1486.1 2.80437e-14
1487.2 2.7120985e-14
1488.4 2.974603e-14
1489.6 2.937316e-14
1490.8 2.97607e-14
1492.0 3.1497977e-14
1493.1 2.969198e-14
1494.3 2.6121051e-14
1495.5 2.7316975e-14
1496.7 2.9304104e-14
1497.8 2.8329376e-14
1499.0 2.6236178e-14
1500.2 2.4918639e-14
1501.4 2.4081821e-14
1502.6 2.5141337e-14
1503.7 2.5361222e-14
1504.9 2.3952288e-14
1506.1 2.6720737e-14
1507.3 2.7405778e-14
1508.5 2.749459e-14
1509.6 2.6927967e-14
1510.8 2.5896692e-14
1512.0 2.5370109e-14
1513.2 2.6692344e-14
1514.4 2.6058654e-14
1515.5 2.8078548e-14
1516.7 2.8318963e-14
1517.9 2.786721e-14
1519.1 2.7349218e-14
1520.3 2.8097387e-14
1521.4 2.7099006e-14
1522.6 2.55525e-14
1523.8 2.7369408e-14
1525.0 2.7091388e-14
1526.2 2.7190827e-14
1527.3 2.7645751e-14
1528.5 2.6052385e-14
1529.7 2.4888474e-14
1530.9 2.6250217e-14
1532.1 2.5918483e-14
1533.2 2.8338119e-14
1534.4 2.837578e-14
1535.6 2.7054698e-14
1536.8 2.791692e-14
1538.0 2.8789444e-14
1539.1 2.7653535e-14
