wave flux
1148.6 5.0669165e-12
1149.8 5.0167973e-12
1151.0 4.94302e-12
1152.2 5.109169e-12
1153.4 5.0832316e-12
1154.6 5.0867145e-12
1155.8 5.2688353e-12
1157.0 5.332307e-12
1158.2 5.185623e-12
1159.2 5.184384e-12
1160.4 5.1955844e-12
1161.6 5.4690822e-12
1162.8 5.3068075e-12
1164.0 5.220856e-12
1165.2 5.1306424e-12
1166.4 4.947602e-12
1167.6 4.772334e-12
1168.8 4.9206164e-12
1169.8 4.9580084e-12
1171.0 4.8900814e-12
1172.2 4.957609e-12
1173.4 4.8730325e-12
1174.6 4.923355e-12
1175.8 4.993816e-12
1177.0 5.0253417e-12
1178.2 5.019182e-12
1179.4 5.049886e-12
1180.6 5.1798292e-12
1181.6 5.16265e-12
1182.8 5.2168972e-12
1184.0 5.1356567e-12
1185.2 5.0247163e-12
1186.4 5.002383e-12
1187.6 4.846819e-12
1188.8 4.658768e-12
1190.0 4.590191e-12
1191.2 4.4867994e-12
1192.4 4.550304e-12
1193.4 4.5208655e-12
1194.6 4.435332e-12
1195.8 4.346712e-12
1197.0 4.2677454e-12
1198.2 4.4171914e-12
1199.4 4.3645543e-12
1200.6 4.2276902e-12
1201.8 4.38496e-12
1203.0 4.4334627e-12
1204.2 4.355925e-12
1205.2 4.334348e-12
1206.4 4.344543e-12
1207.6 4.062108e-12
1208.8 3.716091e-12
1210.0 3.5286704e-12
1211.2 3.2263194e-12
1212.4 2.8891518e-12
1213.6 2.4982458e-12
1214.8 2.2970063e-12
1216.0 2.36451e-12
1217.0 2.669235e-12
1218.2 3.0717013e-12
1219.4 3.5442756e-12
1220.6 3.7443187e-12
1221.8 3.905903e-12
1223.0 4.056394e-12
1224.2 4.2004885e-12
1225.4 4.250543e-12
1226.6 4.210008e-12
1227.8 4.237953e-12
1228.8 4.2630873e-12
1230.0 4.317659e-12
1231.2 4.2611205e-12
1232.4 4.2244355e-12
1233.6 4.128983e-12
1234.8 4.059119e-12
1236.0 4.131255e-12
1237.2 4.097514e-12
1238.4 3.9527912e-12
1239.6 4.013952e-12
1240.6 4.044619e-12
1241.8 4.004289e-12
1243.0 4.096091e-12
1244.2 4.1192254e-12
1245.4 4.075483e-12
1246.6 4.1099307e-12
1247.8 4.19172e-12
1249.0 4.07188e-12
1250.2 4.0273843e-12
1251.4 3.978814e-12
1252.4 3.936574e-12
1253.6 3.939103e-12
