wave flux
2222.300048828125 1.8671e-15
2222.800048828125 1.9534e-15
2223.300048828125 1.8985e-15
2223.800048828125 2.4153e-15
2224.300048828125 2.008e-15
2224.89990234375 2.1326e-15
2225.39990234375 1.9826e-15
2225.89990234375 2.0548e-15
2226.39990234375 2.0409e-15
2226.89990234375 1.8602e-15
2227.39990234375 1.9888e-15
2227.89990234375 2.114e-15
2228.5 2.1744e-15
2229.0 2.0649e-15
2229.5 2.0916e-15
2230.0 2.2087e-15
2230.5 2.116e-15
2231.0 2.2207e-15
2231.5 2.5775e-15
2232.10009765625 3.005e-15
2232.60009765625 3.4227e-15
2233.10009765625 3.1552e-15
2233.60009765625 3.3824e-15
2234.10009765625 3.1748e-15
2234.60009765625 3.3238e-15
2235.10009765625 3.3186e-15
2235.699951171875 3.2794e-15
2236.199951171875 3.0618e-15
2236.699951171875 2.6416e-15
2237.199951171875 2.6344e-15
2237.699951171875 2.6433e-15
2238.199951171875 2.6929e-15
2238.699951171875 2.8724e-15
2239.300048828125 2.7326e-15
2239.800048828125 2.7707e-15
2240.300048828125 2.7128e-15
2240.800048828125 2.4075e-15
2241.300048828125 2.2402e-15
2241.800048828125 2.3649e-15
2242.300048828125 2.4018e-15
2242.89990234375 2.1377e-15
2243.39990234375 2.0577e-15
2243.89990234375 2.2728e-15
2244.39990234375 2.3393e-15
2244.89990234375 2.7508e-15
2245.39990234375 2.7049e-15
2245.89990234375 2.9096e-15
2246.5 2.887e-15
2247.0 2.9813e-15
2247.5 2.9996e-15
2248.0 2.6843e-15
2248.5 2.4761e-15
2249.0 2.3868e-15
2249.5 2.2812e-15
2250.10009765625 2.1715e-15
2250.60009765625 2.125e-15
2251.10009765625 2.3367e-15
2251.60009765625 2.4598e-15
2252.10009765625 2.3139e-15
2252.60009765625 2.1042e-15
2253.10009765625 1.9821e-15
2253.699951171875 1.99e-15
2254.199951171875 2.138e-15
2254.699951171875 2.0911e-15
2255.199951171875 2.0876e-15
2255.699951171875 2.0973e-15
2256.199951171875 2.167e-15
2256.699951171875 2.177e-15
2257.300048828125 2.1737e-15
2257.800048828125 2.3153e-15
2258.300048828125 2.2598e-15
2258.800048828125 2.1615e-15
2259.300048828125 1.8489e-15
2259.800048828125 1.7967e-15
2260.300048828125 1.8054e-15
2260.89990234375 1.94e-15
2261.39990234375 2.0638e-15
2261.89990234375 2.1076e-15
2262.39990234375 1.8894e-15
2262.89990234375 1.6168e-15
2263.39990234375 1.6378e-15
2263.89990234375 1.4906e-15
2264.39990234375 1.4959e-15
2265.0 1.4064e-15
2265.5 1.4768e-15
2266.0 1.4017e-15
2266.5 1.4338e-15
2267.0 1.4792e-15
2267.5 1.4074e-15
2268.0 1.2548e-15
2268.60009765625 1.2999e-15
2269.10009765625 1.4606e-15
2269.60009765625 1.3498e-15
2270.10009765625 1.2613e-15
2270.60009765625 1.2913e-15
2271.10009765625 1.4314e-15
2271.60009765625 1.3453e-15
2272.199951171875 1.3985e-15
2272.699951171875 1.6194e-15
2273.199951171875 1.5815e-15
2273.699951171875 1.5018e-15
2274.199951171875 1.58e-15
2274.699951171875 1.6065e-15
2275.199951171875 1.5857e-15
2275.800048828125 1.8717e-15
2276.300048828125 1.7316e-15
2276.800048828125 1.8105e-15
2277.300048828125 2.026e-15
2277.800048828125 1.9022e-15
2278.300048828125 1.7951e-15
2278.800048828125 1.9313e-15
2279.39990234375 2.0523e-15
2279.89990234375 2.1578e-15
2280.39990234375 2.2456e-15
2280.89990234375 2.5276e-15
2281.39990234375 2.5416e-15
2281.89990234375 2.6339e-15
2282.39990234375 2.3282e-15
2282.89990234375 2.3094e-15
2283.5 2.387e-15
2284.0 2.4486e-15
2284.5 2.5769e-15
2285.0 2.5405e-15
2285.5 2.163e-15
2286.0 2.0962e-15
2286.5 1.8897e-15
2287.10009765625 1.8094e-15
2287.60009765625 2.0748e-15
2288.10009765625 2.3415e-15
2288.60009765625 2.0835e-15
2289.10009765625 1.9539e-15
2289.60009765625 1.9455e-15
2290.10009765625 1.9914e-15
2290.699951171875 1.8537e-15
2291.199951171875 1.9582e-15
2291.699951171875 2.021e-15
2292.199951171875 2.1084e-15
2292.699951171875 2.1198e-15
2293.199951171875 2.3641e-15
2293.699951171875 2.2826e-15
2294.199951171875 2.3377e-15
2294.800048828125 2.3461e-15
2295.300048828125 2.371e-15
2295.800048828125 1.9523e-15
2296.300048828125 1.8503e-15
2296.800048828125 1.597e-15
2297.300048828125 1.4678e-15
2297.800048828125 1.4865e-15
2298.39990234375 1.6709e-15
2298.89990234375 1.7156e-15
2299.39990234375 1.7926e-15
2299.89990234375 1.7107e-15
2300.39990234375 1.8885e-15
2300.89990234375 2.1736e-15
2301.39990234375 2.0163e-15
2302.0 2.0534e-15
2302.5 2.046e-15
2303.0 1.947e-15
2303.5 2.1021e-15
2304.0 2.4671e-15
2304.5 2.8037e-15
2305.0 3.0273e-15
2305.5 3.0471e-15
2306.10009765625 3.1656e-15
2306.60009765625 2.8706e-15
2307.10009765625 2.6689e-15
2307.60009765625 2.3703e-15
2308.10009765625 2.2345e-15
2308.60009765625 2.1678e-15
2309.10009765625 1.749e-15
2309.699951171875 1.8041e-15
2310.199951171875 1.6209e-15
2310.699951171875 1.4571e-15
2311.199951171875 1.3921e-15
2311.699951171875 1.509e-15
2312.199951171875 1.5053e-15
2312.699951171875 1.655e-15
2313.300048828125 1.699e-15
2313.800048828125 2.097e-15
2314.300048828125 2.4374e-15
2314.800048828125 2.6295e-15
2315.300048828125 2.412e-15
2315.800048828125 2.1804e-15
2316.300048828125 2.4447e-15
2316.800048828125 2.2565e-15
2317.39990234375 2.5129e-15
2317.89990234375 2.1835e-15
2318.39990234375 2.2476e-15
2318.89990234375 1.9779e-15
2319.39990234375 1.753e-15
2319.89990234375 1.7694e-15
2320.39990234375 1.6808e-15
2321.0 1.962e-15
2321.5 2.2726e-15
2322.0 2.6352e-15
2322.5 2.9639e-15
2323.0 2.9093e-15
2323.5 3e-15
2324.0 2.4477e-15
2324.5 2.2463e-15
2325.10009765625 1.8033e-15
2325.60009765625 1.681e-15
2326.10009765625 1.6245e-15
2326.60009765625 1.6176e-15
2327.10009765625 1.8042e-15
2327.60009765625 1.9604e-15
2328.10009765625 2.1669e-15
2328.699951171875 2.1144e-15
2329.199951171875 2.0916e-15
2329.699951171875 1.9943e-15
2330.199951171875 2.0118e-15
2330.699951171875 1.5429e-15
2331.199951171875 1.5189e-15
2331.699951171875 1.4424e-15
2332.199951171875 1.5398e-15
2332.800048828125 1.6625e-15
2333.300048828125 1.7558e-15
2333.800048828125 1.9408e-15
2334.300048828125 2.0122e-15
2334.800048828125 2.1586e-15
2335.300048828125 2.1931e-15
2335.800048828125 2.0333e-15
2336.39990234375 1.5849e-15
2336.89990234375 1.4543e-15
2337.39990234375 1.3421e-15
2337.89990234375 1.3764e-15
2338.39990234375 1.3383e-15
2338.89990234375 1.4096e-15
2339.39990234375 1.5275e-15
2339.89990234375 1.5937e-15
2340.5 1.8229e-15
2341.0 1.891e-15
2341.5 1.9163e-15
2342.0 1.5693e-15
2342.5 1.2459e-15
2343.0 9.7259e-16
2343.5 9.9652e-16
2344.0 9.9331e-16
2344.60009765625 1.151e-15
2345.10009765625 1.235e-15
2345.60009765625 1.2285e-15
2346.10009765625 1.2862e-15
2346.60009765625 1.2952e-15
2347.10009765625 1.3592e-15
2347.60009765625 1.2161e-15
2348.199951171875 1.2777e-15
2348.699951171875 1.5667e-15
2349.199951171875 1.8461e-15
2349.699951171875 2.0632e-15
2350.199951171875 1.9796e-15
2350.699951171875 2.1075e-15
2351.199951171875 2.306e-15
2351.699951171875 2.3211e-15
2352.300048828125 2.3917e-15
2352.800048828125 2.3682e-15
2353.300048828125 2.3439e-15
2353.800048828125 2.0623e-15
2354.300048828125 2.0925e-15
2354.800048828125 2.1629e-15
2355.300048828125 2.3441e-15
2355.89990234375 2.4969e-15
2356.39990234375 2.4607e-15
2356.89990234375 2.3316e-15
2357.39990234375 2.2354e-15
