wave flux
2222.3 4.5989e-16
2222.8 4.9526e-16
2223.3 5.9197e-16
2223.8 4.3126e-16
2224.3 4.2873e-16
2224.9 4.5206e-16
2225.4 3.855e-16
2225.9 4.2145e-16
2226.4 3.2468e-16
2226.9 4.2716e-16
2227.4 4.0723e-16
2227.9 3.5104e-16
2228.5 4.1099e-16
2229.0 3.8161e-16
2229.5 4.1694e-16
2230.0 4.1258e-16
2230.5 4.7764e-16
2231.0 4.0922e-16
2231.5 4.2301e-16
2232.1 4.2388e-16
2232.6 4.7204e-16
2233.1 5.7561e-16
2233.6 5.4364e-16
2234.1 5.6538e-16
2234.6 6.3066e-16
2235.1 6.1432e-16
2235.7 6.1587e-16
2236.2 6.6174e-16
2236.7 5.8708e-16
2237.2 5.7757e-16
2237.7 5.6766e-16
2238.2 5.3234e-16
2238.7 4.56e-16
2239.3 4.9659e-16
2239.8 5.9014e-16
2240.3 5.7582e-16
2240.8 4.8347e-16
2241.3 4.3082e-16
2241.8 4.4947e-16
2242.3 4.6337e-16
2242.9 3.4772e-16
2243.4 3.9256e-16
2243.9 4.6344e-16
2244.4 4.2172e-16
2244.9 3.6536e-16
2245.4 4.6332e-16
2245.9 5.7251e-16
2246.5 5.1091e-16
2247.0 5.583e-16
2247.5 6.1791e-16
2248.0 5.0422e-16
2248.5 5.2129e-16
2249.0 5.0324e-16
2249.5 4.9085e-16
2250.1 4.9439e-16
2250.6 4.6357e-16
2251.1 4.4583e-16
2251.6 4.5217e-16
2252.1 5.6321e-16
2252.6 3.9609e-16
2253.1 3.9236e-16
2253.7 4.3993e-16
2254.2 4.1385e-16
2254.7 4.4806e-16
2255.2 3.7237e-16
2255.7 4.5975e-16
2256.2 3.6448e-16
2256.7 3.6249e-16
2257.3 4.2511e-16
2257.8 5.3815e-16
2258.3 4.1826e-16
2258.8 4.6071e-16
2259.3 4.5027e-16
2259.8 4.3992e-16
2260.3 3.8901e-16
2260.9 3.7159e-16
2261.4 3.2979e-16
2261.9 3.7462e-16
2262.4 4.2856e-16
2262.9 4.6326e-16
2263.4 3.8378e-16
2263.9 3.9852e-16
2264.4 3.6163e-16
2265.0 3.1056e-16
2265.5 3.5104e-16
2266.0 2.4437e-16
2266.5 3.0674e-16
2267.0 2.6515e-16
2267.5 3.4041e-16
2268.0 2.6989e-16
2268.6 2.6586e-16
2269.1 2.6989e-16
2269.6 2.8721e-16
2270.1 2.3518e-16
2270.6 2.7461e-16
2271.1 3.1165e-16
2271.6 2.4125e-16
2272.2 2.9746e-16
2272.7 3.1009e-16
2273.2 3.4311e-16
2273.7 2.8341e-16
2274.2 2.7083e-16
2274.7 2.7832e-16
2275.2 2.9535e-16
2275.8 3.6451e-16
2276.3 2.6429e-16
2276.8 3.3811e-16
2277.3 2.9967e-16
2277.8 3.528e-16
2278.3 3.9201e-16
2278.8 3.8668e-16
2279.4 3.1394e-16
2279.9 3.5507e-16
2280.4 3.3906e-16
2280.9 3.9679e-16
2281.4 4.1492e-16
2281.9 5.4744e-16
2282.4 4.0424e-16
2282.9 5.6798e-16
2283.5 4.8798e-16
2284.0 4.1521e-16
2284.5 4.0258e-16
2285.0 5.6027e-16
2285.5 5.0886e-16
2286.0 5.1086e-16
2286.5 4.7545e-16
2287.1 4.3218e-16
2287.6 4.2114e-16
2288.1 3.6533e-16
2288.6 3.92e-16
2289.1 3.5325e-16
2289.6 3.6955e-16
2290.1 4.0482e-16
2290.7 3.429e-16
2291.2 3.9461e-16
2291.7 4.0895e-16
2292.2 4.0851e-16
2292.7 4.2333e-16
2293.2 4.3054e-16
2293.7 3.3538e-16
