wave flux
2222.300048828125 4.5989e-16
2222.800048828125 4.9526e-16
2223.300048828125 5.9197e-16
2223.800048828125 4.3126e-16
2224.300048828125 4.2873e-16
2224.89990234375 4.5206e-16
2225.39990234375 3.855e-16
2225.89990234375 4.2145e-16
2226.39990234375 3.2468e-16
2226.89990234375 4.2716e-16
2227.39990234375 4.0723e-16
2227.89990234375 3.5104e-16
2228.5 4.1099e-16
2229.0 3.8161e-16
2229.5 4.1694e-16
2230.0 4.1258e-16
2230.5 4.7764e-16
2231.0 4.0922e-16
2231.5 4.2301e-16
2232.10009765625 4.2388e-16
2232.60009765625 4.7204e-16
2233.10009765625 5.7561e-16
2233.60009765625 5.4364e-16
2234.10009765625 5.6538e-16
2234.60009765625 6.3066e-16
2235.10009765625 6.1432e-16
2235.699951171875 6.1587e-16
2236.199951171875 6.6174e-16
2236.699951171875 5.8708e-16
2237.199951171875 5.7757e-16
2237.699951171875 5.6766e-16
2238.199951171875 5.3234e-16
2238.699951171875 4.56e-16
2239.300048828125 4.9659e-16
2239.800048828125 5.9014e-16
2240.300048828125 5.7582e-16
2240.800048828125 4.8347e-16
2241.300048828125 4.3082e-16
2241.800048828125 4.4947e-16
2242.300048828125 4.6337e-16
2242.89990234375 3.4772e-16
2243.39990234375 3.9256e-16
2243.89990234375 4.6344e-16
2244.39990234375 4.2172e-16
2244.89990234375 3.6536e-16
2245.39990234375 4.6332e-16
2245.89990234375 5.7251e-16
2246.5 5.1091e-16
2247.0 5.583e-16
2247.5 6.1791e-16
2248.0 5.0422e-16
2248.5 5.2129e-16
2249.0 5.0324e-16
2249.5 4.9085e-16
2250.10009765625 4.9439e-16
2250.60009765625 4.6357e-16
2251.10009765625 4.4583e-16
2251.60009765625 4.5217e-16
2252.10009765625 5.6321e-16
2252.60009765625 3.9609e-16
2253.10009765625 3.9236e-16
2253.699951171875 4.3993e-16
2254.199951171875 4.1385e-16
2254.699951171875 4.4806e-16
2255.199951171875 3.7237e-16
2255.699951171875 4.5975e-16
2256.199951171875 3.6448e-16
2256.699951171875 3.6249e-16
2257.300048828125 4.2511e-16
2257.800048828125 5.3815e-16
2258.300048828125 4.1826e-16
2258.800048828125 4.6071e-16
2259.300048828125 4.5027e-16
2259.800048828125 4.3992e-16
2260.300048828125 3.8901e-16
2260.89990234375 3.7159e-16
2261.39990234375 3.2979e-16
2261.89990234375 3.7462e-16
2262.39990234375 4.2856e-16
2262.89990234375 4.6326e-16
2263.39990234375 3.8378e-16
2263.89990234375 3.9852e-16
2264.39990234375 3.6163e-16
2265.0 3.1056e-16
2265.5 3.5104e-16
2266.0 2.4437e-16
2266.5 3.0674e-16
2267.0 2.6515e-16
2267.5 3.4041e-16
2268.0 2.6989e-16
2268.60009765625 2.6586e-16
2269.10009765625 2.6989e-16
2269.60009765625 2.8721e-16
2270.10009765625 2.3518e-16
2270.60009765625 2.7461e-16
2271.10009765625 3.1165e-16
2271.60009765625 2.4125e-16
2272.199951171875 2.9746e-16
2272.699951171875 3.1009e-16
2273.199951171875 3.4311e-16
2273.699951171875 2.8341e-16
2274.199951171875 2.7083e-16
2274.699951171875 2.7832e-16
2275.199951171875 2.9535e-16
2275.800048828125 3.6451e-16
2276.300048828125 2.6429e-16
2276.800048828125 3.3811e-16
2277.300048828125 2.9967e-16
2277.800048828125 3.528e-16
2278.300048828125 3.9201e-16
2278.800048828125 3.8668e-16
2279.39990234375 3.1394e-16
2279.89990234375 3.5507e-16
2280.39990234375 3.3906e-16
2280.89990234375 3.9679e-16
2281.39990234375 4.1492e-16
2281.89990234375 5.4744e-16
2282.39990234375 4.0424e-16
2282.89990234375 5.6798e-16
2283.5 4.8798e-16
2284.0 4.1521e-16
