wave flux
2222.3 1.0416e-15
2222.8 1.0839e-15
2223.3 9.2586e-16
2223.8 9.0911e-16
2224.3 9.475e-16
2224.9 9.8965e-16
2225.4 1.0352e-15
2225.9 1.1291e-15
2226.4 9.7919e-16
2226.9 9.2959e-16
2227.4 9.3721e-16
2227.9 8.6603e-16
2228.5 8.8278e-16
2229.0 1.1093e-15
2229.5 9.5246e-16
2230.0 1.0959e-15
2230.5 1.0035e-15
2231.0 1.0466e-15
2231.5 1.1191e-15
2232.1 1.0406e-15
2232.6 1.2475e-15
2233.1 1.441e-15
2233.6 1.4209e-15
2234.1 1.527e-15
2234.6 1.4574e-15
2235.1 1.422e-15
2235.7 1.457e-15
2236.2 1.3538e-15
2236.7 1.5687e-15
2237.2 1.4058e-15
2237.7 1.1799e-15
2238.2 1.4284e-15
2238.7 1.2236e-15
2239.3 1.3122e-15
2239.8 1.387e-15
2240.3 1.4248e-15
2240.8 1.4452e-15
2241.3 1.2517e-15
2241.8 1.3233e-15
2242.3 1.0937e-15
2242.9 1.0842e-15
2243.4 1.1359e-15
2243.9 1.0956e-15
2244.4 1.0906e-15
2244.9 1.0317e-15
2245.4 1.1753e-15
2245.9 1.2655e-15
2246.5 1.2363e-15
2247.0 1.3633e-15
2247.5 1.305e-15
2248.0 1.3206e-15
2248.5 1.2849e-15
2249.0 1.1852e-15
2249.5 1.0207e-15
2250.1 1.0654e-15
2250.6 9.7835e-16
2251.1 1.0716e-15
2251.6 1.0652e-15
2252.1 1.2093e-15
2252.6 1.1003e-15
2253.1 1.1014e-15
2253.7 1.1117e-15
2254.2 1.0485e-15
2254.7 1.0325e-15
2255.2 1.0755e-15
2255.7 1.1473e-15
2256.2 1.0076e-15
2256.7 1.0055e-15
2257.3 1.1386e-15
2257.8 1.0773e-15
2258.3 1.0775e-15
2258.8 1.049e-15
2259.3 1.0524e-15
2259.8 1.0258e-15
2260.3 8.9468e-16
2260.9 9.0518e-16
2261.4 9.2267e-16
2261.9 1.0208e-15
2262.4 9.5404e-16
2262.9 8.2211e-16
2263.4 8.9154e-16
2263.9 7.3401e-16
2264.4 7.5316e-16
2265.0 7.3054e-16
2265.5 7.3954e-16
2266.0 6.854e-16
2266.5 6.8585e-16
2267.0 6.8634e-16
2267.5 7.1047e-16
2268.0 7.2717e-16
2268.6 6.346e-16
2269.1 6.0172e-16
2269.6 6.7711e-16
2270.1 6.0021e-16
2270.6 6.7294e-16
2271.1 5.5525e-16
2271.6 6.2374e-16
2272.2 6.7959e-16
2272.7 7.3177e-16
2273.2 7.9185e-16
2273.7 6.7191e-16
2274.2 8.4723e-16
2274.7 8.7168e-16
2275.2 7.2154e-16
2275.8 7.7539e-16
2276.3 7.8393e-16
2276.8 8.2942e-16
2277.3 8.9584e-16
2277.8 9.618e-16
2278.3 8.7401e-16
2278.8 1.0158e-15
2279.4 9.5871e-16
2279.9 1.0189e-15
2280.4 1.0085e-15
2280.9 1.037e-15
2281.4 1.3016e-15
2281.9 1.363e-15
2282.4 1.2587e-15
2282.9 1.3143e-15
2283.5 1.1624e-15
2284.0 1.1302e-15
2284.5 1.1641e-15
2285.0 1.2196e-15
2285.5 1.2534e-15
2286.0 1.2423e-15
2286.5 1.0102e-15
2287.1 9.5536e-16
2287.6 9.2212e-16
2288.1 9.7296e-16
2288.6 9.6346e-16
2289.1 1.0386e-15
2289.6 9.8064e-16
2290.1 7.955e-16
2290.7 8.56e-16
2291.2 8.8728e-16
2291.7 9.3897e-16
2292.2 8.711e-16
2292.7 1.0153e-15
2293.2 1.0581e-15
2293.7 1.1819e-15
2294.2 1.0108e-15
2294.8 1.0857e-15
2295.3 1.173e-15
2295.8 1.1191e-15
2296.3 1.0881e-15
2296.8 8.7066e-16
2297.3 8.1037e-16
2297.8 6.5329e-16
2298.4 6.2795e-16
2298.9 6.7461e-16
2299.4 6.8242e-16
2299.9 6.7372e-16
2300.4 8.0061e-16
2300.9 9.1522e-16
2301.4 8.0861e-16
2302.0 8.9334e-16
2302.5 8.7082e-16
2303.0 9.0552e-16
2303.5 9.1912e-16
2304.0 9.03e-16
2304.5 1.0928e-15
2305.0 1.2086e-15
2305.5 1.4572e-15
2306.1 1.3097e-15
2306.6 1.512e-15
2307.1 1.3167e-15
2307.6 1.2621e-15
2308.1 1.1737e-15
2308.6 1.0936e-15
2309.1 9.4304e-16
2309.7 9.206e-16
2310.2 8.1344e-16
2310.7 7.5797e-16
2311.2 6.3485e-16
2311.7 6.8904e-16
2312.2 6.6864e-16
2312.7 6.9796e-16
2313.3 6.0778e-16
2313.8 6.857e-16
2314.3 9.1491e-16
2314.8 1.0945e-15
2315.3 1.1185e-15
2315.8 1.1389e-15
2316.3 1.0063e-15
2316.8 9.9373e-16
2317.4 9.9952e-16
2317.9 9.8479e-16
2318.4 1.118e-15
2318.9 1.0022e-15
2319.4 9.0148e-16
2319.9 7.8744e-16
2320.4 7.1841e-16
2321.0 6.9305e-16
2321.5 8.7582e-16
2322.0 1.0328e-15
2322.5 1.1303e-15
2323.0 1.2909e-15
2323.5 1.4184e-15
2324.0 1.4411e-15
2324.5 1.3097e-15
2325.1 1.1079e-15
2325.6 8.0263e-16
2326.1 8.2071e-16
2326.6 7.0356e-16
2327.1 7.4411e-16
2327.6 7.3485e-16
2328.1 8.7581e-16
2328.7 1.0699e-15
2329.2 1.0835e-15
2329.7 1.0372e-15
2330.2 1.0722e-15
2330.7 8.5694e-16
2331.2 7.4634e-16
2331.7 8.1751e-16
2332.2 7.031e-16
2332.8 5.677e-16
2333.3 6.9826e-16
2333.8 7.67e-16
2334.3 8.485e-16
2334.8 8.8797e-16
2335.3 9.8317e-16
2335.8 1.1252e-15
2336.4 8.9831e-16
2336.9 8.2494e-16
2337.4 7.2778e-16
2337.9 6.1864e-16
2338.4 4.9633e-16
2338.9 6.3061e-16
2339.4 5.9875e-16
2339.9 6.7105e-16
2340.5 8.2963e-16
2341.0 8.2955e-16
2341.5 8.8887e-16
2342.0 9.4641e-16
2342.5 8.0378e-16
2343.0 6.063e-16
2343.5 4.7026e-16
2344.0 3.8412e-16
2344.6 4.3456e-16
2345.1 4.6818e-16
2345.6 4.8135e-16
2346.1 5.1023e-16
2346.6 5.8747e-16
2347.1 6.0536e-16
2347.6 5.539e-16
2348.2 5.6623e-16
2348.7 5.5717e-16
2349.2 7.1441e-16
2349.7 7.807e-16
2350.2 9.0638e-16
2350.7 1.0417e-15
2351.2 1.087e-15
2351.7 1.2511e-15
2352.3 1.1971e-15
2352.8 1.131e-15
2353.3 1.1828e-15
2353.8 1.1231e-15
2354.3 9.2882e-16
2354.8 9.2552e-16
2355.3 1.0473e-15
2355.9 1.0439e-15
2356.4 1.1029e-15
2356.9 1.1917e-15
2357.4 1.1944e-15
2357.9 1.089e-15
2358.4 9.7829e-16
2358.9 8.238e-16
2359.4 6.8474e-16
2360.0 5.5381e-16
2360.5 5.977e-16
2361.0 7.0908e-16
2361.5 7.5047e-16
2362.0 8.5139e-16
2362.5 9.4216e-16
2363.0 1.0975e-15
2363.5 1.1177e-15
2364.1 8.7303e-16
