wave flux
1140.6336669921875 1.158e-15
1141.217407 1.1079e-15
1141.801147 6.4076e-16
1142.384888 2.0819e-16
1142.96875 0.0
1143.55249 1.2165e-16
1144.13623 6.7584e-16
1144.719971 5.6268e-17
1145.303711 1.5356e-16
1145.887573 2.1284e-16
1146.471313 2.4202e-16
1147.055054 4.6439e-16
1147.638794 5.2374e-16
1148.222534 4.1676e-16
1148.806274 1.0438e-16
1149.390015 3.3771e-16
1149.973755 5.5004e-16
1150.557495 3.9184e-16
1151.141357 1.1942e-16
1151.725098 2.9138e-16
1152.308838 2.595e-16
1152.892578 3.6091e-16
1153.476318 2.1269e-16
1154.060059 2.733e-16
1154.643799 3.6736e-16
1155.227539 2.454e-16
1155.811279 1.8934e-16
1156.39502 2.7343e-16
1156.978638 2.8836e-16
1157.562378 3.0197e-16
1158.146118 2.2241e-16
1158.729858 3.0518e-16
1159.313599 2.3611e-16
1159.897339 2.494e-16
1160.481079 3.0165e-16
1161.064819 2.9631e-16
1161.64856 2.9483e-16
1162.232178 3.5418e-16
1162.815918 2.8945e-16
1163.399658 2.5949e-16
1163.983398 2.2816e-16
1164.567139 2.4532e-16
1165.150757 2.6971e-16
1165.734497 1.2848e-16
1166.318237 1.8295e-16
1166.901978 1.8531e-16
1167.485596 1.7575e-16
1168.069336 1.9091e-16
1168.653076 1.6734e-16
1169.236694 1.0544e-16
1169.820435 2.0876e-16
1170.404175 2.2027e-16
1170.987793 2.751e-16
1171.571533 1.7031e-16
1172.155273 2.123e-16
1172.738892 1.6756e-16
1173.322632 1.2122e-16
1173.90625 1.2555e-16
1174.48999 2.1018e-16
1175.07373 1.3371e-16
1175.657349 2.4453e-16
1176.241089 1.5836e-16
1176.824707 7.1736e-17
1177.408447 1.6384e-16
1177.992065 9.8387e-17
1178.575806 1.1898e-16
1179.159424 1.9622e-16
1179.743164 1.441e-16
1180.326782 1.9984e-16
1180.910522 1.3321e-16
1181.494141 1.6208e-16
1182.077759 1.5552e-16
1182.661499 1.4425e-16
1183.245117 1.3738e-16
1183.828857 1.8107e-16
1184.412476 1.9246e-16
1184.996094 1.1964e-16
1185.579834 4.8869e-18
1186.163452 3.8711e-17
1186.74707 5.639e-17
1187.330811 2.3336e-17
1187.914429 1.0307e-17
1188.498047 5.8662e-17
1189.081665 3.1436e-17
1189.665405 1.5471e-17
1190.249023 1.1613e-16
1190.832642 0.0
1191.41626 3.977e-17
1192.0 1.2259e-17
1192.583618 3.2247e-16
1193.167236 1.9337e-16
1193.750854 1.0056e-16
1194.334473 8.7078e-19
1194.918091 0.0
1195.501831 0.0
1196.085449 7.064e-17
1196.669067 0.0
1197.252686 0.0
1197.836304 2.5376e-16
1198.419922 0.0
1199.00354 0.0
1199.587158 1.4343e-16
1200.170776 0.0
1200.754395 0.0
1201.338013 2.4197e-16
1201.921631 0.0
1202.505249 0.0
1203.088867 1.4438e-16
1203.672485 3.6584e-16
1204.256104 3.6433e-16
