wave,flux
2900.982177734375,-2.3083e-15
2903.727295,1.1642e-15
2906.472656,-4.0586e-16
2909.217773,-9.2795e-16
2911.962891,2.6503e-15
2914.708252,-4.5945e-16
2917.453613,3.1891e-16
2920.19873,2.4329e-16
2922.944092,8.9483e-16
2925.689453,-1.0911e-15
2928.434814,7.0948e-16
2931.180176,-6.3251e-16
2933.925537,9.2381e-16
2936.670898,5.5217e-16
2939.416504,-2.2005e-16
2942.161865,6.4944e-16
2944.907471,4.1836e-16
2947.652832,-1.4439e-16
2950.398438,4.9611e-16
2953.144043,2.799e-17
2955.889648,-1.2566e-17
2958.635254,3.9569e-16
2961.380859,8.8957e-17
2964.126465,-1.4751e-16
2966.87207,2.8207e-16
2969.617676,1.8435e-17
2972.363525,3.3369e-16
2975.109131,3.5552e-16
2977.85498,1.7926e-16
2980.600586,4.6515e-16
2983.346436,3.3663e-16
2986.092285,1.5596e-16
2988.838135,2.0226e-16
2991.583984,2.4766e-16
2994.329834,2.265e-16
2997.075684,3.8064e-16
2999.821533,7.5532e-17
3002.567627,4.6839e-17
3005.313477,3.3265e-16
3008.059326,3.5492e-16
3010.80542,5.0736e-16
3013.551514,3.3113e-16
3016.297363,2.5449e-16
3019.043457,2.4781e-16
3021.789551,1.9634e-16
3024.535645,3.2077e-16
3027.281738,2.844e-16
3030.027832,3.9456e-16
3032.773926,4.0594e-16
3035.520264,4.8188e-16
3038.266357,2.5753e-16
3041.012451,1.7096e-16
3043.758789,3.1623e-16
3046.505127,2.6366e-16
3049.251221,3.5168e-16
3051.997559,3.4597e-16
3054.743896,2.5304e-16
3057.490234,2.971e-16
3060.236572,3.5454e-16
3062.98291,2.7155e-16
3065.729248,4.2841e-16
3068.475586,2.6938e-16
3071.221924,1.6395e-16
3073.968506,3.9764e-16
3076.714844,3.7293e-16
3079.461426,3.5067e-16
3082.207764,6.1355e-16
3084.954346,2.1475e-16
3087.700928,2.4705e-16
3090.447266,3.5565e-16
3093.193848,3.124e-16
3095.94043,2.3495e-16
3098.687012,2.0483e-16
3101.433594,2.0314e-16
3104.18042,2.9908e-16
3106.927002,4.0469e-16
3109.673584,3.7514e-16
3112.42041,4.38e-16
3115.166992,5.209e-16
3117.913818,2.8348e-16
3120.6604,3.1148e-16
3123.407227,2.964e-16
3126.154053,2.0895e-16
3128.900635,3.0412e-16
3131.647461,2.0757e-16
3134.394287,1.9909e-16
3137.141113,1.1887e-16
3139.887939,2.099e-16
3142.63501,2.0382e-16
3145.381836,2.3683e-16
3148.128662,1.9865e-16
3150.875488,4.2266e-16
3153.622559,3.0489e-16
3156.369385,2.6055e-16
3159.116455,3.5404e-16
3161.863525,2.7349e-16
3164.610352,2.8842e-16
3167.357422,3.8667e-16
3170.104492,2.5326e-16
3172.851562,2.5896e-16
3175.598633,4.8712e-16
3178.345703,2.8077e-16
3181.092773,2.5091e-16
3183.839844,2.8137e-16
3186.586914,2.4386e-16
3189.334229,3.9226e-16
3192.081299,2.6899e-16
3194.828369,2.3422e-16
3197.575684,4.3792e-16
3200.322754,3.0978e-16
3203.070068,3.4499e-16
3205.817383,4.7969e-16
3208.564697,3.6448e-16
3211.311768,2.7868e-16
3214.059082,3.3466e-16
3216.806396,2.666e-16
3219.553711,2.4963e-16
3222.301025,4.1479e-16
3225.04834,3.6131e-16
3227.795654,3.3825e-16
3230.543213,3.0372e-16
3233.290527,2.9026e-16
3236.037842,3.8214e-16
3238.7854,3.0301e-16
3241.532715,3.3769e-16
3244.280273,4.5962e-16
3247.027588,2.3812e-16
3249.775146,3.7699e-16
3252.522705,3.4713e-16
3255.270264,3.1358e-16
3258.017578,3.4542e-16
3260.765137,4.3741e-16
3263.512695,2.4989e-16
