wave flux
2902.00048828125 9.9047e-15
2904.744873 1.1377e-14
2907.489258 1.3397e-14
2910.233643 1.1973e-14
2912.978027 1.2683e-14
2915.722656 1.3152e-14
2918.467041 1.2139e-14
2921.21167 1.0862e-14
2923.956055 1.0875e-14
2926.700684 1.0249e-14
2929.445312 1.0905e-14
2932.189941 1.1593e-14
2934.93457 1.142e-14
2937.679199 1.1663e-14
2940.423828 1.1727e-14
2943.168701 1.1387e-14
2945.91333 1.1429e-14
2948.658203 1.1213e-14
2951.402832 1.1356e-14
2954.147705 1.1773e-14
2956.892578 1.1167e-14
2959.637451 1.1118e-14
2962.382324 1.1165e-14
2965.127197 1.1152e-14
2967.872314 1.1148e-14
2970.617188 1.1102e-14
2973.362061 1.1469e-14
2976.107178 1.1403e-14
2978.852295 1.1313e-14
2981.597168 1.1237e-14
2984.342285 1.1239e-14
2987.087402 1.0956e-14
2989.83252 1.1043e-14
2992.577637 1.1207e-14
2995.322998 1.1044e-14
2998.068115 1.1086e-14
3000.813232 1.0925e-14
3003.558594 1.1285e-14
3006.303955 1.1301e-14
3009.049072 1.1116e-14
3011.794434 1.0688e-14
3014.539795 1.064e-14
3017.285156 1.0773e-14
3020.030518 1.0971e-14
3022.775879 1.0891e-14
3025.521484 1.07e-14
3028.266846 1.0749e-14
3031.012451 1.0751e-14
3033.757812 1.0899e-14
3036.503418 1.06e-14
3039.249023 1.0378e-14
3041.994629 1.0554e-14
3044.740234 1.0681e-14
3047.48584 1.0515e-14
3050.231445 1.0391e-14
3052.977051 1.0214e-14
3055.722656 1.0137e-14
3058.468506 1.0402e-14
3061.214111 1.0465e-14
3063.959961 1.0441e-14
3066.705811 1.0145e-14
3069.451416 1.0248e-14
3072.197266 1.0316e-14
3074.943115 1.0286e-14
3077.688965 1.0282e-14
3080.434814 1.029e-14
3083.180908 1.0113e-14
3085.926758 9.9101e-15
3088.672607 1.0048e-14
3091.418701 9.9993e-15
3094.164551 9.9124e-15
3096.910645 9.8627e-15
3099.656738 9.7868e-15
3102.402832 1.0061e-14
3105.148926 9.866e-15
3107.89502 9.675e-15
3110.641113 9.7603e-15
3113.387207 9.8678e-15
3116.133301 9.7579e-15
3118.879639 9.7236e-15
3121.625732 9.6071e-15
3124.37207 9.6589e-15
3127.118164 9.7412e-15
3129.864502 9.6429e-15
3132.61084 9.7763e-15
3135.357178 9.7969e-15
3138.103516 9.7318e-15
3140.849854 9.7939e-15
3143.596191 9.4904e-15
3146.342529 9.6176e-15
3149.088867 9.3581e-15
