wave flux
2902.4052734375 1.8638e-16
2905.150146 0.0
2907.89502 1.0741e-15
2910.639893 0.0
2913.38501 6.5533e-16
2916.129883 2.1179e-16
2918.875 0.0
2921.619873 1.2354e-15
2924.36499 0.0
2927.110107 0.0
2929.855225 8.1724e-16
2932.600342 1.3383e-15
2935.345459 1.8066e-16
2938.090576 2.1631e-16
2940.835693 7.8179e-17
2943.581055 2.1785e-16
2946.326172 3.6977e-16
2949.071533 5.9078e-16
2951.81665 7.0923e-16
2954.562012 6.0198e-16
2957.307373 5.6886e-16
2960.05249 3.4584e-16
2962.797852 1.7281e-16
2965.543213 5.8785e-17
2968.288818 2.4482e-16
2971.03418 3.2136e-16
2973.779541 3.5393e-16
2976.524902 3.315e-16
2979.270508 4.1319e-16
2982.015869 1.3845e-16
2984.761475 4.2518e-16
2987.50708 3.4613e-16
2990.252441 1.3823e-16
2992.998047 9.0947e-17
2995.743652 3.5146e-16
2998.489258 4.4425e-16
3001.234863 3.5293e-16
3003.980713 3.1363e-16
3006.726318 3.5275e-16
3009.471924 3.912e-16
3012.217773 4.5484e-16
3014.963379 4.4562e-16
3017.709229 1.9309e-16
3020.455078 2.3994e-16
3023.200684 4.1507e-16
3025.946533 3.742e-16
3028.692383 3.7031e-16
3031.438232 5.3479e-16
3034.184082 3.5908e-16
3036.929932 3.096e-16
3039.676025 2.9498e-16
3042.421875 4.7831e-16
3045.167725 4.3358e-16
3047.913818 5.0918e-16
3050.659668 6.299e-16
3053.405762 4.5234e-16
3056.151855 3.605e-16
3058.897949 2.5105e-16
3061.643799 3.1276e-16
3064.389893 3.3917e-16
3067.135986 3.7767e-16
3069.882324 4.2936e-16
3072.628418 4.4474e-16
3075.374512 3.362e-16
3078.120605 5.2591e-16
3080.866943 4.5752e-16
3083.613037 3.7588e-16
3086.359375 4.0519e-16
3089.105469 2.796e-16
3091.851807 3.5521e-16
3094.598145 3.3985e-16
3097.344482 2.4858e-16
3100.09082 3.867e-16
3102.837158 4.3909e-16
3105.583496 5.4044e-16
3108.329834 5.8785e-16
3111.076172 5.8185e-16
3113.82251 5.8109e-16
3116.569092 4.9109e-16
3119.31543 3.7196e-16
3122.062012 4.1413e-16
3124.80835 3.9501e-16
3127.554932 4.2851e-16
3130.30127 5.538e-16
3133.047852 5.1024e-16
3135.794434 4.598e-16
3138.541016 5.4026e-16
3141.287598 5.723e-16
3144.03418 3.4653e-16
3146.780762 3.3737e-16
3149.527344 4.081e-16
3152.27417 4.1932e-16
3155.020752 4.239e-16
3157.767334 2.9197e-16
3160.51416 3.3562e-16
3163.260742 4.6927e-16
3166.007568 3.9958e-16
3168.754395 5.2483e-16
3171.500977 5.5386e-16
3174.247803 5.2201e-16
3176.994629 4.9549e-16
3179.741455 3.943e-16
3182.488281 4.5762e-16
3185.235107 4.603e-16
3187.981934 4.9975e-16
3190.72876 4.0011e-16
3193.475586 4.1371e-16
3196.222656 5.0456e-16
3198.969482 5.4249e-16
3201.716553 5.4452e-16
3204.463379 5.1465e-16
3207.210449 5.6251e-16
3209.957275 4.7163e-16
3212.704346 4.0586e-16
3215.451416 3.8886e-16
3218.198242 5.0559e-16
3220.945312 5.5584e-16
3223.692383 4.2101e-16
3226.439453 4.678e-16
3229.186523 3.6539e-16
3231.933594 4.0221e-16
3234.680908 4.7508e-16
3237.427979 5.1998e-16
3240.175049 4.5976e-16
3242.922363 5.552e-16
3245.669434 4.9312e-16
3248.416504 5.522e-16
3251.163818 5.2077e-16
3253.911133 5.2869e-16
3256.658203 6.9528e-16
3259.405518 6.7766e-16
3262.152832 5.7792e-16
3264.900146 6.267e-16
3267.647217 5.9125e-16
3270.394531 6.1626e-16
3273.141846 6.173e-16
3275.88916 6.3953e-16
3278.636475 6.2576e-16
3281.384033 7.56e-16
3284.131348 6.4241e-16
3286.878662 5.572e-16
3289.625977 6.077e-16
3292.373535 8.1471e-16
3295.12085 7.0293e-16
3297.868408 7.183e-16
3300.615723 7.3828e-16
3303.363281 7.1515e-16
3306.11084 6.6523e-16
3308.858154 6.5399e-16
3311.605713 7.8991e-16
3314.353271 8.1768e-16
3317.10083 6.838e-16
3319.848389 6.3143e-16
3322.595947 6.6063e-16
3325.343506 6.5308e-16
3328.091064 6.6779e-16
3330.838623 6.0888e-16
3333.586182 5.0495e-16
3336.33374 5.9875e-16
3339.081299 5.597e-16
3341.829102 5.5544e-16
3344.57666 6.2103e-16
3347.324463 6.5814e-16
3350.072021 5.7499e-16
3352.819824 7.9301e-16
3355.567383 5.8661e-16
3358.315186 6.3756e-16
3361.062744 5.2718e-16
3363.810547 4.6503e-16
3366.55835 5.8708e-16
3369.306152 5.895e-16
3372.053955 5.9013e-16
3374.801514 7.589e-16
3377.549316 8.0811e-16
3380.297119 6.9468e-16
3383.044922 6.5965e-16
3385.792969 6.2077e-16
3388.540771 7.244e-16
3391.288574 6.1144e-16
3394.036377 6.1937e-16
3396.78418 6.643e-16
3399.532227 7.8945e-16
3402.280029 7.0179e-16
3405.027832 7.541e-16
3407.775879 5.7364e-16
3410.523682 6.2391e-16
3413.271729 5.8551e-16
3416.019531 5.4594e-16
3418.767578 7.3179e-16
3421.515625 8.2263e-16
3424.263428 7.4161e-16
3427.011475 7.7725e-16
3429.759521 7.6475e-16
3432.507568 7.5043e-16
3435.255615 7.538e-16
3438.003662 6.5111e-16
3440.751465 4.2805e-16
3443.499512 5.3282e-16
3446.247559 5.5608e-16
3448.99585 6.4346e-16
3451.743896 6.5132e-16
3454.491943 6.783e-16
3457.23999 7.0795e-16
3459.988037 6.4475e-16
3462.736084 6.8563e-16
3465.484375 7.3454e-16
3468.232422 8.6362e-16
3470.980469 7.6834e-16
3473.72876 5.9382e-16
3476.476807 5.231e-16
3479.225098 6.5165e-16
3481.973145 6.8874e-16
3484.721436 6.6227e-16
3487.469727 7.1702e-16
3490.217773 6.0754e-16
3492.966064 6.4401e-16
3495.714355 6.8377e-16
3498.462402 7.047e-16
3501.210693 6.8177e-16
3503.958984 7.6504e-16
3506.707275 6.7564e-16
3509.455566 6.8495e-16
3512.203613 7.1998e-16
3514.951904 7.138e-16
3517.700195 7.4744e-16
3520.448486 6.9178e-16
3523.196777 5.844e-16
3525.945068 6.1566e-16
3528.693604 6.655e-16
3531.441895 7.1229e-16
3534.190186 7.7732e-16
3536.938477 7.1568e-16
3539.686768 7.8637e-16
3542.435303 7.771e-16
3545.183594 7.8681e-16
3547.931885 8.2118e-16
3550.68042 8.1342e-16
3553.428711 8.0864e-16
3556.177002 6.5621e-16
3558.925537 6.898e-16
3561.673828 7.5303e-16
3564.422363 8.7769e-16
3567.170654 6.3204e-16
3569.919189 5.9326e-16
3572.66748 5.7789e-16
3575.416016 6.0799e-16
3578.164551 6.7536e-16
3580.912842 5.617e-16
3583.661377 5.2215e-16
3586.409912 4.9658e-16
3589.158203 5.378e-16
3591.906738 7.2199e-16
3594.655273 6.9167e-16
3597.403809 7.5031e-16
3600.152344 7.0194e-16
3602.900879 6.8776e-16
3605.64917 6.3312e-16
3608.397705 6.1339e-16
3611.14624 6.4144e-16
3613.894775 6.6166e-16
3616.643311 6.876e-16
3619.391846 5.4391e-16
3622.140381 6.931e-16
3624.888916 7.5276e-16
3627.637451 7.8662e-16
3630.38623 6.0407e-16
3633.134766 6.2219e-16
3635.883301 6.3968e-16
3638.631836 6.7775e-16
3641.380371 7.8816e-16
3644.128906 7.4296e-16
3646.877686 6.9004e-16
3649.626221 6.4115e-16
3652.374756 6.7188e-16
3655.123291 7.8016e-16
3657.87207 8.2893e-16
3660.620605 7.9184e-16
3663.369141 8.4947e-16
3666.11792 9.0126e-16
3668.866455 8.6857e-16
3671.615234 8.5935e-16
3674.36377 8.4937e-16
3677.112549 8.3557e-16
3679.861084 7.3899e-16
3682.609619 7.8118e-16
3685.358398 7.3299e-16
3688.106934 7.9317e-16
3690.855713 8.2804e-16
3693.604492 8.5623e-16
3696.353027 8.6419e-16
3699.101807 8.1645e-16
3701.850342 7.9976e-16
3704.599121 7.5286e-16
3707.347656 7.3858e-16
3710.096436 7.5472e-16
3712.845215 9.2966e-16
3715.59375 9.2149e-16
3718.342529 8.2009e-16
3721.091309 6.623e-16
3723.840088 6.6486e-16
3726.588623 7.6201e-16
3729.337402 7.9512e-16
3732.086182 6.8892e-16
3734.834717 5.8621e-16
3737.583496 5.2086e-16
3740.332275 6.1729e-16
3743.081055 7.3286e-16
3745.829834 6.0245e-16
3748.578369 5.4616e-16
3751.327148 6.1712e-16
3754.075928 7.174e-16
3756.824707 7.8807e-16
3759.573486 6.9216e-16
3762.322266 7.2876e-16
3765.071045 7.1355e-16
3767.81958 7.9832e-16
3770.568359 7.6232e-16
3773.317139 8.375e-16
3776.065918 9.3171e-16
3778.814697 9.2019e-16
3781.563477 9.4968e-16
3784.312256 9.6212e-16
3787.061035 8.9503e-16
3789.809814 8.2172e-16
3792.558594 7.8972e-16
3795.307373 7.9652e-16
3798.056152 7.0118e-16
3800.804932 7.9339e-16
3803.553711 8.7315e-16
3806.30249 8.9302e-16
3809.05127 8.7504e-16
3811.800049 8.9485e-16
3814.548828 8.2873e-16
3817.297607 6.8627e-16
3820.046387 6.9665e-16
3822.795166 6.5303e-16
3825.543945 5.3765e-16
3828.292725 4.9865e-16
3831.041504 4.8462e-16
3833.790283 4.5296e-16
3836.539062 4.7855e-16
3839.287842 4.5893e-16
3842.036621 5.985e-16
3844.7854 7.9803e-16
3847.53418 8.211e-16
3850.282959 8.221e-16
3853.031738 8.4748e-16
3855.780518 8.0471e-16
3858.529297 7.5114e-16
3861.278076 6.3894e-16
3864.026855 7.8533e-16
3866.775635 8.2997e-16
3869.524414 8.5929e-16
3872.273193 7.6365e-16
3875.021973 7.4317e-16
3877.770752 7.4718e-16
3880.519531 7.3571e-16
3883.268311 6.7672e-16
3886.01709 7.5054e-16
3888.765869 6.3319e-16
3891.514648 6.8889e-16
3894.263428 8.2073e-16
3897.012207 8.2731e-16
3899.760986 7.9846e-16
3902.509766 8.1592e-16
3905.258545 7.2438e-16
3908.007324 8.2891e-16
3910.756104 9.2481e-16
3913.504883 9.3707e-16
3916.253662 8.8385e-16
3919.002441 7.824e-16
3921.751221 8.0148e-16
3924.5 7.3884e-16
3927.248779 5.8231e-16
3929.997559 4.4777e-16
3932.746338 3.2771e-16
3935.495117 2.9805e-16
3938.243896 4.2677e-16
3940.992676 5.5654e-16
3943.741455 6.5841e-16
3946.490234 7.3035e-16
3949.239014 7.7227e-16
3951.987549 8.5304e-16
3954.736328 8.6575e-16
3957.485107 8.2115e-16
3960.233887 7.8227e-16
3962.982666 6.8114e-16
3965.731445 4.8865e-16
3968.480225 3.594e-16
3971.22876 4.0306e-16
3973.977539 5.7423e-16
3976.726318 7.5495e-16
3979.475098 9.1822e-16
3982.223877 9.4504e-16
3984.972412 9.6615e-16
3987.721191 1.0428e-15
3990.469971 1.0836e-15
3993.21875 1.0547e-15
3995.967285 1.067e-15
3998.716064 1.0721e-15
4001.464844 1.1223e-15
4004.213379 1.0212e-15
4006.962158 1.0176e-15
4009.710938 1.1544e-15
4012.459473 1.1997e-15
4015.208252 1.1288e-15
4017.957031 1.0949e-15
4020.705566 1.1174e-15
4023.454346 1.1406e-15
4026.202881 1.1614e-15
4028.95166 1.1429e-15
4031.700195 1.0621e-15
4034.448975 1.0212e-15
4037.19751 1.1507e-15
4039.946289 1.1819e-15
4042.694824 1.1986e-15
4045.443604 1.0291e-15
4048.192139 1.023e-15
4050.940918 1.1069e-15
4053.689453 1.1065e-15
4056.437988 1.1131e-15
4059.186768 1.0479e-15
4061.935303 1.0597e-15
4064.683838 1.0078e-15
4067.432617 1.0746e-15
4070.181152 1.1534e-15
4072.929688 1.0833e-15
4075.678223 1.1333e-15
4078.427002 1.0032e-15
4081.175537 1.166e-15
4083.924072 1.1196e-15
4086.672607 1.1222e-15
4089.421143 1.2071e-15
4092.169678 1.1877e-15
4094.918213 1.1904e-15
4097.666992 1.0991e-15
4100.415527 1.0136e-15
4103.164062 9.4356e-16
4105.912598 1.0733e-15
4108.661133 1.1264e-15
4111.409668 1.2102e-15
4114.158203 1.2097e-15
4116.906738 1.224e-15
4119.655273 1.1603e-15
4122.40332 1.2301e-15
4125.151855 1.2e-15
4127.900391 1.1654e-15
4130.648926 1.15e-15
4133.397461 1.1245e-15
4136.145996 1.1863e-15
4138.894531 1.2264e-15
4141.643066 1.2439e-15
4144.391113 1.1125e-15
4147.139648 1.1969e-15
4149.888184 1.2047e-15
4152.636719 1.2326e-15
4155.384766 1.1244e-15
4158.133301 1.1626e-15
4160.881836 1.2148e-15
4163.630371 1.2053e-15
4166.378418 1.2205e-15
4169.126953 1.1601e-15
4171.875488 1.1246e-15
4174.623535 1.0951e-15
4177.37207 1.1485e-15
4180.120605 1.1492e-15
4182.868652 1.1777e-15
4185.617188 1.1162e-15
4188.365234 1.0425e-15
