wave,flux
1195.0,0.008861501
1205.0,0.06945
1215.0,0.6080999
1225.0,0.1437
1235.0,0.0062695
1245.0,0.0040755
1255.0,0.003378
1265.0,0.0041625
1275.0,0.002415
1285.0,0.0019545
1295.0,0.004668
1305.0,0.01381
1315.0,0.004481
1325.0,0.0046495
1335.0,0.019305
1345.0,0.005063
1355.0,0.0041965
1365.0,0.0034325
1375.0,0.003226
1385.0,0.0044945
1395.0,0.008899
1405.0,0.0068195
1415.0,0.0046125
1425.0,0.005121
1435.0,0.005579
1445.0,0.0055705
1455.0,0.0060395
1465.0,0.0076935
1475.0,0.0091945
1485.0,0.008851
1495.0,0.008617001
1505.0,0.009397
1515.0,0.0100065
1525.0,0.012685
1535.0,0.014125
1545.0,0.022625
1555.0,0.023435
1565.0,0.01982
1575.0,0.018435
1585.0,0.017945
1595.0,0.01871
1605.0,0.0207
1615.0,0.023815
1625.0,0.02703
1635.0,0.030875
1645.0,0.032145
1655.0,0.04616
1665.0,0.04274
1675.0,0.041415
1685.0,0.048405
1695.0,0.06239
1705.0,0.070175
1715.0,0.073305
1725.0,0.0772
1735.0,0.081255
1745.0,0.096355
1755.0,0.1147
1765.0,0.1299
1775.0,0.1497
1785.0,0.1646
1795.0,0.1685
1805.0,0.19605
1815.0,0.2399
1825.0,0.23965
1835.0,0.2392
1845.0,0.21935
1855.0,0.24535
1865.0,0.287
1875.0,0.3198
1885.0,0.34945
1895.0,0.37935
1905.0,0.39925
1915.0,0.4422
1925.0,0.43775
1935.0,0.4032
1945.0,0.5531
1955.0,0.57685
1965.0,0.63705
1975.0,0.65715
1985.0,0.65555
1995.0,0.7052
2005.649,0.77565
2015.6508,0.84975
2025.6526,0.8731
2035.6544,0.9743
2045.6562,1.0835
2055.658,1.116
2065.66,1.172
2075.6619,1.341
2085.6638,1.585
2095.6658,2.233
2105.6677,2.9165
2115.6697,3.501
2125.6716,3.2705
2135.6736,3.4465
2145.6755,4.1725
2155.6777,3.7715
2165.6797,3.3635
2175.6816,3.6665
2185.6838,4.6215
2195.6858,4.889
2205.688,4.933
2215.69,4.1195
2225.6921,5.157001
2235.6943,6.5405
2245.6965,6.1255
2255.6985,5.445
2265.7007,4.11
2275.703,4.134
2285.705,5.3965
2295.7073,4.955
2305.7095,5.416
2315.7117,5.2955
2325.7139,5.5275
2335.716,4.6635
2345.7183,4.0555
2355.7205,5.335
2365.7227,5.055
2375.725,5.041
2385.7273,4.361
2395.7295,4.594
2405.7317,4.1095
2415.7341,5.3265
2425.7363,7.3245
2435.7385,6.9055
2445.741,6.34
2455.7432,5.1465
2465.7456,5.245
2475.7478,5.7705
2485.7502,4.7485
2495.7524,5.859
2505.755,6.2665
2515.757,4.8065
2525.7595,4.3185
2535.7617,5.3615
2545.7642,6.196
2555.7666,8.224
2565.7688,10.55
2575.7712,13.01
2585.7737,12.98
2595.776,10.85
2605.7783,8.9155
2615.7808,9.3045
2625.783,10.8
2635.7854,16.955
2645.7878,25.91
2655.7903,26.255
2665.7927,25.895
2675.795,26.06
2685.7974,25.335
2695.7998,24.81
2705.8022,27.76
2715.8047,23.295
2725.8071,20.485
2735.8096,20.535
2745.812,13.815
2755.8145,18.155
2765.817,25.205
2775.819,24.33
2785.8215,16.54
2795.824,9.0585
2805.8264,9.9785
2815.8289,21.69
2825.8315,30.475
2835.834,32.53
2845.8364,24.475
2855.8389,16.96
2865.8413,33.34
2875.8438,34.79
2885.8462,33.29
2895.8486,48.92
2905.851,62.255
2915.8535,60.18
2925.856,53.95
2935.8586,55.45
2945.861,52.68
2955.8635,57.115
2965.866,52.58
2975.8684,52.465
