wave,flux
2900.329833984375,-2.4565e-15
2903.074951,-1.1471e-15
2905.820312,-1.0603e-15
2908.56543,-4.184e-16
2911.310547,-2.6629e-15
2914.055908,-2.6658e-16
2916.801025,1.1281e-16
2919.546387,-1.7225e-15
2922.291748,-1.9012e-15
2925.037109,-1.1396e-15
2927.782471,-1.2636e-16
2930.527832,2.5668e-16
2933.273193,1.137e-15
2936.018555,2.7892e-16
2938.763916,-5.8644e-16
2941.509521,-7.2983e-17
2944.254883,6.6757e-17
2947.000488,4.0943e-17
2949.746094,-1.7435e-17
2952.491455,6.6853e-18
2955.237061,-1.4331e-17
2957.982666,-1.4103e-16
2960.728271,-1.346e-17
2963.473877,-1.3959e-16
2966.219482,-1.5294e-16
2968.965332,-1.7169e-16
2971.710938,1.6758e-17
2974.456543,1.6772e-17
2977.202393,-7.3895e-17
2979.947998,9.9926e-17
2982.693848,1.4135e-16
2985.439697,-6.3239e-17
2988.185547,-1.2517e-16
2990.931396,-6.7849e-17
2993.677246,-7.3146e-17
2996.423096,3.8663e-17
2999.168945,-6.9925e-17
3001.914795,-4.1593e-17
3004.660889,-9.5222e-17
3007.406738,-5.4477e-17
3010.152832,-7.1979e-17
3012.898682,4.4661e-17
3015.644775,2.1647e-17
3018.390869,-8.2491e-17
3021.136963,-8.3071e-17
3023.882812,2.0584e-17
3026.628906,3.555e-19
3029.375244,-8.9434e-17
3032.121338,-5.7337e-17
3034.867432,-5.1911e-17
3037.613525,-9.8664e-19
3040.359863,6.7519e-18
3043.105957,-1.2468e-16
3045.852295,-6.1971e-17
3048.598389,-6.3635e-17
3051.344727,-5.6998e-17
3054.091064,-4.7831e-18
3056.837402,-2.1115e-17
3059.58374,-5.2294e-17
3062.330078,-3.2801e-17
3065.076416,-7.8836e-17
3067.822754,-8.3187e-17
3070.569092,-8.3103e-17
3073.31543,-6.9096e-17
3076.062012,-6.7655e-17
3078.80835,1.5202e-17
3081.554932,-4.4774e-17
3084.301514,-1.79e-17
3087.047852,-3.2937e-17
3089.794434,-6.8803e-17
3092.541016,-2.2349e-17
3095.287598,2.0268e-17
3098.03418,-9.4422e-19
3100.780762,-2.1479e-18
3103.527344,-1.0612e-16
3106.273926,-4.8503e-17
3109.020508,-3.1858e-18
3111.767334,-3.8583e-17
3114.513916,2.9265e-17
3117.260742,-8.2637e-18
3120.007324,-4.4735e-17
3122.75415,-4.8899e-17
