wave flux
1140.2310791015625 2.3021e-13
1140.814941 2.3273e-13
1141.398682 2.2735e-13
1141.982544 2.4316e-13
1142.566406 2.279e-13
1143.150146 2.2177e-13
1143.734009 2.1864e-13
1144.317749 2.2374e-13
1144.901611 2.3403e-13
1145.485352 2.3171e-13
1146.069214 2.383e-13
1146.652954 2.3756e-13
1147.236816 2.3781e-13
1147.820557 2.3654e-13
1148.404419 2.3655e-13
1148.988159 2.3898e-13
1149.572021 2.302e-13
1150.155762 2.3016e-13
1150.739502 2.3565e-13
1151.323364 2.3519e-13
1151.907104 2.3307e-13
1152.490967 2.3056e-13
1153.074707 2.3656e-13
1153.658447 2.3547e-13
1154.24231 2.3729e-13
1154.82605 2.3225e-13
1155.40979 2.3523e-13
1155.993652 2.3331e-13
1156.577393 2.3164e-13
1157.161133 2.3222e-13
1157.744995 2.3111e-13
1158.328735 2.3574e-13
1158.912476 2.396e-13
1159.496216 2.3582e-13
1160.080078 2.3635e-13
1160.663818 2.3733e-13
1161.247559 2.3685e-13
1161.831299 2.3489e-13
1162.415039 2.2919e-13
1162.998901 2.2986e-13
1163.582642 2.2856e-13
1164.166382 2.3172e-13
1164.750122 2.3443e-13
1165.333862 2.3109e-13
1165.917603 2.3456e-13
1166.501343 2.329e-13
1167.085083 2.2932e-13
1167.668823 2.2851e-13
1168.252686 2.2965e-13
1168.836426 2.2925e-13
1169.420166 2.2511e-13
1170.003906 2.279e-13
1170.587646 2.3046e-13
1171.171387 2.2852e-13
1171.755127 2.2519e-13
1172.338867 2.2153e-13
1172.922607 2.2298e-13
1173.506348 2.2433e-13
1174.090088 2.2258e-13
1174.673706 2.2438e-13
1175.257446 2.1957e-13
1175.841187 2.1447e-13
1176.424927 2.1605e-13
1177.008667 2.1737e-13
1177.592407 2.1591e-13
1178.176147 2.1815e-13
1178.759888 2.1845e-13
1179.343628 2.1653e-13
1179.927246 2.1134e-13
1180.510986 2.0808e-13
1181.094727 2.08e-13
1181.678467 2.1362e-13
1182.262207 2.1236e-13
1182.845825 2.1307e-13
1183.429565 2.097e-13
1184.013306 2.1086e-13
1184.597046 2.1197e-13
1185.180664 2.108e-13
1185.764404 2.079e-13
1186.348145 2.051e-13
1186.931763 2.0462e-13
1187.515503 2.0302e-13
1188.099243 2.0408e-13
1188.682861 2.0202e-13
1189.266602 1.971e-13
1189.850342 1.8998e-13
1190.43396 1.8692e-13
1191.0177 1.9134e-13
1191.60144 1.914e-13
1192.185059 1.8527e-13
1192.768799 1.7986e-13
1193.352417 1.8097e-13
1193.936157 1.8228e-13
1194.519775 1.8359e-13
1195.103516 1.8254e-13
1195.687134 1.8208e-13
1196.270874 1.8283e-13
1196.854492 1.7999e-13
1197.438232 1.7764e-13
1198.021851 1.737e-13
1198.605591 1.6893e-13
1199.189209 1.6077e-13
1199.772949 1.5643e-13
1200.356567 1.5756e-13
1200.940308 1.606e-13
1201.523926 1.6123e-13
1202.107544 1.6069e-13
1202.691284 1.5619e-13
1203.274902 1.5405e-13
1203.858521 1.4829e-13
1204.442261 1.4444e-13
1205.025879 1.4134e-13
1205.609497 1.3618e-13
1206.193237 1.2762e-13
1206.776855 1.2348e-13
1207.360474 1.2243e-13
1207.944214 1.1798e-13
1208.527832 1.1317e-13
1209.11145 1.0739e-13
1209.695068 1.0163e-13
1210.278687 9.4801e-14
1210.862427 9.0112e-14
1211.446045 8.4432e-14
1212.029663 7.7497e-14
1212.613281 6.9229e-14
1213.196899 6.1293e-14
1213.78064 5.3754e-14
1214.364258 4.6037e-14
1214.947876 3.8641e-14
1215.531494 3.5758e-14
1216.115112 3.8475e-14
1216.69873 4.5477e-14
1217.282349 5.2786e-14
1217.865967 5.9287e-14
1218.449585 6.4281e-14
1219.033203 7.1653e-14
1219.616821 7.725e-14
1220.200439 8.5872e-14
1220.784058 9.1899e-14
1221.367676 9.5394e-14
1221.951294 1.0098e-13
1222.534912 1.082e-13
1223.11853 1.1277e-13
1223.702148 1.1754e-13
1224.285767 1.2198e-13
1224.869385 1.2594e-13
1225.453003 1.301e-13
1226.036621 1.3412e-13
1226.620239 1.374e-13
1227.203857 1.4095e-13
1227.787476 1.4432e-13
1228.371094 1.4799e-13
1228.95459 1.4968e-13
1229.538208 1.5052e-13
