wave,flux
1140.2269287109375,8.0847e-13
1140.810669,8.4663e-13
1141.394531,8.6675e-13
1141.978271,8.6269e-13
1142.562012,8.8081e-13
1143.145752,8.8206e-13
1143.729614,8.8406e-13
1144.313354,8.7787e-13
1144.897095,8.8269e-13
1145.480957,8.8947e-13
1146.064697,9.0254e-13
1146.648438,9.0152e-13
1147.232178,9.1971e-13
1147.815918,9.2368e-13
1148.39978,9.3481e-13
1148.983521,9.2339e-13
1149.567261,9.2032e-13
1150.151001,9.3332e-13
1150.734741,9.2533e-13
1151.318481,9.2475e-13
1151.902344,9.2058e-13
1152.486084,9.3277e-13
1153.069824,9.3386e-13
1153.653564,9.3197e-13
1154.237305,9.3612e-13
1154.821045,9.437e-13
1155.404785,9.4869e-13
1155.988525,9.3909e-13
1156.572266,9.4283e-13
1157.156006,9.4463e-13
1157.739746,9.3628e-13
1158.323486,9.3386e-13
1158.907227,9.3212e-13
1159.490967,9.3918e-13
1160.074707,9.5041e-13
1160.658447,9.5083e-13
1161.242188,9.4406e-13
1161.825928,9.4084e-13
1162.409668,9.3605e-13
1162.993408,9.3234e-13
1163.577026,9.3569e-13
1164.160767,9.3386e-13
1164.744507,9.2972e-13
1165.328247,9.2154e-13
1165.911987,9.19e-13
1166.495728,9.2261e-13
1167.079346,9.2236e-13
1167.663086,9.1821e-13
1168.246826,9.2404e-13
1168.830566,9.2359e-13
1169.414307,9.1485e-13
1169.997925,9.0399e-13
1170.581665,9.1397e-13
1171.165405,9.1195e-13
1171.749146,9.1239e-13
1172.332764,9.0896e-13
1172.916504,9.0401e-13
1173.500244,9.0253e-13
1174.083862,8.9809e-13
1174.667603,8.8987e-13
1175.251343,8.9469e-13
1175.834961,8.9127e-13
1176.418701,8.8691e-13
1177.002319,8.8745e-13
1177.58606,8.8729e-13
1178.1698,8.8681e-13
1178.753418,8.8634e-13
1179.337158,8.8251e-13
1179.920776,8.8018e-13
1180.504517,8.8053e-13
1181.088135,8.7503e-13
1181.671875,8.7408e-13
1182.255493,8.7293e-13
1182.839233,8.7037e-13
1183.422852,8.6728e-13
1184.006592,8.6136e-13
1184.59021,8.6163e-13
1185.17395,8.5971e-13
1185.757568,8.5551e-13
1186.341309,8.4484e-13
1186.924927,8.4146e-13
1187.508545,8.4705e-13
1188.092285,8.4316e-13
1188.675903,8.4232e-13
1189.259521,8.3928e-13
1189.843262,8.2529e-13
1190.42688,8.1043e-13
1191.010498,8.0666e-13
1191.594238,8.1072e-13
1192.177856,8.1058e-13
1192.761475,8.0056e-13
1193.345215,7.9149e-13
1193.928833,7.9039e-13
1194.512451,7.8812e-13
1195.096069,7.8267e-13
1195.67981,7.8269e-13
1196.263428,7.7799e-13
1196.847046,7.7735e-13
1197.430664,7.6721e-13
1198.014282,7.585e-13
1198.598022,7.483e-13
1199.181641,7.2796e-13
1199.765259,7.0301e-13
1200.348877,6.9224e-13
1200.932495,6.9351e-13
1201.516113,6.9927e-13
1202.099731,7.0184e-13
1202.68335,7.0022e-13
1203.266968,6.9429e-13
1203.850708,6.8772e-13
1204.434326,6.7306e-13
1205.017944,6.5312e-13
1205.601562,6.3566e-13
1206.185181,6.2119e-13
1206.768799,6.0774e-13
1207.352417,5.9205e-13
1207.936035,5.7526e-13
1208.519653,5.5239e-13
1209.103271,5.3211e-13
1209.68689,5.0895e-13
1210.270386,4.8398e-13
1210.854004,4.5486e-13
1211.437622,4.2554e-13
1212.02124,3.9602e-13
1212.604858,3.6546e-13
1213.188477,3.2917e-13
1213.772095,2.8802e-13
1214.355713,2.4564e-13
