wave flux
1140.511962890625 2.9079e-13
1141.095825 2.6758e-13
1141.679565 2.5494e-13
1142.263428 2.933e-13
1142.84729 2.6287e-13
1143.431152 2.7082e-13
1144.014893 2.6649e-13
1144.598755 2.6993e-13
1145.182617 2.5812e-13
1145.766479 2.8506e-13
1146.35022 2.4942e-13
1146.934082 2.6279e-13
1147.517944 2.5206e-13
1148.101685 2.5624e-13
1148.685547 2.4187e-13
1149.269409 2.4266e-13
1149.853149 2.342e-13
1150.437012 2.2719e-13
1151.020874 2.3324e-13
1151.604614 2.1578e-13
1152.188477 2.1748e-13
1152.772217 2.0647e-13
1153.356079 2.1168e-13
1153.939941 1.9745e-13
1154.523682 2.0339e-13
1155.107544 1.9292e-13
1155.691284 1.9707e-13
1156.275146 1.8856e-13
1156.858887 1.8617e-13
1157.442749 1.7205e-13
1158.026489 1.7959e-13
1158.610352 1.7584e-13
1159.194092 1.6878e-13
1159.777954 1.6649e-13
1160.361694 1.6454e-13
1160.945435 1.5666e-13
1161.529297 1.5436e-13
1162.113037 1.4687e-13
1162.696899 1.4236e-13
1163.28064 1.411e-13
1163.86438 1.3431e-13
1164.448242 1.3316e-13
1165.031982 1.2643e-13
1165.615723 1.2526e-13
1166.199585 1.1401e-13
1166.783325 1.1371e-13
1167.367065 1.1597e-13
1167.950928 1.0144e-13
1168.534668 1.097e-13
1169.118408 9.7128e-14
1169.702148 9.5879e-14
1170.286011 9.3359e-14
1170.869751 8.8239e-14
1171.453491 8.2306e-14
1172.037231 8.2552e-14
1172.620972 8.2602e-14
1173.204834 7.5621e-14
1173.788574 7.1572e-14
1174.372314 6.676e-14
1174.956055 6.822e-14
1175.539795 6.5043e-14
1176.123535 5.6108e-14
1176.707275 5.839e-14
1177.291016 5.5386e-14
1177.874878 5.4988e-14
1178.458618 4.7203e-14
1179.042358 4.6225e-14
1179.626099 4.4956e-14
1180.209839 4.2148e-14
1180.793579 4.3627e-14
1181.377319 4.039e-14
1181.96106 3.8419e-14
1182.5448 3.6718e-14
1183.12854 3.2914e-14
1183.71228 3.2485e-14
1184.296021 2.9324e-14
1184.879761 2.8502e-14
1185.463501 2.6423e-14
1186.047119 2.6507e-14
1186.630859 2.3595e-14
1187.2146 2.6525e-14
1187.79834 2.1404e-14
1188.38208 2.2296e-14
1188.96582 2.1496e-14
1189.549561 1.9891e-14
1190.133301 1.9997e-14
1190.716919 1.8233e-14
1191.300659 1.7856e-14
1191.884399 1.7129e-14
1192.46814 1.7388e-14
1193.05188 1.623e-14
1193.635498 1.5192e-14
1194.219238 1.417e-14
1194.802979 1.3117e-14
1195.386719 1.2847e-14
1195.970337 1.3541e-14
1196.554077 1.1319e-14
1197.137817 1.2051e-14
1197.721436 1.2794e-14
1198.305176 1.0628e-14
1198.888916 1.0501e-14
1199.472534 9.7854e-15
1200.056274 1.1131e-14
1200.640015 1.0049e-14
1201.223633 9.46e-15
1201.807373 1.0281e-14
1202.390991 9.0523e-15
1202.974731 8.6615e-15
1203.558472 8.3162e-15
1204.14209 7.2237e-15
1204.72583 8.3241e-15
1205.309448 7.2665e-15
1205.893188 7.9645e-15
1206.476807 6.8295e-15
1207.060547 7.2827e-15
1207.644165 6.7473e-15
1208.227905 5.2935e-15
1208.811523 4.9766e-15
1209.395264 5.31e-15
1209.978882 5.0435e-15
1210.562622 5.4967e-15
1211.14624 5.5772e-15
1211.729858 4.2112e-15
1212.313599 3.7635e-15
1212.897217 4.6758e-15
1213.480957 3.6162e-15
1214.064575 2.7379e-15
1214.648193 3.5702e-15
1215.231934 2.9292e-15
1215.815552 3.7897e-15
1216.39917 4.073e-15
1216.982788 3.6878e-15
1217.566528 3.7991e-15
1218.150146 4.1077e-15
1218.733765 4.5869e-15
1219.317505 5.2814e-15
1219.901123 5.6418e-15
1220.484741 5.1737e-15
1221.068359 6.7196e-15
1221.651978 5.9158e-15
1222.235718 5.4185e-15
1222.819336 7.0027e-15
1223.402954 7.8645e-15
1223.986572 6.7826e-15
1224.57019 7.1291e-15
1225.153809 7.983e-15
1225.737549 8.4752e-15
1226.321167 9.4995e-15
1226.904785 7.3044e-15
1227.488403 1.0142e-14
1228.072021 9.8972e-15
1228.65564 1.0097e-14
1229.239258 1.0043e-14
1229.822876 1.1486e-14
1230.406494 1.1853e-14
1230.990112 1.1135e-14
1231.57373 1.1521e-14
1232.157349 1.2024e-14
1232.740967 1.3584e-14
1233.324585 1.2375e-14
1233.908203 1.5144e-14
1234.491821 1.4612e-14
1235.075439 1.6107e-14
1235.659058 1.7377e-14
1236.242676 1.8058e-14
1236.826294 1.7485e-14
1237.409912 1.8185e-14
1237.993408 1.9835e-14
1238.577026 2.159e-14
1239.160645 2.2485e-14
1239.744263 2.2911e-14
1240.327881 2.5125e-14
1240.911499 2.7375e-14
1241.495117 2.8171e-14
1242.078613 3.1337e-14
1242.662231 3.2554e-14
1243.24585 3.4011e-14
1243.829468 3.5794e-14
1244.412964 3.7385e-14
1244.996582 4.0598e-14
1245.5802 4.2749e-14
1246.163818 4.4797e-14
1246.747314 4.7469e-14
1247.330933 4.981e-14
1247.914551 5.3472e-14
1248.498047 5.5285e-14
1249.081665 5.9261e-14
1249.665283 6.0213e-14
1250.248779 6.5743e-14
1250.832397 6.6534e-14
1251.416016 7.1259e-14
1251.999512 7.6785e-14
1252.58313 7.9315e-14
1253.166626 8.1272e-14
1253.750244 8.5352e-14
1254.33374 8.8886e-14
1254.917358 9.3186e-14
1255.500854 9.4937e-14
1256.084473 1.0583e-13
1256.667969 1.0936e-13
1257.251587 1.1389e-13
1257.835083 1.1898e-13
1258.418701 1.1948e-13
1259.002197 1.3001e-13
1259.585815 1.2992e-13
1260.169312 1.3336e-13
1260.75293 1.4119e-13
1261.336426 1.4345e-13
1261.920044 1.5234e-13
1262.50354 1.5437e-13
1263.087036 1.588e-13
1263.670654 1.6672e-13
1264.25415 1.7207e-13
1264.837646 1.7873e-13
1265.421265 1.8237e-13
1266.004761 1.873e-13
1266.588257 1.9143e-13
1267.171875 1.9836e-13
1267.755371 2.0137e-13
1268.338867 2.0676e-13
1268.922363 2.2051e-13
1269.505981 2.2408e-13
1270.089478 2.2575e-13
1270.672974 2.2901e-13
1271.25647 2.3208e-13
1271.840088 2.4323e-13
1272.423584 2.4244e-13
1273.00708 2.4504e-13
1273.590576 2.4838e-13
1274.174072 2.5127e-13
1274.757568 2.5333e-13
1275.341187 2.5329e-13
1275.924683 2.6272e-13
1276.508179 2.626e-13
1277.091675 2.7097e-13
1277.675171 2.7361e-13
1278.258667 2.7924e-13
1278.842163 2.7996e-13
1279.425659 2.846e-13
1280.009155 2.9018e-13
1280.592651 2.9646e-13
1281.176147 2.9785e-13
1281.759644 2.9949e-13
1282.34314 3.1018e-13
1282.926636 3.1445e-13
1283.510132 3.2062e-13
1284.093628 3.1888e-13
1284.677124 3.2724e-13
1285.26062 3.3011e-13
1285.844116 3.3102e-13
1286.427612 3.3704e-13
1287.011108 3.4315e-13
1287.594604 3.4469e-13
1288.177979 3.4961e-13
1288.761475 3.5207e-13
1289.344971 3.5544e-13
1289.928467 3.5921e-13
1290.511963 3.6953e-13
1291.095459 3.745e-13
1291.678833 3.7163e-13
1292.262329 3.7834e-13
1292.845825 3.7862e-13
1293.429321 3.8603e-13
1294.012817 3.9275e-13
1294.596191 3.8958e-13
1295.179688 3.9129e-13
1295.763184 3.9934e-13
1296.34668 4.0218e-13
1296.930054 4.0827e-13
1297.51355 4.07e-13
1298.097046 4.1311e-13
1298.68042 4.189e-13
1299.263916 4.2505e-13
1299.847412 4.274e-13
1300.430786 4.3048e-13
1301.014282 4.2298e-13
1301.597656 4.2607e-13
1302.181152 4.3015e-13
1302.764648 4.3426e-13
1303.348022 4.4057e-13
1303.931519 4.4817e-13
1304.514893 4.5143e-13
1305.098389 4.5206e-13
1305.681763 4.5739e-13
1306.265259 4.5134e-13
1306.848633 4.6473e-13
1307.432129 4.6113e-13
1308.015503 4.6717e-13
1308.598999 4.6364e-13
1309.182373 4.7627e-13
1309.765869 4.8053e-13
1310.349243 4.7594e-13
1310.932739 4.8806e-13
1311.516113 4.8513e-13
1312.099487 4.8775e-13
1312.682983 4.9208e-13
1313.266357 4.8727e-13
1313.849731 4.8573e-13
1314.433228 4.9581e-13
1315.016602 4.9995e-13
1315.600098 4.9563e-13
1316.183472 5.0028e-13
1316.766846 5.0838e-13
1317.35022 5.0154e-13
1317.933716 4.9981e-13
1318.51709 5.1402e-13
1319.100464 5.1796e-13
1319.683838 5.2483e-13
1320.267334 5.2017e-13
1320.850708 5.2177e-13
1321.434082 5.2669e-13
1322.017456 5.1986e-13
1322.600952 5.2647e-13
1323.184326 5.2411e-13
1323.7677 5.2678e-13
1324.351074 5.2928e-13
1324.934448 5.2975e-13
1325.517822 5.3088e-13
1326.101196 5.4567e-13
1326.684692 5.3109e-13
1327.268066 5.4275e-13
1327.85144 5.4254e-13
1328.434814 5.4205e-13
1329.018188 5.3563e-13
1329.601562 5.3921e-13
1330.184937 5.415e-13
1330.768311 5.4041e-13
1331.351685 5.4031e-13
1331.935059 5.4941e-13
1332.518433 5.5931e-13
1333.101807 5.5515e-13
1333.685181 5.4273e-13
1334.268555 5.3914e-13
1334.851929 5.525e-13
1335.435303 5.5312e-13
1336.018677 5.5465e-13
1336.602051 5.5664e-13
1337.185303 5.572e-13
1337.768677 5.6087e-13
1338.352051 5.6355e-13
1338.935425 5.676e-13
1339.518799 5.695e-13
1340.102173 5.6446e-13
1340.685547 5.6015e-13
1341.268799 5.7199e-13
1341.852173 5.7024e-13
1342.435547 5.7153e-13
1343.018921 5.7013e-13
1343.602295 5.7529e-13
1344.185547 5.694e-13
1344.768921 5.7305e-13
1345.352295 5.7558e-13
1345.935547 5.8032e-13
1346.518921 5.802e-13
1347.102295 5.8202e-13
1347.685669 5.8482e-13
1348.268921 5.8964e-13
1348.852295 5.8382e-13
1349.435669 5.9622e-13
1350.018921 5.9127e-13
1350.602295 5.9734e-13
1351.185547 5.9714e-13
1351.768921 5.9279e-13
1352.352295 5.9743e-13
1352.935547 5.9846e-13
1353.518921 6.0369e-13
1354.102173 5.8895e-13
1354.685547 5.9023e-13
1355.268799 5.9477e-13
1355.852173 5.8839e-13
1356.435425 5.879e-13
1357.018799 5.8932e-13
1357.602051 5.9201e-13
1358.185425 5.9112e-13
1358.768677 5.7856e-13
1359.352051 5.9212e-13
1359.935303 5.9096e-13
1360.518677 5.8457e-13
1361.101929 5.8758e-13
1361.685303 5.8553e-13
1362.268555 5.8462e-13
1362.851807 5.9317e-13
1363.435181 5.8526e-13
1364.018433 5.822e-13
1364.601685 5.8347e-13
1365.185059 5.8249e-13
1365.768311 5.7769e-13
1366.351562 5.7226e-13
1366.934937 5.6548e-13
1367.518188 5.7024e-13
1368.10144 5.6234e-13
1368.684814 5.6427e-13
1369.268066 5.6343e-13
1369.851318 5.5478e-13
1370.43457 5.6011e-13
1371.017822 5.6267e-13
1371.601196 5.6586e-13
1372.184448 5.5334e-13
1372.7677 5.4487e-13
1373.350952 5.5363e-13
1373.934204 5.5586e-13
1374.517578 5.5282e-13
1375.10083 5.5585e-13
1375.684082 5.548e-13
1376.267334 5.4796e-13
1376.850586 5.4369e-13
1377.433838 5.4209e-13
1378.01709 5.4114e-13
1378.600342 5.4041e-13
1379.183594 5.3547e-13
1379.766846 5.39e-13
1380.350098 5.3786e-13
1380.93335 5.3031e-13
1381.516602 5.2993e-13
1382.099854 5.2067e-13
1382.683105 5.2648e-13
1383.266357 5.276e-13
1383.849609 5.2362e-13
1384.432861 5.2376e-13
1385.016113 5.2196e-13
1385.599365 5.1524e-13
1386.182617 4.9922e-13
1386.765869 5.0575e-13
1387.349121 4.9747e-13
1387.932373 5.0267e-13
1388.515625 4.9883e-13
1389.098877 4.9608e-13
1389.682007 4.915e-13
1390.265259 4.9702e-13
1390.848511 4.9376e-13
1391.431763 4.8468e-13
1392.015015 4.9323e-13
1392.598145 4.8813e-13
1393.181396 4.9717e-13
1393.764648 4.8394e-13
1394.3479 4.9107e-13
1394.931152 4.8258e-13
1395.514282 4.8743e-13
1396.097534 4.7856e-13
1396.680786 4.8257e-13
1397.263916 4.8897e-13
1397.847168 4.8601e-13
1398.43042 4.9583e-13
1399.01355 5.0427e-13
1399.596802 4.97e-13
1400.180054 5.0418e-13
1400.763184 5.1252e-13
1401.346436 5.1162e-13
1401.929688 5.196e-13
1402.512817 5.341e-13
1403.096069 5.3871e-13
1403.679199 5.3434e-13
1404.262451 5.456e-13
1404.845581 5.4952e-13
1405.428833 5.5996e-13
1406.011963 5.6907e-13
1406.595215 5.78e-13
1407.178345 5.8317e-13
1407.761597 5.9108e-13
1408.344727 5.8651e-13
1408.927979 6.0258e-13
1409.511108 6.0878e-13
1410.09436 6.0931e-13
1410.67749 6.1993e-13
1411.260742 6.2557e-13
1411.843872 6.3347e-13
1412.427002 6.2545e-13
1413.010254 6.3265e-13
1413.593384 6.3298e-13
1414.176514 6.3471e-13
1414.759766 6.4806e-13
1415.342896 6.4077e-13
1415.926025 6.5069e-13
1416.509277 6.4534e-13
1417.092407 6.4957e-13
1417.675537 6.5014e-13
1418.258789 6.5147e-13
1418.841919 6.5448e-13
1419.425049 6.4677e-13
1420.008179 6.5115e-13
1420.591431 6.5951e-13
1421.174561 6.6177e-13
1421.75769 6.5672e-13
1422.34082 6.6762e-13
1422.92395 6.81e-13
1423.507202 6.6564e-13
1424.090332 6.6646e-13
1424.673462 6.7695e-13
1425.256592 6.7642e-13
1425.839722 6.865e-13
1426.422852 6.8326e-13
1427.005981 6.9772e-13
1427.589233 6.8816e-13
1428.172363 6.8899e-13
1428.755493 6.9467e-13
1429.338623 6.9472e-13
1429.921753 6.9528e-13
1430.504883 6.8592e-13
1431.088013 6.9545e-13
1431.671143 6.8758e-13
1432.254272 6.8969e-13
1432.837402 6.8513e-13
1433.420532 6.8524e-13
1434.003662 6.8375e-13
1434.586792 6.7086e-13
1435.169922 6.8226e-13
1435.753052 6.8065e-13
1436.33606 6.7618e-13
1436.919189 6.7412e-13
1437.502319 6.747e-13
1438.085449 6.7788e-13
1438.668579 6.8163e-13
1439.251709 6.67e-13
1439.834839 6.5797e-13
1440.417969 6.678e-13
1441.000977 6.6337e-13
1441.584106 6.7382e-13
1442.167236 6.6366e-13
1442.750366 6.7656e-13
1443.333496 6.6324e-13
1443.916504 6.6996e-13
1444.499634 6.6906e-13
1445.082764 6.6921e-13
1445.665894 6.6302e-13
1446.248901 6.77e-13
1446.832031 6.6514e-13
1447.415161 6.7668e-13
1447.998169 6.8231e-13
1448.581299 6.7016e-13
1449.164429 6.6055e-13
1449.747437 6.6262e-13
1450.330566 6.6031e-13
1450.913696 6.6665e-13
1451.496704 6.6981e-13
