wave,flux
1140.5509033203125,2.0433e-13
1141.134521,2.0442e-13
1141.71814,1.9252e-13
1142.301636,2.0365e-13
1142.885254,2.1139e-13
1143.468872,2.1007e-13
1144.05249,2.0216e-13
1144.635986,1.9898e-13
1145.219604,2.0634e-13
1145.803223,2.0428e-13
1146.386719,2.0631e-13
1146.970337,2.0669e-13
1147.553833,2.1066e-13
1148.137451,2.1043e-13
1148.721069,2.0612e-13
1149.304565,2.0915e-13
1149.888184,2.0947e-13
1150.47168,2.0918e-13
1151.055298,2.1205e-13
1151.638794,2.1203e-13
1152.222412,2.0888e-13
1152.805908,2.074e-13
1153.389526,2.1121e-13
1153.973022,2.0951e-13
1154.556641,2.1371e-13
1155.140137,2.139e-13
1155.723755,2.099e-13
1156.307251,2.1005e-13
1156.890869,2.0906e-13
1157.474365,2.0806e-13
1158.057861,2.0727e-13
1158.641479,2.0938e-13
1159.224976,2.1013e-13
1159.808594,2.1066e-13
1160.39209,2.1298e-13
1160.975586,2.1046e-13
1161.559204,2.0897e-13
1162.1427,2.1048e-13
1162.726196,2.0715e-13
1163.309692,2.0656e-13
1163.893311,2.0917e-13
1164.476807,2.0874e-13
1165.060303,2.0666e-13
1165.643799,2.0426e-13
1166.227417,2.0839e-13
1166.810913,2.0479e-13
1167.394409,2.0587e-13
1167.977905,2.0697e-13
1168.561401,2.0553e-13
1169.144897,2.0544e-13
1169.728516,2.0366e-13
1170.312012,2.045e-13
1170.895508,2.0395e-13
1171.479004,2.0207e-13
1172.0625,2.0267e-13
1172.645996,2.05e-13
1173.229492,2.0489e-13
1173.812988,2.0258e-13
1174.396484,2.0206e-13
1174.97998,2.0252e-13
1175.563477,2.0013e-13
1176.146973,2.0015e-13
1176.730469,1.9873e-13
1177.313965,1.9907e-13
1177.897461,1.9997e-13
1178.480957,2.0286e-13
1179.064453,1.9955e-13
1179.647949,1.9777e-13
1180.231445,1.9615e-13
1180.814941,1.9702e-13
1181.398438,1.9956e-13
1181.981934,1.9834e-13
1182.565308,1.9833e-13
1183.148804,2.0018e-13
1183.7323,1.9613e-13
1184.315796,1.9558e-13
1184.899292,1.9295e-13
1185.482788,1.9232e-13
1186.066162,1.9219e-13
1186.649658,1.9285e-13
1187.233154,1.8939e-13
1187.81665,1.8977e-13
1188.400024,1.891e-13
1188.983521,1.8502e-13
1189.567017,1.8322e-13
1190.150391,1.8024e-13
1190.733887,1.8051e-13
1191.317383,1.8312e-13
1191.900879,1.835e-13
1192.484253,1.8267e-13
1193.067749,1.8039e-13
1193.651123,1.7798e-13
1194.234619,1.7746e-13
1194.818115,1.8059e-13
1195.401489,1.7929e-13
1195.984985,1.8088e-13
1196.568359,1.7885e-13
1197.151855,1.7841e-13
1197.735229,1.7388e-13
1198.318726,1.7103e-13
1198.9021,1.6756e-13
1199.485596,1.601e-13
1200.06897,1.5562e-13
1200.652466,1.5752e-13
1201.23584,1.6359e-13
1201.819336,1.6731e-13
1202.40271,1.6713e-13
1202.986206,1.658e-13
1203.56958,1.6429e-13
1204.152954,1.6275e-13
1204.73645,1.5982e-13
1205.319824,1.5542e-13
1205.903198,1.5022e-13
1206.486694,1.4733e-13
1207.070068,1.4419e-13
1207.653442,1.4131e-13
