wave flux
90.9000015258789 3.188145427143181e-12
93.5 1.2888737149343966e-11
96.0999984741211 4.8103636666006176e-11
97.69999694824219 1.0598624714426571e-10
99.5999984741211 2.603905675351458e-10
102.0 7.741264185956836e-10
103.80000305175781 1.7016207997561298e-09
105.5999984741211 3.6483858285797858e-09
107.69999694824219 8.615903639942368e-09
110.4000015258789 2.4873472806651874e-08
114.0 9.513280069223217e-08
117.80000305175781 3.6140354993076936e-07
121.30000305175781 1.1560511363029174e-06
124.80000305175781 3.4777232965597096e-06
127.0999984741211 6.961743772490422e-06
128.39999389648438 1.0203296163946171e-05
130.5 1.861600158891213e-05
132.39999389648438 3.162472123444973e-05
133.89999389648438 4.7648803746428796e-05
136.60000610351562 9.736367753186648e-05
139.8000030517578 0.000221142886019085
143.3000030517578 0.0005203976140218071
147.1999969482422 0.0012797056610670864
151.0 0.003031174287932171
155.1999969482422 0.007405496289000128
158.8000030517578 0.015406111574567196
162.0 0.02875405012665644
166.0 0.06137424270019339
170.3000030517578 0.13269183365926757
173.39999389648438 0.2269635346552019
176.8000030517578 0.4021496211060138
180.1999969482422 0.6958335934062708
181.6999969482422 0.8787856713180262
186.10000610351562 1.7294831589057167
191.0 3.5360238509343715
193.89999389648438 5.3224321762386175
198.39999389648438 9.789344001369713
201.8000030517578 15.188304924728692
205.0 22.760127189888156
210.5 44.278481848828875
216.1999969482422 84.74272514967562
219.8000030517578 126.57247526715248
223.0 177.69728976180798
226.8000030517578 262.9176198546726
230.0 302278.40564654313
234.0 840229.6599894307
240.0 1163673.5822382479
246.5 1720520.0457803274
252.39999389648438 2898488.0051292917
256.79998779296875 3820824.1527920356
260.0 5380303.795415016
264.0 14121408.737778185
268.5 21594896.37664545
273.5 26441999.971755303
278.5 24236880.859874148
284.0 52060962.93079223
290.0 71031203.46199009
296.0 71795835.76530233
301.0 121931033.87062716
308.0 590401618.5151465
318.0 550352799.8196826
328.0 986051224.3066473
338.0 1150380896.5248845
348.0 1449131247.1003952
357.0 3584072090.76958
366.0 7901615838.669607
375.0 9937712628.14786
385.0 9648640277.26464
395.0 16996575372.986969
405.0 26188159436.15433
414.0 24989040482.459106
422.0 24805360315.66999
430.0 22854641094.65778
441.0 27637999855.514587
451.0 28229360348.798824
460.0 23739602622.68674
470.0 25490562454.707375
480.0 29766161994.39872
490.0 21319999794.20472
500.0 30645999336.401928
506.0 25584718726.648075
512.0 60567359340.410324
520.0 56296322782.16378
530.0 49937042395.65559
540.0 43745840124.030334
550.0 39700962030.17179
560.0 55321441313.1318
570.0 65460081103.86946
580.0 62178960050.52457
590.0 63007681479.97955
600.0 47481844901.18872
610.0 49585362555.25205
620.0 65745197633.97689
630.0 61484401078.39836
640.0 67681520984.56209
650.0 63100480387.06352
658.0 52153681546.385445
665.0 63296479819.68498
675.0 69532478404.63937
685.0 55341280469.90971
695.0 67116159651.79068
705.0 52049198665.773506
716.0 68995601341.34431
726.0 68623847253.20643
735.0 69035361763.29868
745.0 63152877633.93122
755.0 62337922423.986694
765.0 56704160282.08356
775.0 61816003196.9686
785.0 55663681450.5602
795.0 61239436917.49167
805.0 60021038559.06914
815.0 59847443627.53322
825.0 60594566168.48013
835.0 49433202004.898735
845.0 57698556016.20026
855.0 55465841552.19648
865.0 57463120955.05192
875.0 57044637432.484024
885.0 56087118213.09892
895.0 55406559044.267456
905.0 53518803378.013725
915.0 46265440455.27067
925.0 82003601353.7741
935.0 110537604204.97566
945.0 120165602182.17361
955.0 129037608487.58914
965.0 135827198470.61916
975.0 95978561353.12877
985.0 118188798795.77731
995.0 107078398058.01865
1005.0 106429604006.15395
1015.0 110542403422.79573
1025.0 101263036494.9127
1035.0 111065607003.27902
1045.0 115493594971.55481
1055.0 111793599260.50606
1065.0 105224481707.3537
1075.0 104550085512.09564
1085.0 98506719577.03107
1095.0 100416649654.06296
1105.0 97168958774.57869
1115.0 94864801882.48564
1125.0 87946000868.82933
1135.0 92245839952.2958
1145.0 91213044789.24774
1155.0 85347840207.92235
1165.0 82316241930.15698
1175.0 66779760757.757286
1185.0 76276243827.10962
1195.0 73494880377.63423
1205.0 72117204054.42644
1215.0 62982799527.4158
1225.0 68162003231.58061
1235.0 69508801517.1542
1245.0 67679044412.49076
1255.0 67361121375.25624
1265.0 68012880591.0808
1275.0 68598485523.83611
1285.0 67797680561.505325
1295.0 66280560345.68881
1305.0 64252802636.62488
1315.0 64831441268.553635
1325.0 63357601427.25192
1335.0 61841202021.89928
1345.0 61565523234.46064
1355.0 58881120378.04861
1365.0 57095442420.52919
1375.0 55107201498.72156
1385.0 54434162014.588005
1395.0 50786080288.79371
1405.0 48733682760.708755
1415.0 52642645002.85349
1425.0 48052638125.079636
1435.0 49985441715.073944
1442.0 48416159191.123436
1447.0 48343598947.547714
1455.0 46512321455.27209
1465.0 46205919528.644714
1475.0 45837439990.48808
1485.0 45877443293.93507
1495.0 44463841647.46881
1505.0 44341280801.69365
1512.0 43888721805.272385
1517.0 43363042073.34873
1525.0 42413842996.333336
1535.0 38723841740.30457
1545.0 31915039999.13216
1555.0 32723518812.88755
1565.0 36149437640.49414
1575.0 37303279225.71476
1585.0 36892481802.73066
1595.0 36599920924.99615
1605.0 34465039363.68591
1615.0 33385041212.710175
1625.0 33616561579.44317
1635.0 33499120488.22422
1645.0 32593440510.389854
1655.0 33259360162.046722
1665.0 32584482384.21957
1672.0 30553202858.757416
1677.0 33753681928.693375
1685.0 32724718510.504513
1695.0 32039600520.681442
1705.0 31353679499.712425
1715.0 29975201378.40727
1725.0 29464961269.408012
1735.0 30194960614.892307
1745.0 29770081906.36725
1755.0 29045201325.178596
1765.0 28720321006.090282
1775.0 28039041556.863
1785.0 28036720636.320847
1795.0 27211841784.714806
1805.0 26946959958.425804
1815.0 26460801832.10608
1825.0 25912081575.114307
1835.0 25827200451.18127
1845.0 25420799187.662556
1855.0 25151040664.071365
1865.0 24824879183.562847
1875.0 24168721667.75067
1885.0 23704880700.861004
1895.0 23751040132.215652
1905.0 23532561743.447056
1915.0 23141280873.47616
1925.0 22072558761.57952
1935.0 22540241564.577038
1945.0 22277919845.699974
1955.0 21276399501.69794
1967.0 21410479133.21888
1976.0 21159440954.84603
1984.0 20985599321.084206
1995.0 20521760245.965942
2005.0 20454559685.85572
2015.0 20138400219.458004
2025.0 19822239190.239517
2035.0 19452239781.555912
2045.0 19066078433.648964
2055.0 14691919899.422165
2065.0 14231919481.33935
2074.0 14769360097.215033
2078.0 15139120410.21609
2085.0 16566320259.757591
2095.0 17538640341.69773
2105.0 17327599786.312744
2115.0 17350160557.106937
2125.0 16981441458.275848
2135.0 16852719582.279036
2145.0 16595280390.625124
2155.0 16555280904.750242
2165.0 15770400428.830484
2175.0 16127840976.65972
2185.0 15561680855.697199
2195.0 15751680565.459059
2205.0 15502959523.603056
2215.0 14905521033.397741
2225.0 15035520019.149822
2235.0 14836800242.02447
2245.0 14586800910.397581
2255.0 14110639866.49403
2265.0 14190639629.697088
2275.0 14040640868.236269
2285.0 13731920814.602922
2295.0 13132960218.889912
2305.0 13115759917.023823
2315.0 13115759720.047167
2325.0 13035759595.03807
2335.0 12857040141.317602
2345.0 12619600279.946684
2355.0 12399599856.741852
2365.0 12210880520.718018
2375.0 11980879491.793491
2385.0 11464720415.394274
2395.0 11573440958.451345
2405.0 11486000668.53782
2415.0 11355999897.929117
2425.0 11277280595.578255
2435.0 11097280532.738268
2445.0 10958560253.968584
2455.0 10769840798.107315
2465.0 10649839361.91806
2475.0 10549839763.08424
2485.0 10290992706.800661
2495.0 8678240020.774696
2505.0 9989840006.442436
2513.0 9505112478.722586
2518.0 9727808373.674126
2525.0 9787240732.1917
2535.0 9727984205.85022
2545.0 9611855990.608545
2555.0 9470623853.662209
2565.0 9358392593.186523
2575.0 9226416000.950155
2585.0 9113928346.69058
2595.0 8899487936.691013
2605.0 8887591985.448538
2615.0 8716743990.467644
2625.0 8661615919.007168
2635.0 8567384067.990164
2645.0 8426279982.444968
2655.0 8342536592.319876
2665.0 8221664254.701015
2675.0 8037304188.360073
