wave,flux
1669.6146240234375,1.4644e-10
1670.985596,1.5326e-10
1672.356689,1.682e-10
1673.727905,1.7045e-10
1675.098999,1.7597e-10
1676.470093,1.7974e-10
1677.841309,1.7918e-10
1679.212402,1.8386e-10
1680.583618,1.8359e-10
1681.954834,1.8267e-10
1683.32605,1.8652e-10
1684.697266,1.8327e-10
1686.068481,1.7827e-10
1687.439697,1.8248e-10
1688.811035,1.8386e-10
1690.182251,1.8433e-10
1691.553589,1.8165e-10
1692.924927,1.8112e-10
1694.296265,1.7947e-10
1695.667603,1.7654e-10
1697.03894,1.7695e-10
1698.410278,1.7942e-10
1699.781738,1.7967e-10
1701.153076,1.7796e-10
1702.524536,1.7653e-10
1703.895996,1.7694e-10
1705.267334,1.7529e-10
1706.638794,1.7223e-10
1708.010376,1.7335e-10
1709.381836,1.7521e-10
1710.753296,1.7342e-10
1712.124878,1.7379e-10
1713.496338,1.7469e-10
1714.86792,1.7692e-10
1716.239502,1.7556e-10
1717.610962,1.7418e-10
1718.982666,1.6808e-10
1720.354248,1.6261e-10
1721.72583,1.6577e-10
1723.097412,1.6774e-10
1724.469116,1.6289e-10
1725.840698,1.6784e-10
1727.212402,1.7598e-10
1728.584106,1.805e-10
1729.955811,1.7695e-10
1731.327515,1.7123e-10
1732.699219,1.703e-10
1734.070923,1.7092e-10
1735.442749,1.7558e-10
1736.814453,1.7508e-10
1738.186279,1.7959e-10
1739.558105,1.8137e-10
1740.92981,1.8003e-10
1742.301636,1.7752e-10
1743.673462,1.7855e-10
1745.04541,1.7838e-10
1746.417236,1.764e-10
1747.789062,1.7535e-10
1749.161011,1.794e-10
1750.532837,1.8283e-10
1751.904785,1.8376e-10
1753.276733,1.8764e-10
1754.648682,1.936e-10
1756.02063,1.9412e-10
1757.392578,1.8788e-10
1758.764526,1.8019e-10
1760.136597,1.7193e-10
1761.508545,1.6943e-10
1762.880615,1.6848e-10
1764.252563,1.6926e-10
1765.624634,1.6983e-10
1766.996704,1.7389e-10
1768.368774,1.7434e-10
1769.740845,1.7598e-10
1771.112915,1.78e-10
1772.485107,1.7782e-10
1773.857178,1.7802e-10
1775.22937,1.8102e-10
1776.60144,1.812e-10
1777.973633,1.8519e-10
1779.345825,1.8455e-10
1780.718018,1.8287e-10
1782.09021,1.8354e-10
1783.462402,1.8144e-10
1784.834595,1.7863e-10
1786.206787,1.7575e-10
1787.579102,1.7634e-10
1788.951294,1.8218e-10
1790.323608,1.911e-10
1791.695923,1.9455e-10
1793.068237,1.9665e-10
1794.440552,1.9588e-10
1795.812866,1.9262e-10
1797.185181,1.8992e-10
1798.557495,1.9189e-10
1799.92981,1.9503e-10
1801.302246,1.9666e-10
1802.674561,1.9376e-10
1804.046997,1.9015e-10
1805.419434,1.8504e-10
1806.79187,1.8205e-10
1808.164307,1.7943e-10
1809.536743,1.8483e-10
1810.90918,1.901e-10
1812.281616,1.9065e-10
1813.654053,1.8862e-10
1815.026611,1.8554e-10
1816.399048,1.832e-10
1817.771606,1.8001e-10
1819.144165,1.8259e-10
1820.516602,1.8115e-10
1821.88916,1.8329e-10
1823.261719,1.8361e-10
1824.634277,1.8324e-10
1826.006958,1.8372e-10
1827.379517,1.8048e-10
1828.752075,1.7755e-10
1830.124756,1.7225e-10
1831.497314,1.704e-10
1832.869995,1.7373e-10
1834.242676,1.7874e-10
1835.615356,1.7939e-10
1836.988037,1.7851e-10
1838.360718,1.7586e-10
1839.733398,1.7039e-10
1841.106079,1.6475e-10
1842.47876,1.6323e-10
1843.851562,1.6577e-10
1845.224243,1.6672e-10
1846.597046,1.6658e-10
1847.969727,1.7025e-10
1849.342529,1.7438e-10
1850.715332,1.7185e-10
1852.088135,1.6893e-10
1853.460938,1.6853e-10
1854.83374,1.6955e-10
1856.206543,1.7111e-10
1857.579468,1.7212e-10
1858.952271,1.7064e-10
1860.325073,1.697e-10
1861.697998,1.6944e-10
1863.070923,1.7033e-10
1864.443726,1.7054e-10
1865.81665,1.7119e-10
1867.189575,1.7389e-10
1868.5625,1.7566e-10
1869.935425,1.7797e-10
1871.30835,1.7931e-10
1872.681396,1.8023e-10
1874.054321,1.7795e-10
1875.427246,1.7466e-10
1876.800293,1.7341e-10
1878.17334,1.7472e-10
1879.546265,1.7766e-10
1880.919312,1.7777e-10
1882.292358,1.8053e-10
1883.665405,1.8105e-10
1885.038452,1.8098e-10
1886.411499,1.8005e-10
1887.784546,1.7857e-10
1889.157593,1.7871e-10
1890.530762,1.7885e-10
1891.903809,1.78e-10
1893.276978,1.7828e-10
1894.650024,1.7743e-10
1896.023193,1.7512e-10
1897.396362,1.7206e-10
1898.769409,1.7087e-10
1900.142578,1.7091e-10
1901.515747,1.7124e-10
1902.888916,1.7255e-10
1904.262207,1.7489e-10
1905.635376,1.7465e-10
1907.008545,1.7517e-10
1908.381836,1.7193e-10
1909.755005,1.6892e-10
1911.128296,1.6932e-10
1912.501465,1.7339e-10
1913.874756,1.7517e-10
1915.248047,1.7601e-10
1916.621338,1.7529e-10
1917.994507,1.7639e-10
1919.36792,1.7771e-10
1920.741211,1.7913e-10
1922.114502,1.7674e-10
1923.487793,1.7713e-10
1924.861084,1.7533e-10
1926.234497,1.7303e-10
1927.607788,1.7261e-10
1928.981201,1.7125e-10
1930.354492,1.6899e-10
1931.727905,1.6945e-10
1933.101318,1.7331e-10
1934.474731,1.7632e-10
1935.848145,1.7579e-10
1937.221558,1.7661e-10
1938.594971,1.7672e-10
1939.968384,1.7741e-10
1941.341797,1.7922e-10
1942.71521,1.8048e-10
1944.088745,1.8041e-10
1945.462158,1.8121e-10
1946.835693,1.8041e-10
1948.209106,1.7881e-10
