wave,flux
1710.674683,1.2674e-14
1712.045532,-2.6057e-14
1713.416382,-2.3205e-14
1714.787231,-2.5168e-15
1716.158081,-1.9836e-15
1717.528931,-9.1122e-15
1718.899902,-2.4146e-14
1720.270752,-1.0628e-14
1721.641724,2.3663e-14
1723.012695,1.5114e-17
1724.383667,3.4641e-15
1725.754639,-2.6691e-14
1727.12561,-5.785e-15
1728.496582,-2.4595e-14
1729.867676,1.2322e-16
1731.238647,-1.4196e-14
1732.609741,2.6844e-16
1733.980713,-2.8959e-14
1735.351807,-1.2446e-14
1736.7229,-1.2588e-14
1738.093994,-3.8773e-14
1739.465088,5.0448e-15
1740.836304,-1.3185e-14
1742.207397,1.0734e-14
1743.578491,-4.0752e-15
1744.949707,-1.3263e-14
1746.320923,-1.3233e-15
1747.692139,1.6482e-14
1749.063232,1.3266e-14
1750.434448,1.2091e-14
1751.805786,-3.3873e-15
1753.177002,-9.4016e-16
1754.548218,-4.6104e-15
1755.919556,1.3661e-14
1757.290771,-7.454e-16
1758.662109,3.5568e-14
1760.033325,1.7759e-14
1761.404663,5.5508e-14
1762.776001,1.2149e-14
1764.147339,2.089e-14
1765.518677,2.4069e-14
1766.890137,3.7637e-14
1768.261475,6.0869e-16
1769.632935,1.3984e-14
1771.004272,3.5732e-14
1772.375732,1.9206e-14
1773.747192,4.4799e-14
1775.11853,2.9809e-14
1776.48999,1.7396e-14
1777.861572,8.8079e-16
1779.233032,1.8155e-14
1780.604492,2.991e-14
1781.975952,-1.9724e-15
1783.347534,1.7491e-14
1784.718994,1.3472e-14
1786.090576,1.2916e-14
1787.462158,1.1092e-14
1788.83374,2.6076e-14
1790.205322,2.1748e-14
1791.576904,4.2486e-15
1792.948486,1.1166e-14
1794.320068,2.7115e-14
1795.691772,3.546e-14
1797.063354,3.1586e-14
1798.435059,2.3568e-14
1799.806763,2.9759e-14
1801.178345,2.6649e-14
1802.550049,-7.7829e-15
1803.921753,2.7621e-14
1805.293457,1.3064e-14
1806.665161,9.5107e-15
1808.036987,1.1692e-14
1809.408691,2.8171e-14
1810.780396,2.2232e-14
1812.152222,1.4329e-14
1813.524048,7.606e-15
1814.895752,9.5191e-15
1816.267578,2.3677e-14
1817.639404,1.2661e-15
1819.01123,1.9398e-14
1820.383057,1.6012e-14
1821.754883,2.4289e-14
1823.126831,2.1829e-14
1824.498657,2.6418e-14
1825.870605,2.1596e-14
1827.242432,-6.1716e-16
1828.61438,1.2121e-14
1829.986328,1.5459e-14
1831.358154,2.1776e-14
1832.730103,2.5881e-14
1834.102051,2.4835e-14
1835.473999,2.0757e-14
1836.846069,2.3051e-14
1838.218018,2.3392e-14
1839.589966,1.3969e-14
1840.962036,2.2059e-14
1842.333984,1.9274e-14
1843.706055,2.8626e-14
1845.078125,8.8865e-15
1846.450195,1.6819e-14
1847.822266,2.4635e-14
1849.194336,3.7368e-14
1850.566406,2.4143e-14
1851.938477,3.4368e-14
1853.310547,2.3798e-14
1854.682739,3.6092e-14
1856.05481,4.0975e-14
1857.42688,2.4251e-14
1858.799072,1.7595e-14
1860.171265,3.8242e-14
1861.543457,5.895e-14
1862.915527,2.7434e-14
1864.28772,2.9179e-14
1865.660034,2.0798e-14
1867.032227,3.26e-14
1868.404419,4.2807e-14
1869.776611,3.6788e-14
1871.148926,2.1874e-14
1872.521118,3.2103e-14
1873.893433,3.7526e-14
1875.265625,2.049e-14
1876.637939,2.5127e-14
1878.010254,2.4868e-14
1879.382568,2.7412e-14
1880.754883,3.7078e-14
1882.127197,3.2967e-14
1883.499512,2.4226e-14
1884.871826,2.6072e-14
1886.244141,1.8394e-14
1887.616577,1.7834e-14
1888.988892,3.4754e-14
1890.361328,3.5205e-14
1891.733643,4.8563e-14
1893.106079,6.1161e-14
1894.478516,4.3833e-14
1895.850952,3.4265e-14
1897.223267,3.0715e-14
1898.595825,4.3272e-14
1899.968262,3.2898e-14
1901.340698,2.7413e-14
1902.713135,4.1798e-14
1904.085571,3.7875e-14
1905.45813,3.0667e-14
1906.830566,3.5894e-14
1908.203125,3.8812e-14
1909.575562,3.6976e-14
1910.94812,4.6731e-14
1912.320679,3.9133e-14
1913.693237,4.1644e-14
1915.065796,4.3762e-14
1916.438354,3.9662e-14
1917.810913,3.2398e-14
1919.183472,3.5411e-14
1920.55603,3.7263e-14
1921.928589,4.4472e-14
1923.30127,4.3623e-14
1924.673828,4.517e-14
1926.046509,4.0355e-14
1927.419067,4.0879e-14
1928.791748,3.4316e-14
1930.164429,3.3643e-14
1931.537109,3.5652e-14
1932.90979,3.4597e-14
1934.282471,3.8521e-14
1935.655151,3.795e-14
1937.027832,3.9725e-14
1938.400513,3.9415e-14
1939.773193,4.4377e-14
1941.145874,4.098e-14
1942.518677,5.613e-14
1943.891357,4.5597e-14
1945.26416,4.9893e-14
1946.636841,3.9588e-14
1948.009644,6.7347e-14
1949.382446,4.7235e-14
1950.755249,4.3057e-14
1952.128052,4.6371e-14
1953.500732,4.6593e-14
1954.873535,4.3856e-14
1956.24646,5.4783e-14
1957.619263,4.4997e-14
1958.992065,4.2777e-14
1960.364868,4.9653e-14
1961.737793,4.997e-14
1963.110596,4.1833e-14
1964.483398,3.7015e-14
1965.856323,5.3713e-14
1967.229248,6.164e-14
1968.602051,5.5656e-14
1969.974976,4.9739e-14
1971.3479,5.6986e-14
1972.720825,5.3391e-14
1974.09375,4.9792e-14
1975.466675,5.1825e-14
1976.8396,5.0154e-14
1978.212524,4.4941e-14
1979.585449,4.9011e-14
1980.958374,5.2246e-14
1982.331421,5.2296e-14
1983.704346,4.6078e-14
1985.077271,5.3643e-14
1986.450317,5.4704e-14
1987.823364,4.5768e-14
1989.196289,4.4487e-14
1990.569336,5.3432e-14
1991.942383,5.4616e-14
1993.315308,4.8646e-14
