wave,flux
1140.3468017578125,-3.2336e-15
1140.930542,2.1484e-14
1141.514282,1.2998e-14
1142.098022,9.0421e-15
1142.681763,1.0619e-14
1143.265381,4.4096e-15
1143.849121,6.3485e-15
1144.432861,8.1642e-15
1145.016602,7.4379e-15
1145.60022,1.2928e-14
1146.18396,1.3752e-14
1146.7677,1.0637e-14
1147.351318,8.0662e-15
1147.935059,8.8615e-15
1148.518799,7.4076e-15
1149.102417,1.3461e-14
1149.686157,8.4398e-15
1150.269897,7.9888e-15
1150.853516,1.1669e-14
1151.437256,1.1665e-14
1152.020996,1.0352e-14
1152.604614,9.8731e-15
1153.188354,1.2391e-14
1153.771973,9.6871e-15
1154.355713,9.6711e-15
1154.939331,1.1475e-14
1155.523071,1.1288e-14
1156.106689,1.2143e-14
1156.69043,1.4587e-14
1157.274048,9.8089e-15
1157.857788,1.0498e-14
1158.441406,1.039e-14
1159.025146,1.1495e-14
1159.608765,1.0479e-14
1160.192505,1.3741e-14
1160.776123,1.1188e-14
1161.359741,1.2235e-14
1161.943481,1.325e-14
1162.5271,1.0577e-14
1163.11084,1.2797e-14
1163.694458,9.9704e-15
1164.278076,1.3102e-14
1164.861816,1.3845e-14
1165.445435,1.2159e-14
1166.029053,1.4534e-14
1166.612671,1.1144e-14
1167.196411,1.2731e-14
1167.780029,1.2791e-14
1168.363647,1.0824e-14
1168.947266,1.2327e-14
1169.531006,1.1573e-14
1170.114624,1.1698e-14
1170.698242,1.2583e-14
1171.28186,1.0273e-14
1171.865479,1.361e-14
1172.449219,1.2305e-14
1173.032837,1.1535e-14
1173.616455,1.1054e-14
1174.200073,1.1095e-14
1174.783691,1.0461e-14
1175.36731,1.2445e-14
1175.950928,1.1627e-14
1176.534546,1.2699e-14
1177.118286,1.1401e-14
1177.701904,1.2089e-14
1178.285522,1.0042e-14
1178.869141,1.205e-14
1179.452759,1.1401e-14
1180.036377,1.0632e-14
1180.619995,1.1688e-14
1181.203613,9.9969e-15
1181.787231,9.8079e-15
1182.37085,9.585e-15
1182.954468,1.0902e-14
1183.537964,1.1304e-14
1184.121582,1.03e-14
1184.7052,1.1872e-14
1185.288818,1.2459e-14
1185.872437,1.229e-14
1186.456055,1.0193e-14
1187.039673,1.2986e-14
1187.623291,1.0938e-14
1188.206787,1.0952e-14
1188.790405,1.0653e-14
1189.374023,1.0783e-14
1189.957642,9.1569e-15
1190.54126,8.3935e-15
1191.124756,9.6721e-15
1191.708374,1.0422e-14
1192.291992,1.0241e-14
1192.87561,1.0061e-14
1193.459106,1.1688e-14
1194.042725,1.0725e-14
1194.626343,1.0094e-14
1195.209961,1.0384e-14
1195.793457,9.1883e-15
1196.377075,9.6633e-15
1196.960693,9.7483e-15
1197.544189,8.4222e-15
1198.127808,8.6162e-15
1198.711304,8.1749e-15
1199.294922,7.638e-15
1199.87854,9.3864e-15
1200.462036,7.3461e-15
1201.045654,7.0574e-15
1201.62915,8.9715e-15
1202.212769,7.5611e-15
1202.796265,7.9419e-15
1203.379883,7.7052e-15
1203.963379,7.575e-15
1204.546997,7.6449e-15
1205.130493,7.3169e-15
1205.714111,7.1726e-15
1206.297607,6.1664e-15
1206.881226,6.7912e-15
1207.464722,6.3917e-15
1208.04834,6.4936e-15
1208.631836,5.9873e-15
1209.215332,4.6465e-15
1209.79895,5.4471e-15
1210.382446,5.2848e-15
1210.965942,3.3299e-15
1211.549561,2.9917e-15
1212.133057,2.3798e-15
1212.716553,2.7515e-15
1213.300171,1.8242e-15
1213.883667,1.0046e-15
1214.467163,1.5179e-15
1215.050781,8.3432e-16
1215.634277,8.5237e-16
1216.217773,1.1813e-15
1216.80127,1.0922e-15
1217.384888,1.4662e-15
1217.968384,1.3413e-15
1218.55188,1.7833e-15
1219.135376,3.0581e-15
1219.718872,3.2043e-15
1220.302368,3.8964e-15
1220.885986,4.1024e-15
1221.469482,4.6407e-15
1222.052979,3.9974e-15
1222.636475,4.8074e-15
1223.219971,6.0849e-15
1223.803467,6.4676e-15
1224.386963,6.4418e-15
1224.970459,5.7849e-15
1225.553955,7.2994e-15
1226.137451,7.3263e-15
1226.720947,7.169e-15
1227.304443,8.3787e-15
1227.887939,8.2264e-15
1228.471436,8.3587e-15
1229.054932,8.145e-15
1229.638428,8.8307e-15
1230.221924,8.7477e-15
1230.80542,8.5227e-15
1231.388916,9.3733e-15
1231.972412,8.3616e-15
1232.555908,9.1557e-15
1233.139404,9.474e-15
1233.7229,8.8053e-15
1234.306396,9.0642e-15
1234.889771,9.0155e-15
1235.473267,9.4248e-15
1236.056763,9.567e-15
1236.640259,9.1608e-15
1237.223755,9.3616e-15
1237.807251,9.4129e-15
1238.390625,1.0375e-14
1238.974121,9.1646e-15
1239.557617,8.8012e-15
1240.141113,8.7436e-15
1240.724487,9.913e-15
1241.307983,8.9542e-15
1241.891479,9.6871e-15
1242.474854,9.4491e-15
1243.05835,1.0035e-14
1243.641846,1.0138e-14
1244.22522,1.0063e-14
1244.808716,9.1526e-15
1245.392212,1.0325e-14
1245.975586,1.0745e-14
1246.559082,9.0417e-15
1247.142578,9.7892e-15
1247.725952,9.815e-15
1248.309448,9.7383e-15
1248.892822,9.2e-15
1249.476318,9.9194e-15
1250.059692,9.186e-15
1250.643188,9.2563e-15
1251.226562,8.6106e-15
1251.810059,9.7083e-15
1252.393433,9.3174e-15
1252.976929,9.2709e-15
1253.560303,9.3716e-15
1254.143799,9.893e-15
1254.727173,9.6517e-15
1255.310669,9.5328e-15
1255.894043,9.3169e-15
1256.477417,1.0608e-14
1257.060913,9.2819e-15
1257.644287,9.4707e-15
1258.227783,9.8275e-15
1258.811157,9.7333e-15
1259.394531,8.5717e-15
1259.978027,8.7928e-15
1260.561401,7.1624e-15
1261.144775,9.1309e-15
1261.728271,9.5232e-15
1262.311646,9.0986e-15
1262.89502,9.5286e-15
1263.478394,9.8119e-15
1264.06189,1.0056e-14
1264.645264,9.0376e-15
1265.228638,9.3923e-15
1265.812012,8.9778e-15
1266.395386,9.8362e-15
1266.978882,1.0191e-14
1267.562256,9.2039e-15
1268.14563,9.0666e-15
1268.729004,1.0101e-14
1269.312378,9.794e-15
1269.895752,1.0069e-14
1270.479126,9.5024e-15
1271.0625,9.899e-15
1271.645996,9.8707e-15
1272.22937,9.8525e-15
1272.812744,1.0367e-14
1273.396118,9.5859e-15
1273.979492,1.0218e-14
1274.562866,9.228e-15
1275.14624,8.6689e-15
1275.729614,1.0248e-14
1276.312988,9.8651e-15
1276.896362,9.1959e-15
1277.479736,1.0017e-14
1278.06311,8.7546e-15
1278.646484,8.6523e-15
1279.229858,1.0167e-14
1279.81311,9.3894e-15
1280.396484,9.4175e-15
1280.979858,1.037e-14
1281.563232,9.7379e-15
1282.146606,9.0017e-15
1282.72998,9.7727e-15
1283.313354,8.9427e-15
1283.896606,9.0331e-15
1284.47998,9.055e-15
1285.063354,9.0965e-15
1285.646729,9.3316e-15
1286.230103,8.7561e-15
1286.813354,8.3338e-15
1287.396729,9.3848e-15
1287.980103,8.9377e-15
1288.563477,9.1082e-15
1289.146729,9.7927e-15
1289.730103,9.7709e-15
1290.313477,9.2845e-15
1290.896729,9.8307e-15
1291.480103,9.2924e-15
1292.063477,9.0171e-15
1292.646729,9.5502e-15
1293.230103,8.6948e-15
1293.813477,9.0424e-15
1294.396729,9.616e-15
1294.980103,9.46e-15
1295.563354,9.7802e-15
1296.146729,9.5586e-15
1296.72998,9.5454e-15
1297.313354,8.8949e-15
1297.896729,9.7023e-15
1298.47998,9.4818e-15
1299.063354,8.3611e-15
1299.646606,8.2187e-15
1300.22998,7.9314e-15
1300.813232,9.1442e-15
1301.396484,9.7072e-15
1301.979858,8.1283e-15
1302.56311,8.0425e-15
1303.146484,8.3543e-15
1303.729736,9.4294e-15
1304.31311,8.3533e-15
1304.896362,8.2127e-15
1305.479614,8.3786e-15
1306.062988,8.3859e-15
1306.64624,9.1627e-15
1307.229492,9.0047e-15
1307.812866,9.0524e-15
1308.396118,9.0381e-15
1308.97937,8.9051e-15
1309.562744,9.0448e-15
1310.145996,8.9271e-15
1310.729248,8.0664e-15
1311.3125,9.6087e-15
1311.895874,8.6612e-15
1312.479126,9.1369e-15
1313.062378,9.681e-15
1313.64563,8.456e-15
1314.228882,8.6727e-15
1314.812256,8.6723e-15
1315.395508,8.5928e-15
1315.97876,8.474e-15
1316.562012,8.4889e-15
1317.145264,9.2362e-15
1317.728516,8.3576e-15
1318.311768,8.8957e-15
1318.895142,8.7712e-15
1319.478394,8.8382e-15
1320.061646,8.808e-15
1320.644897,9.2095e-15
1321.228149,8.8025e-15
1321.811401,8.9063e-15
1322.394653,9.5418e-15
1322.977905,8.1208e-15
1323.561157,8.5756e-15
1324.144409,8.7838e-15
1324.727661,8.062e-15
1325.310913,8.5777e-15
1325.894165,8.8039e-15
1326.477417,8.2057e-15
1327.060547,8.1431e-15
1327.643799,8.0182e-15
1328.227051,8.8575e-15
1328.810303,8.8383e-15
1329.393555,7.7636e-15
1329.976807,8.6576e-15
1330.560059,8.2108e-15
1331.143311,9.4515e-15
1331.72644,7.7753e-15
1332.309692,8.3876e-15
1332.892944,7.6664e-15
1333.476196,7.6858e-15
1334.059448,7.2679e-15
1334.642578,6.8216e-15
1335.22583,7.8721e-15
1335.809082,7.7212e-15
1336.392334,8.0619e-15
1336.975464,8.3865e-15
