wave,flux
1140.5335693359375,-1.1104e-15
1141.117188,1.4633e-16
1141.700928,-7.7562e-16
1142.284668,-6.5986e-16
1142.868286,-5.4805e-16
1143.452026,-4.6842e-16
1144.035767,-3.9602e-16
1144.619385,-3.4089e-16
1145.203125,-2.9332e-16
1145.786865,-2.5716e-16
1146.370483,2.8272e-16
1146.954224,2.8713e-16
1147.537842,-1.7923e-16
1148.121582,-1.6175e-16
1148.7052,2.2502e-16
1149.28894,1.5981e-17
1149.872559,-1.2291e-16
1150.456299,2.382e-17
1151.039917,1.3384e-16
1151.623657,-9.8607e-17
1152.207275,1.0116e-16
1152.791016,-8.6968e-17
1153.374634,-8.2141e-17
1153.958374,-7.812e-17
1154.541992,-7.4226e-17
1155.125732,-7.1025e-17
1155.709351,-6.8026e-17
1156.292969,8.0942e-17
1156.876709,8.1651e-17
1157.460327,8.3329e-17
1158.043945,-5.8751e-17
1158.627686,7.9837e-17
1159.211304,-5.5347e-17
1159.794922,-5.364e-17
1160.378662,-5.9096e-17
1160.96228,-5.0901e-17
1161.545898,-4.9632e-17
1162.129639,-4.8495e-17
1162.713257,-4.7385e-17
1163.296875,-4.6251e-17
1163.880493,6.3843e-17
1164.464111,-4.4306e-17
1165.047852,6.554e-17
1165.63147,-4.263e-17
1166.215088,-4.1854e-17
1166.798706,-4.1187e-17
1167.382324,-4.038e-17
1167.965942,-3.9615e-17
1168.549683,5.7479e-17
1169.133301,4.921e-17
1169.716919,-3.745e-17
1170.300537,3.3127e-18
1170.884155,1.8631e-16
1171.467773,-3.5342e-17
1172.051392,8.7975e-17
1172.63501,-3.3985e-17
1173.218628,-3.3322e-17
1173.802246,4.0376e-17
1174.385864,4.0947e-17
1174.969482,-3.1526e-17
1175.553101,-3.1001e-17
1176.136719,-3.0512e-17
1176.720337,-3.0087e-17
1177.303955,-2.9683e-17
1177.887573,3.9083e-17
1178.471191,1.0904e-16
1179.05481,3.8595e-17
1179.638428,1.0915e-16
1180.222046,1.0135e-16
1180.805542,-2.7394e-17
1181.38916,1.3511e-18
1181.972778,3.5705e-18
1182.556396,3.3864e-17
1183.140015,1.007e-16
1183.723633,3.5452e-17
1184.307129,1.222e-16
1184.890747,3.4008e-17
1185.474365,-1.1753e-16
1186.057983,-4.2274e-17
1186.641479,-7.2782e-17
1187.225098,4.1476e-17
1187.808716,4.3596e-18
1188.392334,-1.1224e-16
1188.97583,-3.4929e-17
1189.559448,-5.8543e-17
1190.143066,1.1276e-17
1190.726562,-1.3069e-17
1191.310181,-3.0574e-16
1191.893799,2.1098e-17
1192.477295,2.5242e-17
1193.060913,-9.6752e-16
1193.644409,7.7969e-16
1194.228027,-2.4168e-17
1194.811646,-2.3597e-16
1195.395142,-1.4757e-16
1195.97876,5.2724e-17
1196.562256,1.224e-16
1197.145874,-5.0545e-18
1197.72937,5.9112e-16
1198.312988,1.1048e-15
1198.896484,-3.7512e-16
1199.480103,4.6845e-17
1200.063599,1.3048e-16
1200.647217,-2.1734e-16
1201.230713,8.2572e-16
1201.814209,-1.4296e-16
1202.397827,4.14e-17
1202.981323,-3.414e-16
1203.564941,5.4331e-16
1204.148438,1.8504e-16
1204.731934,6.1986e-16
1205.315552,2.98e-16
1205.899048,-5.6201e-16
1206.482544,2.7188e-16
1207.066162,4.1941e-16
1207.649658,2.7135e-16
1208.233154,6.3578e-17
1208.816772,-6.9367e-16
1209.400269,-3.1403e-16
1209.983765,4.2787e-17
1210.567261,-1.9421e-17
1211.150879,-5.263e-16
1211.734375,4.113e-17
1212.317871,-8.1508e-17
1212.901367,-5.0998e-16
1213.484863,-1.678e-16
1214.068359,-5.9513e-16
1214.651978,-5.609e-16
1215.235474,-3.6905e-16
1215.81897,-2.8509e-16
1216.402466,5.4988e-17
1216.985962,-6.2476e-16
1217.569458,-9.1607e-17
1218.152954,-3.6278e-16
1218.73645,1.3847e-17
1219.319946,5.6436e-16
1219.903442,3.0319e-16
1220.486938,1.6276e-16
1221.070435,3.9475e-16
1221.653931,-2.6126e-16
1222.237427,-2.9464e-16
1222.820923,9.4651e-17
1223.404419,-3.1357e-16
1223.987915,-3.3883e-16
1224.571411,-2.9858e-16
1225.154907,-3.4063e-16
1225.738403,4.0115e-16
1226.321899,-2.6646e-17
1226.905396,-1.0067e-16
1227.488892,-5.834e-17
1228.072388,-2.6649e-16
1228.655884,-3.6251e-16
1229.239258,1.4453e-16
1229.822754,-3.4554e-16
1230.40625,-7.0994e-16
1230.989746,-1.4881e-17
1231.573242,-3.7871e-16
1232.156616,1.3565e-16
1232.740112,2.7912e-16
1233.323608,1.3731e-16
1233.907104,-1.7308e-16
1234.490479,6.2071e-17
1235.073975,-7.4013e-18
1235.657471,-2.4185e-16
1236.240967,5.0703e-16
1236.824341,-6.0286e-17
1237.407837,-5.1873e-17
1237.991333,7.7497e-17
1238.574707,-1.6017e-16
1239.158203,1.8014e-16
1239.741699,-1.2185e-16
1240.325073,3.3259e-17
1240.908569,-3.0511e-17
1241.491943,-3.1737e-17
1242.075439,7.6483e-17
1242.658813,3.6644e-18
1243.24231,-3.4255e-18
1243.825806,3.1029e-18
1244.40918,-1.0242e-17
