wave,flux
900.452,1.275734e-17
901.354,1.7265205e-17
902.258,1.8341225e-17
903.163,1.8789565e-17
904.068,1.9221603e-17
904.974,1.975146e-17
905.882,2.028947e-17
906.79,2.0803023e-17
907.699,2.1332882e-17
908.609,2.187089e-17
909.52,2.2417051e-17
910.431,2.2987667e-17
911.344,2.3599041e-17
912.258,2.443051e-17
913.172,2.6729278e-17
914.088,4.855941e-17
915.004,3.7465006e-16
915.921,2.423487e-15
916.84,7.0544423e-15
917.759,1.18688095e-14
918.679,1.5830514e-14
919.6,1.9979706e-14
920.522,2.2898e-14
921.445,2.7022736e-14
922.368,2.9892118e-14
923.293,3.2231643e-14
924.219,4.738557e-14
925.145,4.8086613e-14
926.073,3.726937e-14
927.001,5.205647e-14
927.93,7.7310296e-14
928.86,8.0122615e-14
929.792,5.8145756e-14
930.724,4.1157707e-14
931.657,6.208301e-14
932.591,9.6760145e-14
933.526,1.1860658e-13
934.462,1.2520943e-13
935.398,1.1656867e-13
936.336,8.950517e-14
937.275,5.5129644e-14
938.214,5.4844336e-14
939.155,9.488527e-14
940.097,1.3246439e-13
941.039,1.5357718e-13
941.982,1.664568e-13
942.927,1.7354874e-13
943.872,1.758312e-13
944.818,1.6670134e-13
945.765,1.6018003e-13
946.714,1.6360372e-13
947.663,1.4811557e-13
948.613,1.034445e-13
949.564,6.4748594e-14
950.516,9.056489e-14
951.468,1.521914e-13
952.422,1.9270513e-13
953.377,2.1438852e-13
954.333,2.3810985e-13
955.29,2.6248329e-13
956.247,2.8400367e-13
957.206,3.0030698e-13
958.166,3.0544252e-13
959.126,3.073989e-13
960.088,3.0625768e-13
961.05,3.1261598e-13
962.014,3.2044156e-13
962.978,3.181591e-13
963.943,3.0210033e-13
964.91,3.0136668e-13
965.877,3.2908233e-13
966.845,3.4840173e-13
967.815,3.4709749e-13
968.785,3.304681e-13
969.756,2.934596e-13
970.728,2.2580085e-13
971.701,1.3336108e-13
972.675,9.333645e-14
973.651,1.615658e-13
974.627,2.644397e-13
975.604,3.4082071e-13
976.582,3.8793727e-13
977.561,4.1141404e-13
978.541,4.2641308e-13
979.522,4.412491e-13
980.504,4.5029743e-13
981.487,4.555145e-13
982.471,4.6513347e-13
983.456,4.741818e-13
984.442,4.700244e-13
985.428,4.7263295e-13
986.416,4.8714293e-13
987.405,4.7230687e-13
988.395,4.377439e-13
989.386,4.0750124e-13
990.378,4.0301784e-13
991.371,4.5029743e-13
992.365,4.8787656e-13
993.359,4.995334e-13
994.355,4.758121e-13
995.352,4.8062156e-13
996.35,5.082557e-13
997.349,5.199941e-13
998.349,5.3067273e-13
999.349,5.424111e-13
1000.351,5.587144e-13
1001.354,5.7689265e-13
1002.358,5.905874e-13
1003.363,6.0208126e-13
1004.369,6.0672767e-13
