wave,flux
1710.136353,2.5948e-14
1711.507202,2.2976e-14
1712.878052,1.2753e-14
1714.248901,1.5907e-14
1715.619873,2.2862e-14
1716.990845,2.31e-14
1718.361694,2.5175e-14
1719.732666,2.2893e-14
1721.103638,2.8087e-14
1722.474609,2.2611e-14
1723.845581,1.6861e-14
1725.216675,3.2265e-14
1726.587646,2.5927e-14
1727.958618,2.8583e-14
1729.329712,2.4937e-14
1730.700806,3.2766e-14
1732.071899,3.8314e-14
1733.442993,3.4385e-14
1734.814087,3.3366e-14
1736.185181,3.7596e-14
1737.556274,3.5324e-14
1738.927368,3.5432e-14
1740.298584,4.1421e-14
1741.6698,3.7495e-14
1743.040894,4.4687e-14
1744.412109,4.6094e-14
1745.783325,3.9983e-14
1747.154541,4.8627e-14
1748.525757,4.0716e-14
1749.896973,4.4931e-14
1751.268311,4.8899e-14
1752.639526,4.9903e-14
1754.010864,4.7425e-14
1755.38208,5.4311e-14
1756.753418,5.0004e-14
1758.124756,4.8599e-14
1759.496094,5.0366e-14
1760.867432,5.4414e-14
1762.23877,5.364e-14
1763.610229,4.9724e-14
1764.981567,4.6864e-14
1766.353027,4.5728e-14
1767.724365,4.9917e-14
1769.095825,5.0221e-14
1770.467285,4.7948e-14
1771.838745,5.2283e-14
1773.210205,5.9034e-14
1774.581665,5.3681e-14
1775.953125,5.1496e-14
1777.324585,6.1464e-14
1778.696167,5.8781e-14
1780.067627,6.1621e-14
1781.439209,5.9641e-14
1782.810791,6.2646e-14
1784.182251,6.3517e-14
1785.553833,6.937e-14
1786.925415,6.6464e-14
1788.297119,6.9742e-14
1789.668701,6.1101e-14
1791.040283,6.5185e-14
1792.411987,6.8256e-14
1793.783569,7.1264e-14
1795.155273,7.4002e-14
1796.526855,7.226e-14
1797.89856,6.8722e-14
1799.270264,7.1681e-14
1800.641968,6.8119e-14
1802.013672,7.3974e-14
1803.385498,7.0201e-14
1804.757202,7.4101e-14
1806.128906,6.4812e-14
1807.500732,6.3771e-14
1808.872437,7.0156e-14
1810.244263,7.2017e-14
1811.616089,7.3085e-14
1812.987915,7.3441e-14
1814.359741,7.1375e-14
1815.731567,7.5574e-14
1817.103394,7.2857e-14
1818.47522,7.7627e-14
1819.847168,7.2193e-14
1821.218994,7.0905e-14
1822.590942,7.6518e-14
1823.962769,8.5098e-14
1825.334717,7.9091e-14
1826.706665,8.1366e-14
1828.078613,7.6155e-14
1829.450562,8.0144e-14
1830.82251,8.0989e-14
1832.194458,8.2351e-14
1833.566406,9.0344e-14
1834.938477,9.2346e-14
1836.310425,8.7492e-14
1837.682495,8.9661e-14
1839.054443,8.0624e-14
1840.426514,7.4942e-14
1841.798584,7.6688e-14
1843.170654,8.2991e-14
1844.542725,8.1057e-14
1845.914795,7.3317e-14
1847.286865,6.7919e-14
1848.658936,7.2451e-14
1850.031006,7.4524e-14
1851.403198,7.6845e-14
1852.775269,7.7537e-14
1854.147461,8.8912e-14
1855.519653,8.8863e-14
1856.891846,9.1851e-14
1858.263916,8.6926e-14
1859.636108,8.9295e-14
1861.008301,1.023e-13
1862.380615,9.0678e-14
1863.752808,8.9682e-14
1865.125,9.1716e-14
1866.497192,9.1318e-14
1867.869507,9.6607e-14
1869.241699,9.9049e-14
1870.614014,9.7558e-14
1871.986328,9.2928e-14
1873.358643,9.814e-14
1874.730957,9.1431e-14
1876.103149,9.4939e-14
1877.475586,1.0173e-13
1878.8479,1.0261e-13
1880.220215,9.9542e-14
1881.592529,9.9777e-14
1882.964966,1.0896e-13
1884.33728,1.0547e-13
1885.709717,1.0649e-13
1887.082031,1.002e-13
1888.454468,9.9319e-14
1889.826904,1.0479e-13
1891.199341,1.0596e-13
1892.571777,1.123e-13
1893.944214,1.0805e-13
1895.31665,1.0889e-13
1896.689087,1.0822e-13
1898.061523,1.0471e-13
1899.43396,1.0706e-13
1900.806519,9.8124e-14
1902.178955,1.0283e-13
1903.551514,1.0813e-13
1904.924072,1.0335e-13
1906.296509,1.1046e-13
1907.669067,1.0973e-13
1909.041626,1.0266e-13
1910.414185,1.0459e-13
1911.786743,1.0868e-13
1913.159302,1.1314e-13
1914.53186,1.1057e-13
1915.904541,1.1761e-13
1917.2771,1.1615e-13
1918.649658,1.1718e-13
1920.022339,1.2115e-13
1921.394897,1.1935e-13
1922.767578,1.1882e-13
1924.140259,1.2081e-13
1925.512939,1.177e-13
1926.885498,1.1216e-13
1928.258179,1.1701e-13
1929.630859,1.0457e-13
1931.00354,9.8714e-14
1932.376343,1.1208e-13
1933.749023,1.1791e-13
1935.121704,1.2022e-13
1936.494385,1.1911e-13
1937.867188,1.2248e-13
1939.239868,1.2298e-13
1940.612671,1.2014e-13
1941.985474,1.2773e-13
1943.358154,1.2737e-13
1944.730957,1.2763e-13
1946.10376,1.2157e-13
1947.476562,1.3082e-13
1948.849365,1.2472e-13
1950.222168,1.2438e-13
1951.594971,1.2151e-13
1952.967773,1.2697e-13
1954.340698,1.2909e-13
1955.713501,1.2764e-13
1957.086304,1.2758e-13
1958.459229,1.2413e-13
1959.832031,1.2821e-13
1961.204956,1.2932e-13
1962.577881,1.2267e-13
1963.950684,1.3116e-13
1965.323608,1.3305e-13
1966.696533,1.3352e-13
1968.069458,1.3673e-13
1969.442383,1.3559e-13
1970.815308,1.3964e-13
1972.188232,1.4045e-13
1973.561157,1.3646e-13
1974.934204,1.3895e-13
1976.307129,1.3414e-13
1977.680054,1.315e-13
1979.053101,1.3091e-13
1980.426025,1.3138e-13
1981.799072,1.3554e-13
1983.172119,1.329e-13
1984.545044,1.3941e-13
1985.918091,1.4195e-13
1987.291138,1.3531e-13
1988.664185,1.2888e-13
1990.037231,1.3562e-13
1991.410278,1.3691e-13
1992.783325,1.396e-13
1994.156372,1.4262e-13
1995.529419,1.4448e-13
1996.902466,1.4533e-13
1998.275635,1.4365e-13
1999.648682,1.4081e-13
2001.021851,1.4608e-13
2002.394897,1.4099e-13
2003.768066,1.3928e-13
2005.141113,1.4443e-13
2006.514282,1.4265e-13
2007.887451,1.3806e-13
2009.260498,1.4561e-13
2010.633667,1.4279e-13
2012.006836,1.3524e-13
2013.380005,1.4277e-13
2014.753174,1.424e-13
2016.126343,1.451e-13
2017.499512,1.4611e-13
2018.872681,1.486e-13
2020.245972,1.4422e-13
2021.619141,1.5275e-13
2022.99231,1.4663e-13
2024.365601,1.4509e-13
2025.73877,1.3257e-13
2027.112061,1.3487e-13
2028.485229,1.4763e-13
2029.858521,1.4856e-13
2031.231689,1.5561e-13
2032.60498,1.5191e-13
2033.978271,1.5062e-13
2035.351562,1.4997e-13
2036.724854,1.5561e-13
2038.098145,1.5553e-13
2039.471436,1.5331e-13
2040.844727,1.575e-13
2042.218018,1.574e-13
2043.591309,1.6202e-13
2044.9646,1.5954e-13
2046.337891,1.6333e-13
2047.711304,1.6512e-13
2049.084473,1.6261e-13
2050.458008,1.6285e-13
2051.831299,1.6247e-13
2053.20459,1.6159e-13
2054.577881,1.5861e-13
2055.951416,1.5156e-13
2057.324707,1.4642e-13
2058.697998,1.5303e-13
2060.071533,1.5543e-13
2061.444824,1.5065e-13
2062.818115,1.4809e-13
