wave,flux
1140.3060302734375,4.005e-15
1140.889648,3.5207e-15
1141.473389,1.18e-15
1142.057007,1.2069e-14
1142.640747,1.0654e-14
1143.224365,-2.6964e-15
1143.808105,3.46e-15
1144.391724,6.825e-15
1144.975342,3.5077e-15
1145.559082,5.845e-15
1146.1427,1.0871e-14
1146.726318,2.1442e-15
1147.310059,5.2188e-15
1147.893677,5.438e-15
1148.477295,4.5096e-15
1149.061035,3.4675e-15
1149.644653,5.9367e-15
1150.228271,3.8032e-15
1150.812012,3.9378e-15
1151.39563,6.6789e-15
1151.979248,3.4908e-15
1152.562866,4.9893e-15
1153.146606,4.0884e-15
1153.730225,3.1475e-15
1154.313843,3.2385e-15
1154.897461,3.0838e-15
1155.481079,4.3957e-15
1156.064819,3.6628e-15
1156.648438,2.574e-15
1157.232056,2.8213e-15
1157.815674,2.1447e-15
1158.399292,2.5969e-15
1158.98291,2.0292e-15
1159.566528,3.5191e-15
1160.150146,3.8227e-15
1160.733765,2.4676e-15
1161.317383,2.3198e-15
1161.901001,2.875e-15
1162.484619,3.2606e-15
1163.068237,2.4575e-15
1163.651855,1.9755e-15
1164.235474,2.6126e-15
1164.819092,1.8849e-15
1165.40271,2.7e-15
1165.986328,2.1053e-15
1166.569946,1.8823e-15
1167.153564,1.4499e-15
1167.737183,2.1595e-15
1168.320801,6.742e-16
1168.904419,1.3316e-15
1169.488037,2.3485e-15
1170.071655,1.4974e-15
1170.655273,2.6945e-15
1171.23877,1.2935e-15
1171.822388,1.6393e-15
1172.406006,2.1047e-15
1172.989624,2.6108e-15
1173.573242,1.6114e-15
1174.156738,2.0953e-15
1174.740356,1.8708e-15
1175.323975,1.5406e-15
1175.907593,3.0819e-15
1176.491089,1.0498e-15
1177.074707,1.5358e-15
1177.658325,1.8867e-15
1178.241821,2.1566e-15
1178.825439,1.6477e-15
1179.409058,1.8429e-15
1179.992554,1.4505e-15
1180.576172,2.0369e-15
1181.15979,2.7606e-15
1181.743286,1.0714e-15
1182.326904,1.2717e-15
1182.910522,1.9757e-15
1183.494019,2.2903e-15
1184.077637,2.5897e-15
1184.661133,2.1299e-15
1185.244751,2.0597e-15
1185.828247,1.5577e-15
1186.411865,9.6248e-16
1186.995361,7.9912e-16
1187.578979,1.3685e-15
1188.162476,1.7516e-15
1188.746094,9.3633e-16
1189.32959,1.1598e-15
1189.913208,1.1708e-15
1190.496704,6.1048e-16
1191.080322,9.9424e-16
1191.663818,2.1174e-15
1192.247314,-1.2489e-15
1192.830933,-5.3542e-16
1193.414429,2.8625e-15
1193.997925,1.9017e-17
1194.581543,1.2724e-15
1195.165039,2.0735e-16
1195.748535,2.0977e-15
1196.332153,1.2982e-15
1196.915649,8.8476e-16
1197.499146,1.899e-15
1198.082764,4.1858e-16
1198.66626,2.8482e-16
1199.249756,6.7312e-16
1199.833252,8.4343e-16
1200.416748,2.6092e-15
1201.000366,1.9049e-15
1201.583862,1.956e-15
1202.167358,1.0878e-15
1202.750854,-8.9187e-16
1203.334351,-2.861e-16
1203.917969,5.5335e-16
1204.501465,-2.3459e-16
1205.084961,1.4503e-15
1205.668457,6.4269e-16
1206.251953,1.583e-15
1206.835449,-3.0401e-16
1207.418945,-8.2493e-16
1208.002441,7.7304e-16
1208.585938,-9.1059e-16
1209.169434,4.5161e-16
1209.75293,-2.6392e-16
1210.336426,3.6928e-15
1210.919922,4.9811e-16
1211.503418,4.6623e-17
1212.086914,6.1479e-16
1212.67041,-6.941e-16
1213.253906,7.5135e-16
1213.837402,2.1213e-15
1214.420898,-5.6883e-16
1215.004395,-2.2542e-16
1215.587891,3.4291e-16
1216.171387,5.1514e-16
1216.754883,7.1555e-16
1217.338257,-1.9379e-15
1217.921753,-2.1091e-15
1218.505249,-5.6679e-16
1219.088745,6.4599e-16
1219.672241,-4.8163e-16
1220.255737,-3.7233e-16
1220.839111,4.4429e-16
1221.422607,2.3705e-15
1222.006104,-3.1969e-16
1222.5896,4.4003e-16
1223.172974,2.1552e-15
1223.75647,5.7996e-16
1224.339966,1.3749e-15
1224.92334,-9.5972e-16
1225.506836,-6.9484e-16
1226.090332,2.4641e-15
1226.673706,2.4491e-15
1227.257202,-2.1083e-16
1227.840698,1.8568e-15
1228.424072,2.119e-15
1229.007568,3.7645e-16
1229.591064,2.1455e-15
1230.174438,3.9736e-15
1230.757935,3.7682e-15
1231.341309,7.1467e-16
1231.924805,2.3883e-15
1232.508179,2.6861e-15
1233.091675,1.9981e-15
1233.675049,2.04e-15
1234.258545,2.5225e-15
1234.841919,2.158e-15
1235.425415,2.3698e-15
1236.008789,4.85e-16
1236.592285,3.0017e-15
1237.175659,3.9156e-15
1237.759155,2.8866e-15
1238.342529,3.359e-15
1238.925903,3.2306e-15
1239.509399,4.054e-15
1240.092773,2.7187e-15
1240.67627,3.1682e-15
1241.259644,3.5195e-15
1241.843018,3.7714e-15
1242.426514,4.0594e-15
1243.009888,4.1948e-15
1243.593262,4.3004e-15
1244.176758,4.2888e-15
1244.760132,4.9482e-15
1245.343506,4.6751e-15
1245.92688,5.9816e-15
1246.510376,5.9539e-15
1247.09375,5.9238e-15
1247.677124,6.5626e-15
1248.260498,5.808e-15
1248.843872,7.2837e-15
1249.427368,7.0955e-15
1250.010742,7.743e-15
1250.594116,6.7207e-15
1251.17749,9.2525e-15
1251.760864,9.4485e-15
1252.344238,1.0689e-14
1252.927612,1.0698e-14
1253.510986,1.1356e-14
1254.094482,1.2078e-14
1254.677856,1.2859e-14
1255.26123,1.299e-14
1255.844604,1.4119e-14
1256.427979,1.4445e-14
1257.011353,1.4232e-14
1257.594727,1.4323e-14
1258.178101,1.3277e-14
1258.761475,1.1872e-14
1259.344849,1.0916e-14
1259.928223,1.0166e-14
1260.511597,9.1077e-15
1261.094971,1.0758e-14
1261.678223,1.4572e-14
1262.261597,1.5582e-14
1262.844971,1.8875e-14
1263.428345,1.857e-14
1264.011719,1.552e-14
1264.595093,1.465e-14
1265.178467,1.4478e-14
1265.761719,1.8178e-14
1266.345093,2.4225e-14
1266.928467,3.1987e-14
1267.511841,3.8386e-14
1268.095215,4.6195e-14
1268.678467,5.2399e-14
1269.261841,5.4699e-14
1269.845215,5.8565e-14
1270.428589,6.3278e-14
1271.011841,6.4295e-14
1271.595215,6.3914e-14
1272.178589,6.466e-14
1272.761841,6.5147e-14
1273.345215,7.0483e-14
1273.928589,6.6069e-14
1274.511841,5.7127e-14
1275.095215,5.0261e-14
1275.678589,4.717e-14
1276.261841,5.3608e-14
1276.845215,5.7886e-14
1277.428467,6.008e-14
1278.011841,7.1423e-14
1278.595215,8.6051e-14
1279.178467,8.4833e-14
1279.761841,8.4564e-14
1280.345093,9.0649e-14
1280.928467,1.0215e-13
1281.511719,1.1791e-13
1282.095093,1.301e-13
1282.678345,1.2927e-13
1283.261719,1.3567e-13
1283.844971,1.3871e-13
1284.428345,1.4087e-13
1285.011597,1.4819e-13
1285.594849,1.3954e-13
1286.178223,1.2973e-13
1286.761475,1.1609e-13
1287.344727,1.0949e-13
1287.928101,9.6842e-14
1288.511353,9.3662e-14
1289.094727,1.025e-13
1289.677979,1.135e-13
1290.26123,1.1811e-13
1290.844482,1.2654e-13
1291.427856,1.3771e-13
1292.011108,1.403e-13
1292.59436,1.5147e-13
1293.177734,1.5586e-13
1293.760986,1.5974e-13
1294.344238,1.5737e-13
1294.92749,1.5329e-13
1295.510742,1.5422e-13
1296.094116,1.5344e-13
1296.677368,1.6354e-13
1297.26062,1.7956e-13
1297.843872,1.7839e-13
1298.427124,1.7328e-13
1299.010376,1.6608e-13
1299.593628,1.7157e-13
1300.177002,1.8017e-13
1300.760254,1.6434e-13
1301.343506,1.476e-13
