wave,flux
1140.2685546875,-1.2768e-15
1140.852295,-1.0619e-15
1141.436035,2.9379e-15
1142.019775,-7.455e-16
1142.603394,-1.1689e-17
1143.187134,-5.3081e-16
1143.770874,-4.5377e-16
1144.354614,-3.868e-16
1144.938354,-3.3427e-16
1145.522095,-2.8987e-16
1146.105713,-2.5507e-16
1146.689453,-2.2502e-16
1147.273193,-2.0114e-16
1147.856934,5.8543e-16
1148.440674,4.7435e-16
1149.024292,-1.4927e-16
1149.608032,-1.3709e-16
1150.191772,2.7716e-16
1150.775391,3.6705e-16
1151.359131,-1.092e-16
1151.942871,-1.0265e-16
1152.526489,2.6193e-16
1153.110229,-9.1235e-17
1153.69397,2.4566e-16
1154.277588,5.6594e-16
1154.861328,-7.8709e-17
1155.445068,2.1907e-16
1156.028687,-7.2565e-17
1156.612427,2.0003e-16
1157.196045,2.3452e-16
1157.779785,-6.5467e-17
1158.363403,6.4028e-16
1158.947144,-6.173e-17
1159.530762,-6.0053e-17
1160.114502,-5.8386e-17
1160.69812,1.569e-16
1161.28186,-5.5678e-17
1161.865479,-5.4428e-17
1162.449219,-5.3297e-17
1163.032837,5.5175e-16
1163.616577,1.7932e-16
1164.200195,3.3877e-16
1164.783936,1.2291e-16
1165.367554,1.4259e-16
1165.951172,1.2359e-16
1166.534912,6.4855e-16
1167.11853,-4.608e-17
1167.702148,2.9087e-16
1168.285889,1.1486e-16
1168.869507,2.7874e-16
1169.453125,-4.309e-17
1170.036865,1.1834e-16
1170.620483,1.1443e-16
1171.204102,-4.0896e-17
1171.787842,1.0679e-16
1172.37146,2.6955e-16
1172.955078,3.9522e-16
1173.538696,1.0046e-16
1174.122314,1.0097e-16
1174.706055,2.2531e-16
1175.289673,6.3214e-16
1175.873291,9.6151e-17
1176.456909,-3.5251e-17
1177.040527,9.5805e-17
1177.624146,3.6801e-16
1178.207886,3.4417e-16
1178.791504,-3.3648e-17
1179.375122,8.5734e-17
1179.95874,2.0937e-16
1180.542358,4.5602e-16
1181.125977,8.1196e-17
1181.709595,2.005e-16
1182.293213,2.0766e-16
1182.876831,7.9843e-17
1183.460449,2.0388e-16
1184.044067,7.0323e-16
1184.627686,4.0725e-16
1185.211304,2.93e-16
1185.794922,2.1245e-16
1186.37854,1.0563e-16
1186.962158,7.4298e-17
1187.545776,2.9406e-16
1188.129395,1.6459e-16
1188.713013,-1.392e-16
1189.296631,2.25e-16
1189.880127,1.7255e-16
1190.463745,1.8902e-16
1191.047363,1.6541e-16
1191.630981,-1.736e-16
1192.2146,5.643e-16
1192.798218,5.8699e-16
1193.381714,-1.0713e-16
1193.965332,-1.7228e-16
1194.54895,1.6805e-16
1195.132568,2.073e-16
1195.716064,3.834e-16
1196.299683,-3.811e-16
1196.883301,2.4407e-18
1197.466919,5.614e-16
1198.050415,1.1759e-16
1198.634033,8.3916e-17
1199.217651,3.729e-16
1199.801147,-1.6788e-16
1200.384766,1.5466e-15
1200.968384,-4.3891e-16
1201.55188,2.5501e-16
1202.135498,5.0518e-17
1202.718994,6.8891e-16
1203.302612,2.733e-16
1203.88623,-8.1881e-16
1204.469727,1.0953e-16
1205.053345,-3.093e-16
1205.636841,2.3049e-16
1206.220459,4.4278e-16
1206.803955,2.5111e-16
1207.387573,8.651e-17
1207.971069,-1.2489e-16
1208.554688,5.7866e-17
1209.138184,-8.4807e-16
1209.721802,1.1269e-16
1210.305298,5.5958e-17
1210.888916,-4.5326e-16
1211.472412,-3.6929e-16
1212.055908,5.1665e-16
1212.639526,9.6187e-17
1213.223022,-4.647e-16
1213.806641,2.5352e-17
1214.390137,3.4552e-16
1214.973633,6.224e-16
1215.557251,6.6166e-16
1216.140747,-6.1344e-16
1216.724243,-4.5432e-16
1217.307739,1.787e-16
1217.891357,-1.7202e-16
1218.474854,-4.126e-17
1219.05835,-1.1436e-16
1219.641846,-3.0549e-16
1220.225464,9.8532e-17
1220.80896,-2.1445e-16
1221.392456,4.0474e-16
1221.975952,-1.748e-16
1222.559448,3.8408e-17
1223.143066,1.2214e-16
1223.726562,4.0091e-16
1224.310059,-1.3791e-16
1224.893555,1.1832e-16
1225.477051,2.296e-16
1226.060547,1.2638e-16
1226.644043,-3.1191e-16
1227.227539,5.7046e-16
1227.811157,3.3057e-16
1228.394653,6.712e-16
1228.978149,-2.844e-17
1229.561646,-1.3964e-16
1230.145142,7.9183e-16
1230.728638,5.6629e-16
1231.312134,7.1859e-16
1231.89563,7.9174e-17
1232.479126,6.135e-17
1233.062622,3.6624e-16
1233.646118,2.0732e-16
1234.229492,1.2887e-16
