wave,flux
1710.502319,7.2246e-15
1711.873047,3.7501e-15
1713.243896,2.5537e-15
1714.614746,1.4557e-14
1715.985596,-5.3274e-15
1717.356445,3.9084e-15
1718.727295,4.1745e-15
1720.098145,3.0192e-15
1721.468994,5.3073e-15
1722.839966,3.6448e-15
1724.210815,4.2504e-16
1725.581787,1.2514e-14
1726.952759,1.4037e-14
1728.32373,1.5613e-15
1729.694702,1.0362e-14
1731.065674,4.1499e-15
1732.436646,-1.1184e-15
1733.807739,1.7075e-14
1735.178711,-3.7492e-15
1736.549805,1.0799e-14
1737.920776,-6.3272e-16
1739.29187,-1.2853e-15
1740.662964,9.8659e-15
1742.034058,2.2057e-15
1743.405151,1.109e-14
1744.776367,1.5385e-14
1746.147461,2.4506e-14
1747.518555,1.4013e-14
1748.889771,8.6401e-15
1750.260986,8.3026e-15
1751.63208,1.291e-14
1753.003296,1.0675e-14
1754.374512,1.8037e-14
1755.745728,1.4276e-14
1757.116943,1.0616e-14
1758.488281,9.3978e-15
1759.859497,1.2587e-14
1761.230835,1.9483e-14
1762.602051,1.2816e-14
1763.973389,1.5495e-14
1765.344727,1.5883e-14
1766.716064,1.316e-14
1768.087402,1.1208e-14
1769.45874,6.5391e-15
1770.830078,2.1202e-14
1772.201538,1.2273e-14
1773.572876,1.5222e-14
1774.944336,1.4875e-14
1776.315674,2.4953e-14
1777.687134,2.4622e-14
1779.058594,1.6562e-14
1780.430054,2.3198e-14
1781.801514,1.1981e-14
1783.172974,1.4293e-14
1784.544434,1.9225e-14
1785.916016,1.726e-14
1787.287476,1.5789e-14
1788.659058,1.6046e-14
1790.030518,2.1265e-14
1791.4021,2.1022e-14
1792.773682,1.5406e-14
1794.145264,1.6432e-14
1795.516846,2.078e-14
1796.888428,1.6239e-14
1798.26001,1.8576e-14
1799.631714,2.2544e-14
1801.003296,1.4191e-14
1802.375,1.9179e-14
1803.746582,1.2047e-14
1805.118286,1.9795e-14
1806.48999,1.6845e-14
1807.861694,1.5824e-14
1809.233398,1.8857e-14
1810.605103,1.6049e-14
1811.976807,1.7217e-14
1813.348511,2.1763e-14
1814.720337,1.6203e-14
1816.092041,2.3305e-14
1817.463867,2.6094e-14
1818.835571,2.3643e-14
1820.207397,1.9909e-14
1821.579224,2.3785e-14
1822.95105,2.7147e-14
1824.322876,2.5117e-14
1825.694702,1.8911e-14
1827.066528,1.5965e-14
1828.438477,1.3435e-14
1829.810303,1.6303e-14
1831.182251,2.2019e-14
1832.554077,1.727e-14
1833.926025,2.6797e-14
1835.297974,2.1722e-14
1836.669922,2.4589e-14
1838.04187,1.8969e-14
1839.413818,1.7755e-14
1840.785767,1.392e-14
1842.157715,1.9622e-14
1843.529663,1.8646e-14
1844.901733,1.7465e-14
1846.273682,2.0213e-14
1847.645752,1.6744e-14
1849.017822,1.7032e-14
1850.389771,1.0179e-14
1851.761841,1.9801e-14
1853.133911,2.0817e-14
1854.505981,2.2366e-14
1855.878052,2.5782e-14
1857.250122,2.1206e-14
1858.622314,1.9787e-14
1859.994385,2.1891e-14
1861.366577,2.4601e-14
1862.738647,2.7771e-14
1864.11084,2.1189e-14
1865.48291,2.1913e-14
1866.855103,2.1337e-14
1868.227295,2.5379e-14
1869.599487,2.1269e-14
1870.97168,3.1178e-14
1872.343872,2.2119e-14
1873.716187,2.8725e-14
1875.088379,2.9687e-14
1876.460571,2.5733e-14
1877.832886,2.4566e-14
1879.205078,2.3254e-14
1880.577393,2.7827e-14
1881.949707,2.7698e-14
1883.321899,2.7692e-14
1884.694214,3.0398e-14
1886.066528,2.8568e-14
1887.438843,2.8544e-14
1888.811157,2.9028e-14
1890.183594,3.0583e-14
1891.555908,2.9537e-14
1892.928223,4.0627e-14
1894.300659,3.2114e-14
