wave,flux
1140.474853515625,8.697e-14
1141.059082,8.4727e-14
1141.643188,7.7363e-14
1142.227417,7.1738e-14
1142.811646,7.2231e-14
1143.395874,7.075e-14
1143.97998,7.3085e-14
1144.564209,7.3769e-14
1145.148438,6.6009e-14
1145.732666,7.8559e-14
1146.316772,8.1265e-14
1146.901001,8.359e-14
1147.485229,8.3945e-14
1148.069336,8.6646e-14
1148.653564,8.7682e-14
1149.237793,8.4489e-14
1149.822021,8.8138e-14
1150.406128,8.299e-14
1150.990356,7.8699e-14
1151.574585,8.3596e-14
1152.158691,8.2197e-14
1152.74292,8.6582e-14
1153.327148,8.3086e-14
1153.911255,8.1626e-14
1154.495483,8.3526e-14
1155.079712,7.9861e-14
1155.663818,8.4904e-14
1156.248047,7.9903e-14
1156.832275,8.3063e-14
1157.416382,8.494e-14
1158.00061,8.4549e-14
1158.584717,8.5386e-14
1159.168945,8.6487e-14
1159.753174,8.4222e-14
1160.33728,8.7083e-14
1160.921509,8.6962e-14
1161.505615,8.6556e-14
1162.089844,8.8744e-14
1162.674072,8.4918e-14
1163.258179,8.4716e-14
1163.842407,8.5971e-14
1164.426514,8.7452e-14
1165.010742,8.4731e-14
1165.594971,8.3886e-14
1166.179077,8.4237e-14
1166.763306,8.4011e-14
1167.347412,8.3484e-14
1167.931641,8.1027e-14
1168.515747,7.9704e-14
1169.099976,7.585e-14
1169.684082,7.6356e-14
1170.268311,8.1018e-14
1170.852417,8.2249e-14
1171.436646,8.242e-14
1172.020752,8.2274e-14
1172.60498,8.0433e-14
1173.189087,8.039e-14
1173.773315,7.9743e-14
1174.357422,8.2679e-14
1174.94165,8.3465e-14
1175.525757,7.8707e-14
1176.109985,7.8743e-14
1176.694092,7.7819e-14
1177.27832,8.1884e-14
1177.862427,8.1692e-14
1178.446655,8.1422e-14
1179.030762,8.3251e-14
1179.61499,8.1551e-14
1180.199097,8.2156e-14
1180.783325,8.2008e-14
1181.367432,8.0934e-14
1181.951538,8.0859e-14
1182.535767,8.0751e-14
1183.119873,8.0358e-14
1183.704102,8.2788e-14
1184.288208,8.0268e-14
1184.872437,8.2307e-14
1185.456543,8.3192e-14
1186.040649,8.286e-14
1186.624878,8.1922e-14
1187.208984,8.2889e-14
1187.793091,7.9559e-14
1188.377319,7.9532e-14
1188.961426,7.8131e-14
1189.545654,7.718e-14
1190.129761,7.455e-14
1190.713867,7.3441e-14
1191.298096,7.4639e-14
1191.882202,7.7311e-14
1192.466309,7.5191e-14
1193.050537,7.0678e-14
1193.634644,7.1633e-14
1194.21875,7.2431e-14
1194.802979,7.4144e-14
1195.387085,7.409e-14
1195.971191,7.4886e-14
1196.55542,7.3556e-14
1197.139526,7.2745e-14
1197.723633,6.9661e-14
1198.307861,6.6558e-14
1198.891968,6.2507e-14
1199.476074,5.8714e-14
1200.060303,5.9011e-14
1200.644409,6.1444e-14
1201.228516,6.3607e-14
1201.812622,6.5954e-14
1202.396851,6.4724e-14
1202.980957,6.4997e-14
1203.565063,6.5313e-14
1204.14917,6.1908e-14
1204.733398,6.1801e-14
1205.317505,5.9697e-14
1205.901611,5.4245e-14
1206.485718,5.4575e-14
1207.069946,5.2187e-14
1207.654053,4.9651e-14
1208.238159,4.9781e-14
1208.822266,4.4685e-14
1209.406372,3.9191e-14
1209.990601,3.6116e-14
1210.574707,3.2006e-14
1211.158813,2.5705e-14
1211.74292,1.9951e-14
1212.327026,1.5691e-14
1212.911255,1.2328e-14
1213.495361,1.041e-14
1214.079468,7.5921e-15
1214.663574,6.8034e-15
1215.247681,7.4563e-15
1215.831787,6.7738e-15
1216.416016,6.5357e-15
1217.000122,8.5028e-15
1217.584229,1.0083e-14
1218.168335,1.107e-14
1218.752441,1.3998e-14
