wave,flux
1148.6,8.8698545e-12
1149.8,8.93788e-12
1151.0,1.0309926e-11
1152.2,1.0230165e-11
1153.4,9.407362e-12
1154.5,8.846796e-12
1155.7,8.6181635e-12
1156.9,8.856907e-12
1158.1,9.281243e-12
1159.3,9.095697e-12
1160.4,9.178103e-12
1161.6,8.875273e-12
1162.8,9.1968915e-12
1164.0,9.429159e-12
1165.2,9.103962e-12
1166.3,8.700604e-12
1167.5,8.653918e-12
1168.7,8.486716e-12
1169.9,8.1994455e-12
1171.1,8.3841874e-12
1172.2,7.878763e-12
1173.4,7.7154064e-12
1174.6,7.775688e-12
1175.8,7.275819e-12
1177.0,8.039638e-12
1178.1,8.2678525e-12
1179.3,8.528224e-12
1180.5,8.408758e-12
1181.7,7.686578e-12
1182.9,8.222286e-12
1184.0,8.121818e-12
1185.2,8.286263e-12
1186.4,8.284858e-12
1187.6,7.769393e-12
1188.8,7.794217e-12
1189.9,7.482376e-12
1191.1,7.2609297e-12
1192.3,7.455831e-12
1193.5,7.578222e-12
1194.7,7.391564e-12
1195.8,7.1389335e-12
1197.0,7.035864e-12
1198.2,6.6657595e-12
1199.4,6.792171e-12
1200.6,6.921644e-12
1201.7,7.1325823e-12
1202.9,7.408996e-12
1204.1,7.1948567e-12
1205.3,7.0930787e-12
1206.5,7.120065e-12
1207.6,7.148751e-12
1208.8,7.61136e-12
1210.0,6.8853478e-12
1211.2,6.3908458e-12
1212.4,5.836443e-12
1213.5,4.9244805e-12
1214.7,4.4551784e-12
1215.9,4.6568487e-12
1217.1,5.3598723e-12
1218.3,6.3878603e-12
1219.4,7.3155666e-12
1220.6,7.823951e-12
1221.8,8.020474e-12
1223.0,7.702495e-12
1224.2,7.9216815e-12
1225.3,7.876589e-12
1226.5,7.736633e-12
1227.7,7.476769e-12
1228.9,7.534213e-12
1230.0,7.8758545e-12
1231.2,8.092299e-12
1232.4,7.915904e-12
1233.6,7.740765e-12
1234.8,7.659113e-12
1235.9,7.500474e-12
1237.1,7.58243e-12
1238.3,7.759589e-12
1239.5,7.264909e-12
1240.7,7.410636e-12
1241.8,7.723799e-12
1243.0,7.740066e-12
1244.2,7.779255e-12
1245.4,7.674058e-12
1246.6,7.243197e-12
1247.7,7.0911133e-12
1248.9,7.0658882e-12
1250.1,6.870708e-12
1251.3,6.9641203e-12
1252.5,6.840967e-12
1253.6,6.959923e-12
1254.8,6.92358e-12
1256.0,7.0482045e-12
1257.2,7.0900586e-12
1258.4,6.893568e-12
1259.5,6.7423163e-12
1260.7,7.059524e-12
1261.9,7.453405e-12
1263.1,7.803365e-12
1264.3,7.822443e-12
1265.4,7.849017e-12
1266.6,7.692509e-12
1267.8,7.775975e-12
1269.0,7.874734e-12
1270.2,7.755384e-12
1271.3,7.582425e-12
1272.5,7.4549585e-12
1273.7,7.295341e-12
1274.9,7.74706e-12
1276.1,7.761368e-12
1277.2,7.583472e-12
1278.4,7.454249e-12
1279.6,7.404922e-12
1280.8,7.647279e-12
1282.0,7.466475e-12
1283.1,7.375403e-12
1284.3,7.289645e-12
1285.5,7.282115e-12
1286.7,7.294605e-12
1287.9,7.4885775e-12
1289.0,7.294097e-12
1290.2,7.538225e-12
1291.4,7.808599e-12
