wave,flux
2900.15283203125,-6.1636e-15
2902.897705,1.2424e-15
2905.642822,2.4047e-15
2908.387695,-3.6748e-16
2911.132568,2.1861e-15
2913.877686,1.5218e-15
2916.622559,-1.0766e-16
2919.367676,3.9467e-16
2922.112793,8.0956e-16
2924.85791,3.9154e-16
2927.603027,9.4175e-16
2930.348145,1.4907e-15
2933.093262,1.8812e-15
2935.838379,1.9256e-15
2938.583496,1.1868e-15
2941.328857,1.0127e-15
2944.073975,9.6137e-16
2946.819336,1.2517e-15
2949.564453,1.3322e-15
2952.309814,1.2276e-15
2955.055176,1.1003e-15
2957.800537,1.2725e-15
2960.545898,1.325e-15
2963.29126,1.5353e-15
2966.036621,1.0559e-15
2968.781982,7.2748e-16
2971.527588,6.2278e-16
2974.272949,7.9198e-16
2977.018311,1.0653e-15
2979.763916,1.4168e-15
2982.509521,1.0141e-15
2985.254883,9.1736e-16
2988.000488,9.9042e-16
2990.746094,1.0788e-15
2993.491699,1.0437e-15
2996.237305,8.6641e-16
2998.983154,8.653e-16
3001.72876,8.3125e-16
3004.474365,7.6321e-16
3007.220215,1.0182e-15
3009.96582,6.5665e-16
3012.71167,9.5513e-16
3015.457275,8.328e-16
3018.203125,8.4907e-16
3020.948975,6.5929e-16
3023.694824,7.4605e-16
3026.440674,9.3932e-16
3029.186523,1.2964e-15
3031.932373,1.5116e-15
3034.678223,1.7377e-15
3037.424072,1.5672e-15
3040.170166,1.2287e-15
3042.916016,1.4516e-15
3045.662109,1.5043e-15
3048.407959,1.4891e-15
3051.154053,1.6328e-15
3053.900146,1.7135e-15
3056.64624,1.6648e-15
3059.392334,1.2906e-15
3062.138428,1.2361e-15
3064.884521,1.3625e-15
3067.630615,1.2955e-15
3070.376709,1.4761e-15
3073.122803,1.7766e-15
3075.869141,1.7557e-15
3078.615234,1.6943e-15
3081.361572,1.7969e-15
3084.107666,1.5693e-15
3086.854004,1.8498e-15
3089.600342,1.8446e-15
3092.34668,1.5216e-15
3095.093018,1.4157e-15
3097.839355,1.4791e-15
3100.585693,1.3832e-15
3103.332031,1.3762e-15
3106.078369,1.9029e-15
3108.824707,2.3533e-15
3111.571289,2.6786e-15
3114.317627,2.5631e-15
3117.063965,2.3507e-15
3119.810547,2.0864e-15
3122.557129,1.8981e-15
3125.303467,1.9905e-15
3128.050049,2.0246e-15
3130.796631,2.0593e-15
3133.543213,2.0698e-15
3136.289795,2.0811e-15
3139.036377,2.2775e-15
3141.782959,2.1661e-15
3144.529541,1.9756e-15
3147.276123,1.8008e-15
3150.022949,2.1654e-15
3152.769531,2.3128e-15
3155.516357,2.4593e-15
3158.262939,2.1993e-15
3161.009766,1.8657e-15
3163.756348,1.7672e-15
3166.503174,2.0375e-15
3169.25,2.2349e-15
3171.996826,2.5141e-15
3174.743652,2.8266e-15
3177.490479,2.952e-15
3180.237305,2.5431e-15
3182.984131,2.1266e-15
3185.730957,2.0659e-15
3188.477783,2.3374e-15
3191.224854,2.5238e-15
3193.97168,2.1605e-15
3196.718506,2.2484e-15
3199.465576,2.5456e-15
3202.212402,3.283e-15
3204.959473,2.9563e-15
3207.706543,2.8977e-15
3210.453369,2.7611e-15
