wave,flux
2222.3,1.8671e-15
2222.8,1.9534e-15
2223.3,1.8985e-15
2223.8,2.4153e-15
2224.3,2.008e-15
2224.9,2.1326e-15
2225.4,1.9826e-15
2225.9,2.0548e-15
2226.4,2.0409e-15
2226.9,1.8602e-15
2227.4,1.9888e-15
2227.9,2.114e-15
2228.5,2.1744e-15
2229.0,2.0649e-15
2229.5,2.0916e-15
2230.0,2.2087e-15
2230.5,2.116e-15
2231.0,2.2207e-15
2231.5,2.5775e-15
2232.1,3.005e-15
2232.6,3.4227e-15
2233.1,3.1552e-15
2233.6,3.3824e-15
2234.1,3.1748e-15
2234.6,3.3238e-15
2235.1,3.3186e-15
2235.7,3.2794e-15
2236.2,3.0618e-15
2236.7,2.6416e-15
2237.2,2.6344e-15
2237.7,2.6433e-15
2238.2,2.6929e-15
2238.7,2.8724e-15
2239.3,2.7326e-15
2239.8,2.7707e-15
2240.3,2.7128e-15
2240.8,2.4075e-15
2241.3,2.2402e-15
2241.8,2.3649e-15
2242.3,2.4018e-15
2242.9,2.1377e-15
2243.4,2.0577e-15
2243.9,2.2728e-15
2244.4,2.3393e-15
2244.9,2.7508e-15
2245.4,2.7049e-15
2245.9,2.9096e-15
2246.5,2.887e-15
2247.0,2.9813e-15
2247.5,2.9996e-15
2248.0,2.6843e-15
2248.5,2.4761e-15
2249.0,2.3868e-15
2249.5,2.2812e-15
2250.1,2.1715e-15
2250.6,2.125e-15
2251.1,2.3367e-15
2251.6,2.4598e-15
2252.1,2.3139e-15
2252.6,2.1042e-15
2253.1,1.9821e-15
2253.7,1.99e-15
2254.2,2.138e-15
2254.7,2.0911e-15
2255.2,2.0876e-15
2255.7,2.0973e-15
2256.2,2.167e-15
2256.7,2.177e-15
2257.3,2.1737e-15
2257.8,2.3153e-15
2258.3,2.2598e-15
2258.8,2.1615e-15
2259.3,1.8489e-15
2259.8,1.7967e-15
2260.3,1.8054e-15
2260.9,1.94e-15
2261.4,2.0638e-15
2261.9,2.1076e-15
2262.4,1.8894e-15
2262.9,1.6168e-15
2263.4,1.6378e-15
2263.9,1.4906e-15
2264.4,1.4959e-15
2265.0,1.4064e-15
2265.5,1.4768e-15
2266.0,1.4017e-15
2266.5,1.4338e-15
2267.0,1.4792e-15
2267.5,1.4074e-15
2268.0,1.2548e-15
2268.6,1.2999e-15
2269.1,1.4606e-15
2269.6,1.3498e-15
2270.1,1.2613e-15
2270.6,1.2913e-15
2271.1,1.4314e-15
2271.6,1.3453e-15
2272.2,1.3985e-15
2272.7,1.6194e-15
2273.2,1.5815e-15
2273.7,1.5018e-15
2274.2,1.58e-15
2274.7,1.6065e-15
2275.2,1.5857e-15
2275.8,1.8717e-15
2276.3,1.7316e-15
2276.8,1.8105e-15
2277.3,2.026e-15
2277.8,1.9022e-15
2278.3,1.7951e-15
2278.8,1.9313e-15
2279.4,2.0523e-15
2279.9,2.1578e-15
2280.4,2.2456e-15
2280.9,2.5276e-15
2281.4,2.5416e-15
2281.9,2.6339e-15
2282.4,2.3282e-15
2282.9,2.3094e-15
2283.5,2.387e-15
2284.0,2.4486e-15
2284.5,2.5769e-15
2285.0,2.5405e-15
2285.5,2.163e-15
2286.0,2.0962e-15
2286.5,1.8897e-15
2287.1,1.8094e-15
2287.6,2.0748e-15
2288.1,2.3415e-15
2288.6,2.0835e-15
2289.1,1.9539e-15
2289.6,1.9455e-15
2290.1,1.9914e-15
2290.7,1.8537e-15
2291.2,1.9582e-15
2291.7,2.021e-15
2292.2,2.1084e-15
2292.7,2.1198e-15
2293.2,2.3641e-15
2293.7,2.2826e-15
2294.2,2.3377e-15
2294.8,2.3461e-15
2295.3,2.371e-15
2295.8,1.9523e-15
2296.3,1.8503e-15
2296.8,1.597e-15
2297.3,1.4678e-15
2297.8,1.4865e-15
2298.4,1.6709e-15
2298.9,1.7156e-15
2299.4,1.7926e-15
2299.9,1.7107e-15
2300.4,1.8885e-15
2300.9,2.1736e-15
2301.4,2.0163e-15
2302.0,2.0534e-15
2302.5,2.046e-15
2303.0,1.947e-15
2303.5,2.1021e-15
2304.0,2.4671e-15
2304.5,2.8037e-15
2305.0,3.0273e-15
2305.5,3.0471e-15
2306.1,3.1656e-15
2306.6,2.8706e-15
2307.1,2.6689e-15
2307.6,2.3703e-15
2308.1,2.2345e-15
2308.6,2.1678e-15
2309.1,1.749e-15
2309.7,1.8041e-15
2310.2,1.6209e-15
2310.7,1.4571e-15
2311.2,1.3921e-15
2311.7,1.509e-15
2312.2,1.5053e-15
2312.7,1.655e-15
2313.3,1.699e-15
2313.8,2.097e-15
2314.3,2.4374e-15
2314.8,2.6295e-15
