wave,flux
1140.5291748046875,2.3065e-13
1141.112793,1.8159e-13
1141.696533,1.7099e-13
1142.280273,1.8851e-13
1142.863892,1.6444e-13
1143.447632,1.8672e-13
1144.031372,1.6622e-13
1144.61499,2.1194e-13
1145.19873,1.9257e-13
1145.782349,2.0401e-13
1146.366089,2.0168e-13
1146.949707,2.0027e-13
1147.533447,1.8875e-13
1148.117065,1.8678e-13
1148.700806,1.868e-13
1149.284424,1.8607e-13
1149.868164,1.9432e-13
1150.451782,1.8727e-13
1151.035522,1.8948e-13
1151.619141,1.9341e-13
1152.202881,1.9208e-13
1152.786499,1.9166e-13
1153.370117,1.8616e-13
1153.953857,1.9729e-13
1154.537476,2.0116e-13
1155.121216,1.8446e-13
1155.704834,1.7917e-13
1156.288452,1.97e-13
1156.872192,1.9427e-13
1157.455811,1.8432e-13
1158.039429,1.8788e-13
1158.623047,1.8726e-13
1159.206787,1.9737e-13
1159.790405,1.8673e-13
1160.374023,1.9495e-13
1160.957642,1.841e-13
1161.541382,1.8186e-13
1162.125,1.978e-13
1162.708618,1.8838e-13
1163.292236,1.8497e-13
1163.875854,1.8325e-13
1164.459595,1.8486e-13
1165.043213,1.7973e-13
1165.626831,1.8315e-13
1166.210449,1.9582e-13
1166.794067,1.8292e-13
1167.377686,1.9422e-13
1167.961304,1.874e-13
1168.544922,1.8249e-13
1169.128662,1.8265e-13
1169.71228,1.8369e-13
1170.295898,1.8077e-13
1170.879517,1.8159e-13
1171.463135,1.82e-13
1172.046753,1.7972e-13
1172.630371,1.8393e-13
1173.213989,1.7641e-13
1173.797607,1.7974e-13
1174.381226,1.7546e-13
1174.964722,1.7867e-13
1175.54834,1.7439e-13
1176.131958,1.741e-13
1176.715576,1.7238e-13
1177.299194,1.7237e-13
1177.882812,1.7401e-13
1178.466431,1.7189e-13
1179.050049,1.7337e-13
1179.633667,1.7287e-13
1180.217163,1.7576e-13
1180.800781,1.6692e-13
1181.384399,1.717e-13
1181.968018,1.5877e-13
1182.551636,1.6243e-13
1183.135132,1.7108e-13
1183.71875,1.6305e-13
1184.302368,1.6614e-13
1184.885986,1.6005e-13
1185.469482,1.5568e-13
1186.053101,1.5806e-13
1186.636719,1.57e-13
1187.220215,1.4949e-13
1187.803833,1.4739e-13
1188.387451,1.5494e-13
1188.970947,1.4238e-13
1189.554565,1.4144e-13
1190.138184,1.3899e-13
1190.72168,1.3225e-13
