wave,flux
1140.1993408203125,2.6195e-13
1140.783081,2.5994e-13
1141.366821,2.829e-13
1141.950562,2.5802e-13
1142.534302,2.7989e-13
1143.11792,2.4819e-13
1143.70166,2.5321e-13
1144.2854,2.6874e-13
1144.869141,2.8259e-13
1145.452881,2.8086e-13
1146.036621,2.5997e-13
1146.620239,2.6599e-13
1147.203979,2.6997e-13
1147.78772,2.7517e-13
1148.37146,2.6747e-13
1148.9552,2.6249e-13
1149.538818,2.6745e-13
1150.122559,2.6704e-13
1150.706299,2.7103e-13
1151.290039,2.6673e-13
1151.873657,2.7247e-13
1152.457397,2.6922e-13
1153.041138,2.5702e-13
1153.624756,2.5709e-13
1154.208496,2.6638e-13
1154.792236,2.7004e-13
1155.375854,2.6382e-13
1155.959595,2.6295e-13
1156.543213,2.5967e-13
1157.126953,2.6284e-13
1157.710693,2.6296e-13
1158.294312,2.621e-13
1158.878052,2.6511e-13
1159.46167,2.6413e-13
1160.04541,2.5688e-13
1160.629028,2.6334e-13
1161.212769,2.6327e-13
1161.796387,2.5977e-13
1162.380127,2.5209e-13
1162.963745,2.5803e-13
1163.547485,2.6071e-13
1164.131104,2.5904e-13
1164.714844,2.6631e-13
1165.298462,2.5843e-13
1165.88208,2.6224e-13
1166.46582,2.5599e-13
1167.049438,2.5717e-13
1167.633057,2.5679e-13
1168.216797,2.6461e-13
1168.800415,2.6348e-13
1169.384155,2.5972e-13
1169.967773,2.6089e-13
1170.551392,2.6324e-13
1171.13501,2.6239e-13
1171.71875,2.5738e-13
1172.302368,2.5988e-13
1172.885986,2.5577e-13
1173.469727,2.5637e-13
1174.053345,2.5377e-13
1174.636963,2.5217e-13
1175.220581,2.4512e-13
1175.804199,2.5013e-13
1176.387939,2.5454e-13
1176.971558,2.5558e-13
1177.555176,2.546e-13
1178.138794,2.5633e-13
1178.722412,2.5906e-13
1179.30603,2.5578e-13
1179.889648,2.563e-13
1180.473389,2.6022e-13
1181.057007,2.653e-13
1181.640625,2.5842e-13
1182.224243,2.5557e-13
1182.807861,2.5416e-13
1183.391479,2.6176e-13
1183.975098,2.6152e-13
1184.558716,2.5453e-13
1185.142334,2.5507e-13
1185.725952,2.5809e-13
1186.30957,2.5739e-13
1186.893188,2.5238e-13
1187.476807,2.5421e-13
1188.060425,2.5978e-13
1188.644043,2.5218e-13
1189.227661,2.5068e-13
1189.811279,2.5135e-13
1190.394775,2.5022e-13
1190.978394,2.5211e-13
1191.562012,2.5682e-13
1192.14563,2.5235e-13
1192.729248,2.4883e-13
1193.312866,2.5324e-13
1193.896484,2.5484e-13
1194.47998,2.502e-13
1195.063599,2.5014e-13
1195.647217,2.5197e-13
1196.230835,2.5609e-13
1196.814453,2.5735e-13
1197.397949,2.5094e-13
1197.981567,2.5321e-13
1198.565186,2.4369e-13
1199.148682,2.4067e-13
1199.7323,2.4045e-13
1200.315918,2.457e-13
1200.899536,2.4657e-13
1201.483032,2.4961e-13
1202.06665,2.5687e-13
1202.650146,2.56e-13
1203.233765,2.5267e-13
1203.817383,2.5574e-13
1204.400879,2.5449e-13
1204.984497,2.5471e-13
1205.567993,2.567e-13
1206.151611,2.5549e-13
1206.735229,2.5858e-13
1207.318726,2.6016e-13
1207.902344,2.555e-13
1208.48584,2.5783e-13
1209.069458,2.5867e-13
1209.652954,2.5702e-13
1210.236572,2.5496e-13
1210.820068,2.5683e-13
1211.403687,2.498e-13
1211.987183,2.4121e-13
1212.570801,2.3786e-13
1213.154297,2.2946e-13
1213.737793,2.0994e-13
1214.321411,1.8895e-13
1214.904907,1.6629e-13
1215.488525,1.5369e-13
1216.072021,1.7285e-13
1216.655518,1.9619e-13
1217.239136,2.1299e-13
1217.822632,2.303e-13
1218.406128,2.3403e-13
1218.989746,2.4384e-13
1219.573242,2.4794e-13
1220.156738,2.4862e-13
1220.740234,2.5368e-13
1221.323853,2.5437e-13
1221.907349,2.5247e-13
1222.490845,2.4989e-13
1223.074341,2.4931e-13
1223.657837,2.4957e-13
1224.241455,2.512e-13
1224.824951,2.5068e-13
1225.408447,2.5397e-13
1225.991943,2.5299e-13
1226.575439,2.5349e-13
1227.158936,2.5369e-13
1227.742554,2.552e-13
1228.32605,2.5342e-13
1228.909546,2.5337e-13
1229.493042,2.5622e-13
1230.076538,2.5548e-13
1230.660034,2.5426e-13
1231.24353,2.5471e-13
1231.827026,2.5519e-13
1232.410522,2.5143e-13
1232.994019,2.5112e-13
1233.577515,2.5155e-13
1234.161011,2.5187e-13
1234.744507,2.5357e-13
1235.328003,2.5372e-13
1235.911499,2.4763e-13
1236.494995,2.4585e-13
1237.078491,2.4591e-13
1237.661987,2.4824e-13
1238.245483,2.4349e-13
1238.828979,2.4219e-13
1239.412354,2.4149e-13
1239.99585,2.4255e-13
1240.579346,2.4176e-13
1241.162842,2.4104e-13
1241.746338,2.4492e-13
1242.329834,2.4135e-13
1242.913208,2.4373e-13
1243.496704,2.4118e-13
1244.0802,2.4087e-13
1244.663696,2.4177e-13
1245.24707,2.3946e-13
1245.830566,2.3674e-13
1246.414062,2.3911e-13
1246.997559,2.3767e-13
1247.580933,2.404e-13
1248.164429,2.3966e-13
1248.747925,2.3828e-13
1249.331299,2.3937e-13
1249.914795,2.3795e-13
1250.498291,2.3745e-13
1251.081665,2.379e-13
1251.665161,2.389e-13
1252.248657,2.3854e-13
1252.832031,2.3994e-13
1253.415527,2.391e-13
1253.998901,2.3833e-13
1254.582397,2.3722e-13
1255.165771,2.3867e-13
1255.749268,2.362e-13
1256.332764,2.3744e-13
1256.916138,2.3738e-13
1257.499634,2.3292e-13
1258.083008,2.3391e-13
1258.666504,2.3412e-13
1259.249878,2.3208e-13
1259.833252,2.3084e-13
1260.416748,2.3053e-13
1261.000122,2.3249e-13
1261.583618,2.3424e-13
1262.166992,2.3601e-13
1262.750366,2.3756e-13
1263.333862,2.3594e-13
